@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1002 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.008333,0,0,0,0.008403,0,0,0.540443,0.560178,0.650652,0
0.004175,0.010438,0,0,0.000696,0.009053,0.009053,0,0.581615,0.609666,0.705296,0
0.008065,0.025161,0,0,0.004195,0.001613,0.005163,0,0.825091,0.863870,1.013849,2
0,0.035225,0,0,0.009804,0,0,0,0.804979,0.840699,0.986615,2
0.004878,0.134959,0,0,0.017087,0.009764,0.017087,0,0.527253,0.543891,0.631702,1
0,0.027174,0,0,0,0.021858,0.054645,0,0.407030,0.422196,0.480640,0
0.004637,0.047913,0,0,0.003094,0.009281,0.017788,0,0.568531,0.592233,0.687814,0
0.016484,0.020513,0,0,0.004031,0.003298,0.004764,0,0.719455,0.752922,0.880719,0
0,0.041199,0,0,0.011278,0.018797,0.015038,0,0.611157,0.637156,0.740183,0
0.001337,0.078877,0,0,0.016064,0.008032,0.032129,0,0.269283,0.273038,0.303957,0
0,0.09434,0,0,0.006329,0.018987,0.075949,0,0.424132,0.437127,0.504240,0
0.003752,0.074109,0,0,0.005634,0.014085,0.037559,0,0.573734,0.595931,0.691584,0
0,0.009153,0,0,0.002289,0.003663,0.007784,0,0.854193,0.895071,1.049404,0
0,0.080153,0,0,0.019157,0.003831,0.02682,0,0.652611,0.678065,0.792101,0
0,0.063429,0,0,0.010913,0.016865,0.046627,0,0.421608,0.434829,0.496376,0
0,0.004202,0,0,0,0.025316,0.07173,0,0.618608,0.646973,0.751342,0
0,0.109224,0,0,0.005969,0.004132,0.011019,0,0.653544,0.678192,0.790228,0
0,0.011589,0,0,0.002486,0.001657,0.004143,0,0.789265,0.826138,0.966338,0
0,0.102703,0,0,0.01626,0,0.00813,0,0.719412,0.747160,0.875064,0
0,0.089602,0,0,0.023256,0.015504,0.044297,0,0.298115,0.304179,0.335722,1
0,0.176923,0,0,0.007722,0.003861,0.007722,0,0.574757,0.591792,0.690287,1
0,0.078777,0,0,0.003709,0.0051,0.016226,0,0.638583,0.664130,0.772267,0
0.00674,0.00674,0,0,0.001065,0.005323,0.01171,0,0.793800,0.831967,0.973406,1
0,0.170909,0,0,0.021898,0,0,0,0.683692,0.706570,0.826962,0
0,0.084416,0,0,0.03467,0.024919,0.055255,0,0.286540,0.291356,0.323457,0
0.005952,0.029762,0,0,0.005988,0.02994,0.05988,0,0.279717,0.289515,0.327153,0
0,0.048461,0,0,0.004587,0.001966,0.005242,0,0.657876,0.685966,0.800654,0
0.001048,0.026895,0,0,0.002795,0.004892,0.009783,0,0.771716,0.807117,0.944564,1
0,0.066066,0,0,0.01506,0,0.003012,0,0.711609,0.741004,0.867129,0
0,0.07631,0,0,0.022805,0.019384,0.036488,0,0.346087,0.354737,0.401708,0
0,0.171717,0,0,0.010152,0.005076,0.015228,0,0.518984,0.533496,0.621843,0
0,0.108959,0,0,0.007874,0.012114,0.036947,0,0.582482,0.603678,0.701372,0
0.007475,0.023492,0,0,0.002937,0.002136,0.008812,0,0.826506,0.865504,1.015345,1
0,0.129496,0,0,0.021661,0,0,0,0.703069,0.728441,0.852834,0
0,0.014756,0,0,0.009091,0.009091,0.022727,0,0.355408,0.364114,0.405888,0
0.035156,0.039062,0,0,0.007843,0.003922,0.015686,0,0.069544,0.078862,0.071678,2
0.020833,0.068376,0,0,0.001069,0.003207,0.008552,0,0.407448,0.423883,0.489288,2
0.00163,0.012225,0,0,0.002854,0.002854,0.003261,0,0.796171,0.833359,0.975392,2
0,0.072165,0,0,0.017241,0.003448,0.010345,0,0.608267,0.629237,0.734769,0
0,0.044745,0,0,0.021875,0.01875,0.060417,0,0.293528,0.298498,0.332096,0
0,0.175214,0,0,0.004292,0.012876,0.051502,0,0.524986,0.539610,0.627404,2
0,0.11353,0,0,0.002593,0.005705,0.01556,0,0.603939,0.626443,0.729020,1
0.001483,0.003955,0,0,0.000495,0.00544,0.01088,0,0.772347,0.808970,0.943373,1
0,0.191781,0,0,0.027523,0,0,0,0.580587,0.595704,0.695298,0
0,0.17037,0,0,0.037076,0.011653,0.026483,0,0.311229,0.313052,0.349683,0
0,0.167173,0,0,0.012195,0.009146,0.02439,0,0.452207,0.463007,0.534627,1
0.011599,0.104391,0,0,0.007463,0.006633,0.019071,0,0.496718,0.513732,0.594761,0
0.02871,0.018978,0,0,0.002921,0.003895,0.00779,0,0.677134,0.708875,0.827817,0
0,0.105263,0,0,0.021127,0.007042,0.003521,0,0.507551,0.524283,0.608026,0
0,0.036949,0,0,0.02148,0.011933,0.053699,0,0.328228,0.336031,0.378814,0
0,0.033951,0,0,0.009288,0,0.01548,0,0.640673,0.667852,0.781461,0
0,0.066895,0,0,0.0103,0.007725,0.035193,0,0.603377,0.627124,0.727969,0
0,0.013477,0,0,0.002697,0.002023,0.006069,0,0.869143,0.910426,1.068244,0
0,0.023256,0,0,0,0.01,0.016667,0,0.714693,0.747352,0.874741,0
0,0.049065,0,0,0.012865,0.024561,0.044444,0,0.304676,0.310637,0.346125,0
0,0.110638,0,0,0.017094,0.008547,0,0,0.383137,0.394437,0.452141,0
0.011029,0.106005,0,0,0.007971,0.014102,0.042918,0,0.445949,0.460187,0.525658,0
0,0.023826,0,0,0.003506,0.00561,0.008415,0,0.839310,0.878555,1.030447,0
0,0.208333,0,0,0.010453,0,0.003484,0,0.614058,0.631635,0.737619,0
0.00365,0.088808,0,0,0.029233,0.021924,0.062119,0,0.264007,0.266086,0.295966,0
0,0.147368,0,0,0.015873,0.005291,0.010582,0,0.362623,0.369505,0.426220,0
0.014318,0.10324,0,0,0.004525,0.006033,0.009804,0,0.576463,0.597996,0.696014,0
0,0.007274,0,0,0.001456,0.004367,0.010674,0,0.805624,0.844148,0.987038,0
0,0.096667,0,0,0.0301,0,0,0,0.688939,0.714350,0.836067,0
0,0.152952,0,0,0.023277,0.016115,0.037601,0,0.389006,0.396030,0.452000,0
0,0.026432,0,0,0.004425,0.013274,0.039823,0,0.398647,0.410089,0.473711,0
