@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1013 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1510 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.007564,0.033283,0,0,0.015152,0,0,0,0.320439,0.334025,0.375706,0
9,0.041667,0,0,0,0.010526,0,0,0,0.199522,0.203967,0.222028,0
9,0.004004,0.02002,0,0,0.003006,0,0,0,0.653867,0.698761,0.808961,0
9,0,0.008539,0,0,0.00095,0,0,0,0.821620,0.881031,1.024217,0
9,0,0,0,0,0.037037,0,0,0,0.603280,0.637758,0.739037,0
9,0,0.060345,0,0,0.010799,0,0,0,0.232198,0.233863,0.255892,0
9,0,0.058252,0,0,0.019608,0,0,0,0.225879,0.232274,0.256990,0
9,0.013464,0.020808,0,0,0.007353,0,0,0,0.500984,0.532201,0.613890,0
9,0.017189,0.002022,0,0,0.001012,0,0,0,0.715268,0.767016,0.890979,0
9,0.038835,0,0,0,0.009756,0,0,0,0.372171,0.395498,0.451949,0
9,0.013722,0.036021,0,0,0.024055,0,0,0,0.232807,0.233980,0.255415,0
9,0.038647,0.043478,0,0,0.009709,0,0,0,0.499314,0.532925,0.615296,2
9,0,0.021526,0,0,0.007843,0,0,0,0.408521,0.430364,0.490054,0
9,0,0.008364,0,0,0,0,0,0,0.829025,0.889260,1.033909,0
9,0,0.044872,0,0,0.032258,0,0,0,0.507068,0.536061,0.619574,0
9,0,0.073276,0,0,0.023758,0,0,0,0.272568,0.279967,0.307927,0
9,0,0.211765,0,0,0,0,0,0,0.111053,0.113400,0.117325,0
9,0,0.048059,0,0,0.007407,0,0,0,0.569600,0.607554,0.702649,0
9,0.007154,0.010334,0,0,0.001591,0,0,0,0.685000,0.734204,0.851270,0
9,0.017647,0,0,0,0.023669,0,0,0,0.493878,0.519743,0.600318,0
9,0,0.162222,0,0,0.03118,0,0,0,0.216321,0.214537,0.237695,0
9,0,0.010526,0,0,0,0,0,0,0.437826,0.461521,0.527365,0
9,0,0.027778,0,0,0.007952,0,0,0,0.546981,0.581413,0.669536,0
9,0,0.002853,0,0,0.002857,0,0,0,0.867088,0.929716,1.082441,0
9,0,0,0,0,0.019608,0,0,0,0.572077,0.604242,0.700229,0
9,0,0.057627,0,0,0.013582,0,0,0,0.308512,0.315965,0.354063,1
9,0,0.08,0,0,0,0,0,0,0.426378,0.450915,0.514670,2
9,0,0.058901,0,0,0.003932,0,0,0,0.565349,0.601573,0.693345,1
9,0.007042,0.001761,0,0,0.002643,0,0,0,0.644356,0.690251,0.801737,1
9,0.027933,0,0,0,0.033708,0,0,0,0.416636,0.435073,0.501872,0
9,0.023256,0.042283,0,0,0.004237,0,0,0,0.151902,0.162294,0.169146,0
9,0.04918,0.155738,0,0,0.016529,0,0,0,0.238977,0.249743,0.282750,0
9,0.00846,0.067682,0,0,0.001695,0,0,0,0.409538,0.440071,0.505351,0
9,0.002894,0.002894,0,0,0.001449,0,0,0,0.806496,0.865236,1.006107,0
9,0.011494,0.011494,0,0,0.034682,0,0,0,0.406168,0.424680,0.485637,0
9,0,0.085185,0,0,0.014842,0,0,0,0.223203,0.225498,0.245795,0
9,0,0.020833,0,0,0,0,0,0,0.526773,0.559565,0.645264,1
9,0,0.049858,0,0,0.007133,0,0,0,0.597750,0.635880,0.735745,2
9,0,0.003241,0,0,0,0,0,0,0.854160,0.915975,1.066118,1
9,0,0,0,0,0.025641,0,0,0,0.603748,0.638961,0.737745,0
9,0,0.078652,0,0,0.017685,0,0,0,0.297596,0.304392,0.339407,2
9,0,0,0,0,0.019608,0,0,0,0.384867,0.397675,0.453195,0
9,0.005222,0.049608,0,0,0.005229,0,0,0,0.571166,0.607813,0.703240,1
9,0,0.005833,0,0,0.00417,0,0,0,0.817953,0.875719,1.018968,2
9,0,0.022472,0,0,0.028249,0,0,0,0.620962,0.658307,0.761372,1
9,0,0.064401,0,0,0.012545,0,0,0,0.204558,0.206991,0.222837,1
9,0,0.127119,0,0,0.008547,0,0,0,0.376065,0.393082,0.454953,2
9,0,0.092883,0,0,0.001208,0,0,0,0.428260,0.453647,0.523005,1
9,0.020647,0.005506,0,0,0,0,0,0,0.647093,0.694061,0.804365,0
9,0,0.025641,0,0,0.012903,0,0,0,0.627318,0.665616,0.769367,0
9,0,0.13465,0,0,0.017986,0,0,0,0.310037,0.317544,0.357681,2
9,0.119658,0.119658,0,0,0,0,0,0,0.128685,0.132504,0.141527,0
9,0,0.021717,0,0,0.003106,0,0,0,0.594357,0.634522,0.733143,0
9,0.00309,0.004326,0,0,0.004329,0,0,0,0.764732,0.818942,0.952185,2
9,0,0.011173,0,0,0.016854,0,0,0,0.628183,0.665005,0.770578,0
9,0.021127,0.070423,0,0,0.010582,0,0,0,0.193114,0.199805,0.214187,0
9,0.018868,0.160377,0,0,0,0,0,0,0.339522,0.360532,0.406584,0
9,0,0.048889,0,0,0.002967,0,0,0,0.584986,0.622047,0.720060,0
9,0,0.007053,0,0,0,0,0,0,0.830621,0.890499,1.035801,0
9,0,0.061644,0,0,0.034483,0,0,0,0.562723,0.593066,0.685945,0
9,0,0.093306,0,0,0.028455,0,0,0,0.223955,0.225509,0.246165,0
9,0,0.056075,0,0,0.028302,0,0,0,0.224469,0.227980,0.254138,0
9,0,0.029032,0,0,0.011309,0,0,0,0.548739,0.581199,0.670234,0
9,0,0.005549,0,0,0.003333,0,0,0,0.749246,0.801823,0.931125,0
9,0.016129,0,0,0,0.043243,0,0,0,0.447502,0.469783,0.542108,0
9,0,0.039648,0,0,0.02649,0,0,0,0.219458,0.221082,0.242726,0
9,0,0.21875,0,0,0,0,0,0,0.472775,0.502895,0.579573,1
9,0,0.049952,0,0,0,0,0,0,0.638390,0.681507,0.790510,0
9,0,0.005435,0,0,0,0,0,0,0.823485,0.883043,1.027077,0
9,0,0.051429,0,0,0.028736,0,0,0,0.629372,0.667326,0.774997,0
9,0,0.137931,0,0,0.021818,0,0,0,0.285401,0.290500,0.324943,0
9,0,0.024,0,0,0.008065,0,0,0,0.301887,0.322660,0.362976,1
