@RELATION rabc_features

@ATTRIBUTE task_id NUMERIC
@ATTRIBUTE child_feature1 NUMERIC
@ATTRIBUTE child_feature2 NUMERIC
@ATTRIBUTE child_feature3 NUMERIC
@ATTRIBUTE child_feature4 NUMERIC
@ATTRIBUTE child_feature5 NUMERIC
@ATTRIBUTE child_feature6 NUMERIC
@ATTRIBUTE child_feature7 NUMERIC
@ATTRIBUTE child_feature8 NUMERIC
@ATTRIBUTE child_feature9 NUMERIC
@ATTRIBUTE child_feature10 NUMERIC
@ATTRIBUTE child_feature11 NUMERIC
@ATTRIBUTE child_feature12 NUMERIC
@ATTRIBUTE child_feature13 NUMERIC
@ATTRIBUTE child_feature14 NUMERIC
@ATTRIBUTE child_feature15 NUMERIC
@ATTRIBUTE child_feature16 NUMERIC
@ATTRIBUTE child_feature17 NUMERIC
@ATTRIBUTE child_feature18 NUMERIC
@ATTRIBUTE joint_feature1 NUMERIC
@ATTRIBUTE joint_feature2 NUMERIC
@ATTRIBUTE proj1 NUMERIC
@ATTRIBUTE proj2 NUMERIC
@ATTRIBUTE proj3 NUMERIC
@ATTRIBUTE class {0,1,2}

@DATA
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.915959614050011472e-01,0.000000000000000000e+00,0.473586,1.015732,1.177067,0
2.000000000000000000e+00,8.000000000000000000e+00,1.288827074640704617e-01,-1.951267984215557527e-01,1.188365179152941264e+00,4.576371038999999641e+00,-8.026519317999999958e-02,-3.183453762552159588e-02,9.787182290523225303e-01,3.968843833000000210e+00,1.889817620500000017e-01,-6.452871677252360050e-02,1.055045656612464189e+00,4.004764720999999916e+00,-4.425577889000000265e-01,-8.501262635638382956e-03,2.564695978097649917e-02,8.315071213000000405e-01,2.506298736000000041e-02,1.095064729139065829e+00,6.000000000000000000e+00,0.550800,1.048984,1.206491,0
3.000000000000000000e+00,4.000000000000000000e+00,3.128359492582240275e-02,4.159353927763163039e-01,5.016753944487497563e-01,2.928556659999999923e+00,2.947845681999999856e-01,9.452462939653085393e-04,1.073740860686771548e+00,4.641024726999999572e+00,8.841177464999999680e-02,-1.476166857069924621e-01,3.374720010876681164e-01,1.951675479399999968e+00,8.393067657000000126e-02,-4.783868048394170069e-02,2.762885728160510007e-02,1.107874560499999994e+00,-7.987647941999999335e-03,1.521303527661652666e+00,0.000000000000000000e+00,0.791787,1.072840,1.236633,2
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.749137567706788632e+00,0.000000000000000000e+00,0.773568,1.062768,1.225617,2
5.000000000000000000e+00,2.000000000000000000e+00,1.571389867244649130e-02,-2.836285042106895804e-01,1.952217775530728838e+00,3.906563991999999708e+00,4.455382114499999990e-01,1.078526074146896940e+00,3.149452608523771180e-01,2.910114593799999927e+00,9.846658197500000043e-01,1.175914331300000448e+00,2.630403748122353669e+00,3.914139656499999731e+00,-1.523418109499999895e-01,8.444101369603451701e-02,2.188538076949413710e-03,1.901644762100000163e-01,7.207998254000000382e-02,1.284885218071358359e+00,1.000000000000000000e+00,0.490332,1.008036,1.167123,1
1.000000000000000000e+00,1.000000000000000000e+00,6.126126126126126004e-02,1.518189336117646837e+00,1.534586792483267812e-04,4.166863700000011939e-02,1.518189336000000056e+00,-5.425138004562940486e-01,2.770826407368479627e-01,1.830545450099999805e+00,-6.635672853499999801e-01,7.524553801366666850e-01,2.565241351642365553e-01,1.456568148499999937e+00,8.924850021000000355e-01,3.438204142600000124e-02,9.550571354237059885e-02,1.101172929899999930e+00,7.148231383999999883e-03,9.070048579551813761e-01,0.000000000000000000e+00,0.373169,0.965493,1.131741,0
2.000000000000000000e+00,7.000000000000000000e+00,7.773487773487773589e-02,-1.927501633230694622e-01,9.418134114243744692e-01,3.275735425999999784e+00,1.510045151999999946e-01,2.216578772794271790e-01,1.380455508406785103e+00,4.995976354999999813e+00,-8.198942511500000030e-02,2.285112473082632489e-01,1.536552161339544531e+00,3.413731852999999816e+00,-1.725440095999999923e-01,-1.106697799103635027e-01,2.112048052373153434e-02,6.013264495999999237e-01,-1.082613228999999982e-01,9.861674716516622974e-01,4.000000000000000000e+00,0.530536,1.032439,1.196286,0
3.000000000000000000e+00,1.200000000000000000e+01,9.948730468750000000e-02,-7.386463827266886994e-02,9.181753182080339970e-01,3.152507807000000106e+00,1.767458564000000121e-01,-1.907711760443555823e-02,8.790026767007612651e-01,5.041241701000000575e+00,-2.225341372000000095e-01,1.537007438468522384e-02,8.946679902807742613e-01,3.054111665999999836e+00,-2.018030483999999902e-01,2.200396294283510010e-02,2.982268164189297646e-02,8.524023138999999860e-01,-2.703810918999999952e-02,1.339767630467024295e+00,1.000000000000000000e+00,0.683446,1.066119,1.226712,0
4.000000000000000000e+00,1.000000000000000000e+00,3.237858032378580081e-02,7.214210424346153561e-01,8.934450641192959175e-02,1.013623890100000091e+00,7.186692374499999980e-01,-7.689786260750000046e-01,5.503598980546042796e-01,3.701244009999999918e+00,-9.445790501499999881e-01,-5.651471117884615536e-01,1.136457185244379086e-03,1.377834735000000865e-01,-5.537094875499999347e-01,-6.846089178076923687e-02,7.647528123834924528e-04,7.572985626000000581e-02,-7.981357898999999478e-02,9.150211510544307147e-01,0.000000000000000000e+00,0.570081,1.037176,1.199155,0
5.000000000000000000e+00,1.000000000000000000e+00,4.587973273942093366e-02,9.396870108262135313e-01,2.030396145610451342e-01,1.338683685899999976e+00,7.152977182999999961e-01,2.147102106983688474e-01,7.902276809108814692e-01,3.772252761999999926e+00,1.289639177999999942e-01,-8.086220840135927013e-01,2.013510605087996674e-02,4.088285696000001357e-01,-7.478831084999999490e-01,-3.806720522825775277e-02,1.399767298970793763e-03,1.790736433299999764e-01,-4.175245949999999845e-02,7.815137671552966347e-01,1.000000000000000000e+00,0.245926,0.840828,1.002324,0
