@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature809 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.008333,0,0,0,0.542815,0.583934,0.645007,0
0.004175,0.010438,0,0,0,0.583675,0.633173,0.698840,0
0.008065,0.025161,0,0,0,0.828514,0.901837,1.003503,2
0,0.035225,0,0,0,0.808378,0.877837,0.976761,2
0.004878,0.134959,0,0,0,0.529530,0.566270,0.626410,1
0,0.027174,0,0,0,0.408752,0.437883,0.476871,0
0.004637,0.047913,0,0,0,0.570845,0.616416,0.681635,0
0.016484,0.020513,0,0,0,0.722371,0.785345,0.871840,0
0,0.041199,0,0,0,0.613703,0.663749,0.733215,0
0.001337,0.078877,0,0,0,0.270428,0.281555,0.302771,0
0,0.09434,0,0,0,0.426067,0.454594,0.500462,0
0.003752,0.074109,0,0,0,0.576195,0.620638,0.685323,0
0,0.009153,0,0,0,0.857747,0.934324,1.038655,0
0,0.080153,0,0,0,0.655416,0.707366,0.784652,0
0,0.063429,0,0,0,0.423472,0.451440,0.492637,0
0,0.004202,0,0,0,0.621242,0.674034,0.744258,0
0,0.109224,0,0,0,0.656361,0.706662,0.783080,0
0,0.011589,0,0,0,0.792559,0.861945,0.956647,0
0,0.102703,0,0,0,0.722505,0.779729,0.866780,0
0,0.089602,0,0,0,0.299249,0.312942,0.334128,1
0,0.176923,0,0,0,0.577315,0.616554,0.684560,1
0,0.078777,0,0,0,0.641319,0.691672,0.765288,0
0.00674,0.00674,0,0,0,0.797042,0.867901,0.963493,1
0,0.170909,0,0,0,0.686662,0.737076,0.819415,0
0,0.084416,0,0,0,0.287809,0.300920,0.321802,0
0.005952,0.029762,0,0,0,0.280836,0.299384,0.325016,0
0,0.048461,0,0,0,0.660561,0.714745,0.793251,0
0.001048,0.026895,0,0,0,0.774931,0.842103,0.935138,1
0,0.066066,0,0,0,0.714638,0.773211,0.858778,0
0,0.07631,0,0,0,0.347615,0.367357,0.399332,0
0,0.171717,0,0,0,0.521323,0.555583,0.617009,0
0,0.108959,0,0,0,0.585019,0.628611,0.695271,0
0.007475,0.023492,0,0,0,0.829915,0.903437,1.004987,1
0,0.129496,0,0,0,0.706104,0.760135,0.844874,0
0,0.014756,0,0,0,0.356984,0.376554,0.403424,0
0.035156,0.039062,0,0,0,0.068019,0.072612,0.072265,2
0.020833,0.068376,0,0,0,0.408907,0.439778,0.485167,2
0.00163,0.012225,0,0,0,0.799485,0.869609,0.965571,2
0,0.072165,0,0,0,0.610951,0.656556,0.728267,0
0,0.044745,0,0,0,0.294849,0.308665,0.330415,0
0,0.175214,0,0,0,0.527364,0.561751,0.622483,2
0,0.11353,0,0,0,0.606476,0.652097,0.722689,1
0.001483,0.003955,0,0,0,0.775547,0.843455,0.933918,1
0,0.191781,0,0,0,0.583179,0.621108,0.689473,0
0,0.17037,0,0,0,0.312640,0.323313,0.348113,0
0,0.167173,0,0,0,0.454256,0.481278,0.530788,1
0.011599,0.104391,0,0,0,0.498802,0.534292,0.589796,0
0.02871,0.018978,0,0,0,0.679851,0.739128,0.819420,0
0,0.105263,0,0,0,0.509742,0.546087,0.602692,0
0,0.036949,0,0,0,0.329739,0.348181,0.376601,0
0,0.033951,0,0,0,0.643437,0.696600,0.774303,0
0,0.066895,0,0,0,0.605967,0.653183,0.721395,0
0,0.013477,0,0,0,0.872767,0.950528,1.057297,0
0,0.023256,0,0,0,0.717728,0.779612,0.866300,0
0,0.049065,0,0,0,0.306077,0.321104,0.344317,0
0,0.110638,0,0,0,0.384759,0.409564,0.448572,0
0.011029,0.106005,0,0,0,0.447847,0.477430,0.521504,0
0,0.023826,0,0,0,0.842821,0.917147,1.019978,0
0,0.208333,0,0,0,0.616766,0.658385,0.731232,0
0.00365,0.088808,0,0,0,0.265214,0.275306,0.294516,0
0,0.147368,0,0,0,0.364286,0.384130,0.423368,0
0.014318,0.10324,0,0,0,0.578925,0.622783,0.689820,0
0,0.007274,0,0,0,0.808965,0.880667,0.977002,0
0,0.096667,0,0,0,0.691913,0.745580,0.828252,0
0,0.152952,0,0,0,0.390802,0.410775,0.449235,0
0,0.026432,0,0,0,0.400546,0.426538,0.470738,0
0,0.075452,0,0,0,0.580815,0.625090,0.689445,0
0.002949,0.018873,0,0,0,0.814560,0.886355,0.985148,2
0,0.111486,0,0,0,0.665259,0.715797,0.795598,0
0,0.153012,0,0,0,0.342798,0.358708,0.391496,0
0,0.051643,0,0,0,0.509669,0.547465,0.599369,0
0,0.107567,0,0,0,0.605055,0.650387,0.721099,0
0.050741,0.005211,0,0,0,0.289050,0.317623,0.344364,1
