@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.03,0.372,0.598,0.148,0.4,0.143,0.344,2
0.072,0.499,0.429,0.181,0.572,0.76,0.204,1
0.056,0.794,0.151,0.26,0.55,0.381,0.37,1
0.177,0.672,0.151,0.12,0.584,0.108,0.386,1
0.029,0.804,0.167,0.514,0.379,0.121,0.394,1
0.037,0.369,0.593,0.011,0.186,0.135,0.35,1
0.41,0.225,0.365,0.049,0.313,0.266,0.493,2
0.136,0.075,0.788,0.16,0.563,0.112,0.524,2
0.092,0.599,0.309,0.526,0.322,0.097,0.398,2
0.023,0.529,0.448,0.17,0.709,0.115,0.462,1
0.091,0.864,0.045,0.859,0.106,0.089,0.418,1
0.059,0.245,0.696,0.043,0.327,0.118,0.376,2
0.081,0.571,0.348,0.019,0.757,0.217,0.443,1
0.187,0.708,0.105,0.367,0.554,0.505,0.428,1
0.031,0.791,0.177,0.015,0.422,0.16,0.362,2
0.385,0.406,0.209,0.168,0.511,0.436,0.255,1
0.058,0.805,0.137,0.1,0.6,0.173,0.358,1
0.556,0.389,0.055,0.761,0.225,0.195,0.537,1
0.02,0.793,0.188,0.01,0.766,0.126,0.391,1
0.028,0.143,0.83,0.018,0.254,0.312,0.352,2
0.239,0.216,0.545,0.081,0.312,0.447,0.226,2
0.101,0.669,0.229,0.571,0.377,0.132,0.451,1
0.207,0.665,0.127,0.146,0.783,0.127,0.417,1
0.471,0.315,0.214,0.386,0.473,0.169,0.413,1
0.043,0.847,0.11,0.364,0.546,0.129,0.355,2
0.141,0.633,0.226,0.186,0.663,0.096,0.537,1
0.11,0.055,0.835,0.178,0.453,0.141,0.365,2
0.124,0.677,0.198,0.183,0.607,0.192,0.515,1
0.199,0.657,0.144,0.128,0.741,0.252,0.565,1
0.37,0.505,0.125,0.194,0.641,0.2,0.589,1
0.488,0.238,0.274,0.079,0.765,0.122,0.475,1
0.053,0.708,0.24,0.081,0.429,0.168,0.353,2
0.155,0.501,0.344,0.152,0.735,0.832,0.069,1
0.136,0.695,0.169,0.246,0.541,0.31,0.371,1
0.316,0.611,0.072,0.338,0.589,0.368,0.357,1
0.094,0.786,0.12,0.113,0.662,0.331,0.591,1
0.186,0.677,0.137,0.161,0.591,0.234,0.484,1
0.129,0.776,0.095,0.239,0.632,0.261,0.304,1
0.189,0.769,0.042,0.411,0.498,0.44,0.34,1
0.241,0.583,0.177,0.29,0.557,0.566,0.242,2
0.087,0.715,0.198,0.168,0.541,0.184,0.305,1
0.169,0.781,0.05,0.454,0.475,0.172,0.728,1
0.492,0.375,0.133,0.183,0.65,0.361,0.345,1
0.307,0.612,0.08,0.536,0.394,0.169,0.541,1
0.179,0.073,0.748,0.018,0.276,0.123,0.462,2
0.053,0.713,0.234,0.055,0.106,0.098,0.38,2
0.385,0.491,0.124,0.562,0.388,0.338,0.408,2
0.203,0.678,0.119,0.176,0.666,0.171,0.354,1
0.562,0.389,0.048,0.597,0.311,0.273,0.488,1
0.063,0.213,0.724,0.007,0.079,0.353,0.283,0
0.438,0.45,0.112,0.542,0.406,0.192,0.478,0
0.55,0.222,0.228,0.243,0.486,0.21,0.432,0
0.066,0.564,0.37,0.2,0.691,0.159,0.484,0
0.21,0.753,0.037,0.35,0.538,0.226,0.344,0
0.664,0.286,0.05,0.37,0.56,0.747,0.148,0
0.231,0.491,0.277,0.112,0.573,0.126,0.417,0
0.68,0.139,0.181,0.502,0.441,0.735,0.147,0
0.728,0.098,0.175,0.65,0.314,0.433,0.256,0
0.666,0.27,0.063,0.195,0.749,0.08,0.4,0
0.285,0.631,0.084,0.767,0.15,0.478,0.304,0
0.821,0.091,0.088,0.927,0.07,0.212,0.393,0
0.171,0.784,0.045,0.258,0.473,0.187,0.352,0
0.714,0.131,0.155,0.77,0.218,0.257,0.45,0
0.413,0.564,0.023,0.909,0.089,0.203,0.52,0
0.23,0.657,0.113,0.652,0.312,0.119,0.392,0
0.575,0.242,0.183,0.391,0.518,0.356,0.355,0
0.658,0.213,0.129,0.614,0.337,0.222,0.486,0
