@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.025,0.329,0.645,0.197,0.318,2
0.204,0.073,0.723,0.334,0.242,2
0.08,0.479,0.442,0.261,0.593,1
0.065,0.762,0.173,0.442,0.326,1
0.108,0.634,0.259,0.407,0.27,1
0.206,0.651,0.142,0.173,0.367,1
0.051,0.762,0.187,0.209,0.357,1
0.016,0.337,0.648,0.197,0.321,1
0.187,0.343,0.47,0.175,0.569,2
0.057,0.09,0.853,0.139,0.56,2
0.175,0.59,0.235,0.172,0.377,2
0.279,0.257,0.464,0.145,0.539,2
0.066,0.492,0.442,0.189,0.453,1
0.078,0.842,0.079,0.167,0.401,1
0.07,0.22,0.71,0.335,0.371,1
0.02,0.202,0.778,0.195,0.346,2
0.014,0.599,0.388,0.103,0.525,1
0.134,0.79,0.076,0.04,0.803,1
0.028,0.757,0.215,0.165,0.359,2
0.194,0.503,0.303,0.015,0.913,1
0.089,0.747,0.164,0.118,0.563,1
0.391,0.552,0.057,0.148,0.591,1
0.507,0.329,0.163,0.296,0.391,2
0.021,0.755,0.224,0.213,0.35,1
0.205,0.052,0.743,0.651,0.119,2
0.018,0.114,0.868,0.192,0.417,2
0.132,0.275,0.593,0.225,0.291,2
0.714,0.178,0.108,0.413,0.339,1
0.371,0.531,0.098,0.141,0.57,2
0.171,0.65,0.179,0.212,0.429,1
0.334,0.506,0.16,0.179,0.4,1
0.254,0.44,0.306,0.148,0.52,1
0.523,0.247,0.229,0.275,0.354,2
0.212,0.749,0.039,0.156,0.358,1
0.693,0.19,0.117,0.522,0.258,2
0.468,0.317,0.214,0.224,0.393,1
0.046,0.828,0.126,0.22,0.313,2
0.338,0.072,0.59,0.743,0.067,1
0.385,0.574,0.04,0.376,0.4,1
0.379,0.187,0.434,0.293,0.421,2
0.492,0.388,0.12,0.158,0.546,1
0.261,0.419,0.319,0.53,0.248,2
0.039,0.049,0.912,0.216,0.327,2
0.293,0.423,0.283,0.144,0.546,1
0.163,0.666,0.171,0.276,0.462,1
0.142,0.692,0.166,0.087,0.65,1
0.348,0.559,0.093,0.228,0.566,1
0.572,0.361,0.066,0.538,0.214,1
0.353,0.343,0.304,0.192,0.472,1
0.036,0.675,0.289,0.194,0.333,2
0.4,0.513,0.087,0.651,0.173,1
0.103,0.478,0.419,0.793,0.057,1
0.1,0.671,0.23,0.17,0.435,1
0.263,0.606,0.131,0.272,0.288,1
0.025,0.125,0.85,0.255,0.344,2
0.215,0.631,0.155,0.204,0.338,1
0.602,0.375,0.023,0.669,0.17,1
0.297,0.649,0.053,0.423,0.329,1
0.06,0.816,0.123,0.062,0.774,1
0.17,0.684,0.146,0.284,0.459,1
0.187,0.733,0.08,0.137,0.34,1
0.164,0.813,0.023,0.319,0.409,1
0.512,0.437,0.051,0.228,0.312,1
0.058,0.776,0.166,0.451,0.26,1
0.005,0.085,0.91,0.243,0.326,2
0.094,0.426,0.48,0.19,0.345,2
0.308,0.548,0.144,0.585,0.216,2
0.05,0.693,0.257,0.142,0.306,1
0.486,0.412,0.102,0.129,0.702,1
0.204,0.693,0.103,0.118,0.344,1
0.186,0.732,0.083,0.266,0.431,1
0.35,0.069,0.581,0.18,0.461,2
0.04,0.676,0.283,0.168,0.362,2
0.268,0.596,0.136,0.416,0.344,2
0.224,0.652,0.125,0.19,0.336,1
0.623,0.341,0.035,0.36,0.414,1
0.616,0.098,0.287,0.817,0.043,0
0.158,0.123,0.719,0.854,0.035,0
0.565,0.26,0.176,0.244,0.38,0
0.52,0.243,0.237,0.199,0.495,0
0.213,0.713,0.075,0.164,0.397,0
0.456,0.432,0.112,0.246,0.302,0
0.73,0.171,0.099,0.3,0.408,0
0.129,0.494,0.377,0.149,0.371,0
0.2,0.636,0.165,0.196,0.355,0
0.501,0.437,0.062,0.187,0.358,0
0.764,0.2,0.036,0.389,0.217,0
0.387,0.479,0.134,0.544,0.241,0
0.091,0.811,0.098,0.178,0.31,0
0.555,0.222,0.223,0.76,0.115,0
0.561,0.341,0.097,0.247,0.41,0
0.891,0.075,0.035,0.857,0.03,0
0.684,0.222,0.094,0.334,0.431,0
0.679,0.267,0.055,0.344,0.37,0
0.708,0.154,0.138,0.803,0.091,0
0.128,0.82,0.052,0.16,0.479,0
0.372,0.118,0.51,0.269,0.404,0
0.391,0.28,0.329,0.625,0.189,0
0.678,0.023,0.298,0.837,0.035,0
0.471,0.455,0.075,0.601,0.195,0
0.486,0.395,0.12,0.698,0.126,0
0.82,0.159,0.021,0.233,0.483,0
0.304,0.286,0.41,0.339,0.43,0
0.523,0.059,0.418,0.532,0.149,0
0.523,0.11,0.367,0.273,0.353,0
0.518,0.27,0.213,0.503,0.227,0
0.122,0.366,0.511,0.34,0.318,0
0.224,0.749,0.026,0.101,0.396,0
0.284,0.651,0.065,0.13,0.393,0
0.362,0.298,0.34,0.452,0.291,0
0.742,0.094,0.164,0.523,0.218,0
0.09,0.789,0.121,0.286,0.395,0
0.594,0.396,0.01,0.589,0.244,0
0.157,0.717,0.126,0.156,0.369,0
0.392,0.503,0.106,0.478,0.245,0
0.812,0.025,0.163,0.676,0.104,0
