@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature3 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data
1,2,-0.026514,3.659692,1.189566,1
2,8,-0.187858,3.389889,0.892013,2
3,2,-0.053719,3.511417,0.512503,1
4,2,0.829756,3.68832,0.900404,0
5,7,0.011575,3.691581,1.081453,2
1,2,0.396272,4.929609,0.851565,0
2,8,0.053926,4.360455,0.973543,1
3,6,0.19589,5.654631,0.996948,2
4,2,0.564668,4.000085,1.017799,1
5,7,-0.236352,4.20734,0.971122,1
1,2,0.242624,5.033199,0.974624,2
2,10,-0.114853,3.864322,1.054058,1
3,7,-0.591415,3.093536,1.206797,0
4,2,0.524672,2.796639,0.892426,0
5,7,0.250001,5.78014,0.967653,2
1,2,-0.335751,3.066823,0.968061,0
2,8,-0.150114,3.570451,1.229057,0
3,7,0.34776,3.586543,1.343929,2
4,2,1.101068,3.510934,1.023498,0
5,7,-0.21559,4.149177,0.985694,0
1,2,-0.761086,3.176732,0.877818,0
2,8,0.048259,4.109473,0.85747,0
3,5,-0.356694,3.447432,1.060035,0
4,2,0.459249,2.539034,0.837718,0
5,7,0.117024,4.292822,0.856974,0
1,2,-0.255777,3.995587,0.879459,0
2,8,-0.028734,3.585036,0.787877,0
3,7,-0.189227,3.620939,0.748085,0
4,2,1.219914,3.050896,1.062249,0
5,7,-0.070266,3.83573,0.789319,0
1,2,-0.356086,4.666383,1.053382,1
2,8,-0.106791,3.797649,1.322779,0
3,7,-0.177035,4.185738,1.374975,0
4,2,0.585846,2.846119,0.998423,0
5,7,0.118616,4.594128,0.956897,0
1,2,0.190101,6.251011,1.02877,1
2,9,-0.021415,4.564996,0.693646,0
3,10,0.27467,4.219458,1.106521,1
4,3,0.360173,3.188565,1.19674,0
5,2,-0.449741,3.442915,0.233153,0
1,2,0.229805,4.541616,1.0501,1
2,8,-0.077447,3.995826,0.697202,0
3,6,0.083219,3.931977,1.089753,0
4,2,0.456451,3.601488,0.902684,0
5,7,0.020201,3.859473,0.931569,0
1,2,0.151508,4.552163,1.082916,0
2,8,0.062763,3.765315,0.917158,0
3,9,0.109667,3.667449,1.043932,0
4,2,1.02177,3.85117,0.939156,0
5,7,-0.243181,4.448673,0.981531,0
1,2,0.142336,3.503729,0.917197,1
2,8,-0.299438,3.612764,0.66012,0
3,5,0.194375,3.758382,0.891525,0
4,2,0.70115,3.570433,0.860513,0
5,7,0.031527,3.635125,0.887159,0
1,2,0.07594,5.252722,0.98611,0
2,8,0.242951,3.371703,0.781527,0
3,8,0.152807,3.417787,1.05107,0
4,2,0.78318,2.790591,1.134054,0
5,7,-0.324323,4.188991,1.077637,0
1,2,0.123367,5.794505,1.068149,0
2,8,0.122898,3.788628,0.724887,0
3,7,0.06598,3.754747,0.855665,0
4,2,0.974654,4.479473,1.051991,0
5,7,-0.232274,4.006843,1.15466,0
1,2,-0.001936,5.865826,0.79906,0
2,8,-0.188553,4.783542,0.852136,1
3,8,0.328242,4.19326,1.570048,2
4,3,0.294296,3.476314,1.087324,0
5,7,-0.050644,5.160203,0.984653,1
1,2,0.378178,5.853308,1.296217,0
2,8,0.01649,3.704572,0.60983,0
3,8,0.340019,3.672899,0.769169,0
4,2,0.473565,3.573718,0.889007,0
5,7,-0.246363,5.855324,0.919773,0
1,2,0.453969,5.325631,1.589917,1
2,8,0.323343,3.483463,0.717521,0
3,6,-0.109163,4.185694,0.833419,0
4,2,1.14558,2.64082,1.128355,0
5,7,-0.374895,5.071835,1.082494,0
1,2,0.083163,5.18147,0.96642,0
2,13,0.118453,6.312105,1.325573,0
3,7,0.060183,4.034402,0.876418,0
4,2,1.371678,2.99686,1.232072,0
5,7,-0.172628,5.47714,1.038778,0
1,2,0.266134,5.537619,1.374975,1
2,11,-0.042379,5.832212,1.041359,0
3,5,0.339706,4.701641,0.665241,0
4,2,0.580756,3.289836,1.05655,0
5,7,-0.175241,5.590564,0.943713,0
1,2,0.190753,4.727714,0.989391,0
2,8,0.035214,4.337568,0.871947,0
3,5,0.27005,4.048899,0.786933,0
4,2,1.07515,4.150497,1.032616,0
5,7,-0.278637,4.068149,1.022124,0
1,2,0.170231,5.945864,0.954935,0
2,8,-0.015544,3.852648,0.678407,0
3,9,0.423311,3.865538,1.084274,1
4,2,0.982788,3.064032,1.036035,0
5,7,-0.372867,4.690851,1.058554,0
1,2,0.168007,3.752881,1.032051,0
2,8,0.13526,3.491962,0.766542,0
3,8,0.164591,3.339058,0.71156,0
4,2,0.993542,3.240395,1.025777,0
5,7,-0.315851,3.358328,0.939549,0
1,2,0.138438,5.387275,0.828595,0
2,12,0.118408,4.290943,1.886891,2
3,7,0.342397,3.750212,1.030318,1
4,2,0.882675,2.968468,1.163687,0
5,7,-0.42141,4.668016,1.113373,0
1,2,0.195893,5.612044,0.948372,0
2,8,0.089418,5.015264,0.654278,0
3,7,-0.026185,3.981518,1.088591,0
4,2,1.076338,4.006695,1.048572,0
5,7,-0.231659,4.225795,0.935039,0
1,2,0.17137,5.412522,0.702254,1
2,8,0.000845,4.533209,0.796004,0
3,7,0.460758,3.042725,0.683005,0
4,2,0.634562,4.254125,1.01438,0
5,7,-0.336765,3.879643,0.998531,1
1,2,-0.124299,4.485791,0.864692,0
2,12,-0.018871,4.290601,1.40304,0
3,10,-0.063721,4.128358,1.262413,1
