@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature33 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1312 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.027778,0,0,0,0,0,0,0,0,0.332913,0.351086,0.403509,0
0,0.00232,0,0,0,0,0,0,0,0,0.484627,0.523432,0.601917,0
0.003226,0.008602,0,0.001076,0.002153,0,0,0.001076,0,0,0.723292,0.779931,0.905759,2
0,0.006536,0,0,0.006579,0,0,0,0,0,0.703094,0.753976,0.875018,2
0.00271,0.02439,0,0,0.005435,0.002717,0.005435,0.005435,0,0,0.413416,0.437165,0.501658,1
0,0.018182,0,0,0,0,0,0,0,0,0.299611,0.316637,0.357227,0
0,0.005155,0,0.002584,0,0,0.002584,0,0,0,0.466384,0.499536,0.574396,0
0.007326,0.014652,0,0.002445,0.001222,0.003667,0.00489,0,0,0,0.615948,0.662622,0.767539,0
0,0,0,0,0,0,0,0,0,0,0.510340,0.545307,0.625565,0
0,0.008929,0,0,0.008969,0,0,0.004484,0,0,0.219041,0.222409,0.242740,0
0,0,0,0,0,0,0,0,0,0,0.341756,0.362024,0.406996,0
0,0.015674,0,0.003145,0.006289,0,0.006289,0,0,0,0.474149,0.506735,0.581410,0
0,0.007634,0,0.001529,0.001529,0.004587,0.001529,0,0,0,0.759373,0.819087,0.951231,0
0,0.051282,0,0.012987,0.025974,0.012987,0.012987,0,0,0,0.567169,0.607128,0.700146,0
0,0.016556,0,0,0.006645,0.003322,0.003322,0.003322,0,0,0.344215,0.362103,0.407186,0
0,0,0,0,0,0,0,0,0,0,0.530895,0.569294,0.652599,0
0,0.01072,0,0.003067,0.009202,0,0.003067,0.003067,0,0,0.561071,0.600470,0.695044,0
0,0.005525,0,0.00277,0,0.00277,0.00277,0,0,0,0.690274,0.743248,0.862367,0
0,0.018018,0,0,0.018182,0.009091,0.009091,0,0,0,0.635223,0.676258,0.782313,0
0,0.02583,0,0.003704,0.003704,0.007407,0.007407,0.007407,0,0,0.240011,0.244761,0.267822,1
0,0,0,0,0.025974,0,0,0,0,0,0.476948,0.505593,0.583297,1
0,0.006182,0,0.003096,0.004644,0.003096,0.001548,0.001548,0,0,0.534787,0.573395,0.662605,0
0,0.001183,0,0,0.001185,0,0,0,0,0,0.695432,0.749959,0.869451,1
0,0.04878,0,0.012346,0.024691,0.012346,0.024691,0,0,0,0.591770,0.626598,0.725388,0
0,0.025271,0,0.007246,0.007246,0.01087,0.007246,0,0,0,0.233354,0.232949,0.253412,0
0,0,0,0,0,0,0,0,0,0,0.208194,0.216329,0.236369,0
0,0.004367,0,0,0.004376,0.002188,0,0.002188,0,0,0.563764,0.604895,0.699585,0
0,0.001164,0,0,0.003497,0.001166,0,0,0.001166,0,0.676294,0.727921,0.843153,1
0,0.020202,0,0,0.010204,0,0,0,0,0,0.613140,0.655950,0.757430,0
0,0.026616,0,0,0.007634,0.003817,0.01145,0.003817,0,0,0.288105,0.297313,0.331021,0
0,0.033898,0,0,0.017241,0,0.017241,0,0,0,0.425933,0.452301,0.522706,0
0,0.026263,0,0.006073,0.01417,0.006073,0.008097,0.006073,0,0,0.485059,0.517374,0.594998,0
0.002671,0.012467,0,0.000891,0.003565,0.001783,0.004456,0,0,0,0.734466,0.791823,0.919301,1
0,0.048193,0,0,0.02439,0.012195,0.02439,0,0,0,0.616223,0.652875,0.755683,0
0,0.003788,0,0,0,0,0,0.003802,0,0,0.273222,0.280375,0.315413,0
0,0,0,0,0.013333,0,0,0,0,0,0.047921,0.055097,0.044388,2
0,0.005348,0,0,0.001786,0.001786,0,0.001786,0,0,0.314555,0.337398,0.387034,2
0,0.001359,0,0,0,0.001361,0,0,0,0,0.700409,0.754337,0.875331,2
0,0.022989,0,0,0.011628,0,0,0,0,0,0.511206,0.539198,0.621391,0
0,0.010417,0,0.003484,0.003484,0.003484,0,0.003484,0,0,0.246288,0.246346,0.268538,0
0,0.014286,0,0,0,0,0,0.014493,0,0,0.433700,0.459692,0.528055,2
0,0.00692,0,0.001733,0.003466,0.003466,0.001733,0,0,0,0.505230,0.541835,0.626015,1
0,0,0,0,0,0,0,0,0,0,0.670352,0.722630,0.837098,1
0,0.030769,0,0,0.03125,0.015625,0.015625,0,0,0,0.488912,0.510531,0.586695,0
0,0.031802,0,0.007092,0.010638,0.003546,0.014184,0.003546,0,0,0.256496,0.256540,0.284322,0
0,0,0,0,0.010309,0,0,0,0,0,0.358822,0.376151,0.427421,1
0,0.019337,0,0.00277,0.01108,0.00831,0,0,0,0,0.399115,0.424589,0.487292,0
0.008117,0.001623,0,0,0.001626,0,0,0,0,0,0.579408,0.623354,0.721156,0
0,0.011765,0,0,0.011905,0.011905,0,0,0,0,0.407672,0.425447,0.485611,0
0,0.015936,0,0,0,0.004,0.004,0,0,0,0.271552,0.279413,0.310272,0
0,0.020619,0,0,0,0,0,0,0,0,0.549742,0.589627,0.679491,0
0,0.014327,0,0,0.005747,0.005747,0,0,0,0,0.509846,0.543739,0.625105,0
0,0.004494,0,0,0,0.002252,0,0,0,0,0.774388,0.834919,0.969701,0
0,0,0,0,0,0,0,0,0,0,0.623382,0.671407,0.775140,0
