@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature3 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

1,4,-0.046057,4.007411,0.593549,0
2,10,-0.440688,4.479066,1.095819,0
3,12,0.092127,4.476359,1.526876,2
4,3,0.906286,2.234771,1.750449,2
5,16,0.283345,5.282326,1.285713,1
1,2,-0.032875,4.185434,0.91,0
2,8,-0.151472,3.717095,0.986847,0
3,12,0.170735,3.710519,1.344675,0
4,2,-0.28529,3.489355,0.915707,0
5,8,0.040973,3.744269,0.782017,0
1,2,-0.142526,3.201368,0.785387,0
2,8,-0.013152,3.451455,0.812593,0
3,5,-0.261522,3.226075,1.076298,0
4,2,0.75245,3.406319,0.897462,0
5,7,0.016583,3.373647,1.055462,0
1,2,-0.453439,4.374485,1.173981,0
2,10,0.063536,4.249956,1.661002,0
3,5,-0.189698,4.079849,0.595354,0
4,2,1.285321,2.899975,1.266937,0
5,7,-0.20941,7.094787,0.945736,1
1,2,0.080034,4.948661,1.283837,1
2,12,-0.160537,4.073898,1.645253,0
3,8,-0.205644,2.717923,1.388666,1
4,2,1.340593,2.743845,0.944216,0
5,7,0.121952,5.802987,0.966288,0
1,2,-0.163256,4.538522,0.828018,0
2,8,-0.006814,3.969727,1.164403,0
3,12,0.109875,4.502463,1.410333,1
4,2,0.89193,2.593907,1.140358,0
5,7,-0.155943,4.498704,0.918217,0
1,2,0.011422,4.491303,0.978864,0
2,12,-0.37783,3.764708,1.259659,0
3,8,0.353406,4.198062,1.844989,1
4,2,1.197869,2.095023,0.952199,0
5,7,0.084986,2.574422,0.921004,0
1,2,-0.232815,4.094864,1.260882,2
2,8,-0.255808,4.251957,1.427054,2
3,7,0.127097,4.352923,1.208927,2
4,2,0.854873,2.638,0.996673,0
5,7,0.009956,4.445478,1.004953,0
1,2,0.03638,4.433939,1.155945,2
2,11,-0.00104,5.38112,1.470491,1
3,9,-0.60243,3.762812,0.996524,1
4,2,1.09728,2.927803,0.751496,0
5,6,0.154677,4.589115,0.988581,0
1,3,0.175963,4.827151,1.623242,1
2,8,-0.008638,4.05231,0.920041,0
3,6,0.024367,4.063057,1.012117,0
4,2,0.287437,4.036506,0.977287,0
5,7,-0.123072,3.97339,0.877462,0
1,2,0.013547,4.870147,1.598648,0
2,8,-0.056102,4.162634,0.889051,0
3,3,0.307867,3.268091,0.731266,0
4,1,-0.23608,2.913419,1.032024,0
5,7,0.008568,4.193045,0.895227,0
1,2,0.077831,3.901367,1.157585,0
2,14,-0.292841,3.400645,1.244164,0
3,4,0.309557,3.462795,0.703197,0
4,2,0.992999,3.147476,0.98869,0
5,6,0.148549,3.393658,0.859348,0
1,2,0.268802,4.657121,0.936234,0
2,8,0.073706,4.515958,1.01174,0
3,7,-0.551595,3.946242,1.015729,0
4,2,1.116552,2.248583,1.029743,0
5,7,-0.001155,3.992876,1.169368,0
1,2,-0.060947,5.127048,1.118234,0
2,8,-0.104149,3.657304,0.717845,0
3,12,0.103884,4.301709,1.670339,2
4,2,1.256537,2.805388,1.013778,0
5,7,-0.193745,4.546815,0.868057,0
1,2,-0.127271,5.909694,1.049369,0
2,10,0.052281,4.665842,1.21927,0
3,9,0.065075,3.57853,1.795745,1
4,2,1.726038,4.217083,1.017199,0
5,7,0.349758,5.32793,1.056507,0
1,2,-0.282519,4.445331,1.077243,0
2,8,-0.195382,5.047678,0.981005,1
3,10,-0.149205,3.350088,1.69414,2
4,2,0.32809,2.916137,0.946497,0
5,7,-0.009528,4.917948,1.165885,0
1,2,-0.277818,3.406422,1.370738,1
2,8,-0.36116,3.649491,0.789478,0
3,7,-0.361721,4.131687,1.313323,1
4,2,0.665858,4.009388,1.028603,0
5,7,0.004748,3.817433,0.845066,1
1,2,0.042799,3.68073,0.990342,0
2,10,0.057469,3.258206,2.003922,0
3,5,-0.403206,2.917086,0.714687,0
4,2,0.62472,3.016237,1.085621,0
5,7,-0.019634,4.000689,1.14394,0
1,2,0.071029,3.670158,0.91,0
2,8,-0.091109,3.442497,0.871524,0
3,7,-0.430852,3.438863,1.063659,0
4,1,1.023533,3.169606,0.915707,0
5,7,0.099571,3.850844,0.961759,0
1,2,0.414888,3.685902,0.991981,0
2,8,-0.031347,3.455159,0.705145,0
3,2,0.016333,3.377466,0.691378,0
4,2,0.442573,3.455691,0.902023,0
5,7,-0.113621,3.414336,0.955489,0
1,2,-0.145349,4.574408,0.987063,2
2,8,-0.053105,4.94207,0.943156,0
3,18,0.234595,4.223454,1.932314,1
4,2,0.607439,3.862416,1.238428,2
5,10,-0.096584,4.426974,2.078529,2
1,2,0.426579,3.953887,0.91,0
2,8,0.103014,3.422389,0.855775,0
3,8,-0.55713,3.185894,0.746531,0
4,2,1.144368,1.627654,0.994392,0
5,7,-0.10043,3.561084,1.151603,0
1,2,-0.064363,3.706473,0.793585,0
2,8,-0.16526,3.358486,1.270073,0
3,5,-0.508232,2.965272,0.865536,0
4,2,0.615197,3.045249,0.931672,0
5,7,0.168932,4.206562,0.808839,0
1,2,-0.222063,3.909108,0.847693,0
2,8,-0.051539,3.368784,1.038666,0
3,3,-0.24317,3.104877,0.812353,0
4,2,0.38199,3.488715,1.175709,0
5,7,0.063883,3.58635,1.015752,0
1,2,0.07678,3.784312,1.705224,2
2,8,0.115364,4.840624,0.649261,0
3,5,-0.464484,2.41161,0.883592,0
4,2,0.467076,3.247011,0.895181,0
5,7,-0.074416,5.288506,0.808839,0
1,2,-0.664974,3.647504,0.705045,0
2,8,-0.181012,3.439014,0.68838,0
3,7,-0.49615,3.92146,1.032636,0
4,2,1.224945,2.781845,0.973866,0
5,7,0.233234,4.158115,0.784804,0
1,2,-0.17055,3.74833,0.785387,0
2,8,-0.293935,3.763955,0.640625,0
3,2,0.159708,3.395909,0.575984,0
4,2,0.196718,3.314387,0.882637,0
5,7,0.120104,3.773922,1.02864,1
1,2,-0.254526,4.972385,0.828018,2
2,9,-0.38151,4.623354,0.971098,1
3,5,0.518983,4.459865,0.933,1
4,2,1.161504,1.857721,1.026322,0
5,7,-0.212385,4.915703,0.824863,0
1,2,-0.65602,4.892608,1.006738,0
2,8,-0.176254,5.179627,0.750867,0
3,2,-0.382317,1.596783,0.567449,0
4,2,0.698922,2.224549,0.995532,0
5,8,0.122661,4.657423,0.941556,0
1,2,-0.026514,3.659692,1.188738,1
2,8,-0.187858,3.389889,0.892099,2
3,2,-0.053719,3.511417,0.506715,1
4,2,0.829756,3.68832,0.900883,0
5,7,0.011575,3.691581,1.085767,2
1,2,0.396272,4.929609,0.850973,0
2,8,0.053926,4.360455,0.973638,1
3,6,0.19589,5.654631,0.98569,2
4,2,0.564668,4.000085,1.018339,1
5,7,-0.236352,4.20734,0.974996,1
1,2,0.242624,5.033199,0.973945,2
2,10,-0.114853,3.864322,1.054161,1
3,7,-0.591415,3.093536,1.193169,0
4,2,0.524672,2.796639,0.8929,0
5,7,0.250001,5.78014,0.971513,2
1,2,-0.335751,3.066823,0.967387,0
2,8,-0.150114,3.570451,1.229177,0
3,7,0.34776,3.586543,1.328753,2
4,2,1.101068,3.510934,1.024041,0
5,7,-0.21559,4.149177,0.989626,0
1,2,-0.761086,3.176732,0.877207,0
2,8,0.048259,4.109473,0.857553,0
3,5,-0.356694,3.447432,1.048065,0
4,2,0.459249,2.539034,0.838163,0
5,7,0.117024,4.292822,0.860393,0
1,2,-0.255777,3.995587,0.878846,0
2,8,-0.028734,3.585036,0.787953,0
3,7,-0.189227,3.620939,0.739637,0
4,2,1.219914,3.050896,1.062813,0
5,7,-0.070266,3.83573,0.792467,0
1,2,-0.356086,4.666383,1.052648,1
2,8,-0.106791,3.797649,1.322908,0
3,7,-0.177035,4.185738,1.359448,0
4,2,0.585846,2.846119,0.998953,0
5,7,0.118616,4.594128,0.960714,0
1,2,0.190101,6.251011,1.028054,1
2,9,-0.021415,4.564996,0.693714,0
3,10,0.27467,4.219458,1.094026,1
4,3,0.360173,3.188565,1.197376,0
5,2,-0.449741,3.442915,0.234083,0
1,2,0.229805,4.541616,1.049369,1
2,8,-0.077447,3.995826,0.69727,0
3,6,0.083219,3.931977,1.077447,0
4,2,0.456451,3.601488,0.903163,0
5,7,0.020201,3.859473,0.935286,0
1,2,0.151508,4.552163,1.082162,0
2,8,0.062763,3.765315,0.917247,0
3,9,0.109667,3.667449,1.032143,0
4,2,1.02177,3.85117,0.939655,0
5,7,-0.243181,4.448673,0.985446,0
1,2,0.142336,3.503729,0.916558,1
2,8,-0.299438,3.612764,0.660184,0
3,5,0.194375,3.758382,0.881458,0
4,2,0.70115,3.570433,0.86097,0
5,7,0.031527,3.635125,0.890698,0
1,2,0.07594,5.252722,0.985423,0
2,8,0.242951,3.371703,0.781603,0
3,8,0.152807,3.417787,1.039201,0
4,2,0.78318,2.790591,1.134656,0
5,7,-0.324323,4.188991,1.081936,0
1,2,-0.001936,5.865826,0.798504,0
2,8,-0.188553,4.783542,0.852219,1
3,8,0.328242,4.19326,1.552318,2
4,3,0.294296,3.476314,1.087901,0
5,7,-0.050644,5.160203,0.988581,1
1,2,0.378178,5.853308,1.295315,0
2,8,0.01649,3.704572,0.609889,0
3,8,0.340019,3.672899,0.760483,0
4,2,0.473565,3.573718,0.889479,0
5,7,-0.246363,5.855324,0.923442,0
1,2,0.453969,5.325631,1.58881,1
2,8,0.323343,3.483463,0.717591,0
3,6,-0.109163,4.185694,0.824007,0
4,2,1.14558,2.64082,1.128954,0
5,7,-0.374895,5.071835,1.086812,0
1,2,0.083163,5.18147,0.965747,0
2,13,0.118453,6.312105,1.325702,0
3,7,0.060183,4.034402,0.866521,0
4,2,1.371678,2.99686,1.232727,0
5,7,-0.172628,5.47714,1.042922,0
1,2,0.266134,5.537619,1.374017,1
2,11,-0.042379,5.832212,1.04146,0
3,5,0.339706,4.701641,0.657729,0
4,2,0.580756,3.289836,1.057112,0
5,7,-0.175241,5.590564,0.947477,0
1,2,0.190753,4.727714,0.988702,0
2,8,0.035214,4.337568,0.872032,0
3,5,0.27005,4.048899,0.778047,0
4,2,1.07515,4.150497,1.033164,0
5,7,-0.278637,4.068149,1.026202,0
1,2,0.170231,5.945864,0.95427,0
2,8,-0.015544,3.852648,0.678473,0
3,9,0.423311,3.865538,1.07203,1
4,2,0.982788,3.064032,1.036585,0
5,7,-0.372867,4.690851,1.062777,0
1,2,0.168007,3.752881,1.031333,0
2,8,0.13526,3.491962,0.766616,0
3,8,0.164591,3.339058,0.703525,0
4,2,0.993542,3.240395,1.026322,0
5,7,-0.315851,3.358328,0.943297,0
1,2,0.138438,5.387275,0.828018,0
2,12,0.118408,4.290943,1.887075,2
3,7,0.342397,3.750212,1.018683,1
4,2,0.882675,2.968468,1.164305,0
5,7,-0.42141,4.668016,1.117814,0
1,2,0.195893,5.612044,0.947711,0
2,8,0.089418,5.015264,0.654342,0
3,7,-0.026185,3.981518,1.076298,0
4,2,1.076338,4.006695,1.049129,0
5,7,-0.231659,4.225795,0.938769,0
1,2,0.17137,5.412522,0.701765,1
2,8,0.000845,4.533209,0.796082,0
3,7,0.460758,3.042725,0.675292,0
4,2,0.634562,4.254125,1.014918,0
5,7,-0.336765,3.879643,1.002515,1
1,2,-0.124299,4.485791,0.86409,0
2,12,-0.018871,4.290601,1.403177,0
3,10,-0.063721,4.128358,1.248158,1
4,2,0.950341,3.831747,0.917988,0
5,9,-0.076758,4.150492,1.351897,1
1,2,0.444226,3.64003,0.878846,0
2,8,0.029938,3.250854,0.738675,0
3,2,0.07154,3.13997,0.574507,0
4,2,0.874186,3.05365,0.982988,0
5,7,-0.226791,3.752728,0.98475,0
1,2,0.061697,4.984469,0.949351,0
2,8,0.127284,4.892,0.920295,0
3,7,0.166968,4.414368,0.888352,1
4,2,0.883029,2.440765,0.912286,0
5,7,-0.114208,4.977835,0.89662,0
1,2,0.413147,5.77454,1.008378,0
2,8,0.145859,3.853193,1.087691,0
3,5,0.104985,3.006312,1.157222,0
4,2,1.537946,6.408688,1.079919,0
5,7,-0.377724,3.710599,1.111196,0
1,2,0.100312,5.387828,0.857531,0
2,8,-0.176794,5.013164,1.137732,0
3,4,-0.030753,3.506631,0.753097,0
4,2,1.270495,3.513744,0.933953,0
5,7,-0.171456,4.205279,0.977086,0
1,2,0.342217,5.624294,1.1789,0
2,8,0.111768,4.629398,0.863904,0
3,7,0.356222,3.739454,0.979617,0
4,2,0.817149,2.709784,0.943076,0
5,7,-0.37711,5.229867,1.099004,0
1,2,-0.285313,5.306196,0.844414,0
2,8,0.007947,3.733265,0.686602,0
3,7,0.390194,3.624596,0.630481,0
4,2,0.824399,3.336079,0.903163,0
5,7,-0.137315,4.985496,0.964198,1
1,2,0.221265,6.049521,0.898522,0
2,8,-0.045668,4.852233,0.70108,0
3,6,0.499306,3.869079,0.71403,1
4,2,0.302054,2.801379,0.949918,0
5,7,-0.180892,4.620474,0.9008,0
1,2,0.678295,6.480149,0.757513,0
2,8,-0.072206,3.260765,0.772713,0
3,3,0.943991,4.067144,0.697288,0
4,2,1.121968,3.791195,0.981848,0
5,7,-0.29501,6.652536,1.209775,0
1,2,-0.154288,4.096242,0.811621,0
2,8,-0.127578,3.18945,1.081848,0
3,5,0.306951,3.7363,0.636882,0
4,2,0.830764,3.996101,1.006936,0
5,7,-0.041428,3.730318,0.86527,0
1,2,-0.349135,4.819002,1.128072,1
2,14,0.085322,4.238523,2.597808,2
3,6,0.082328,4.220442,1.060212,2
4,3,0.890988,3.351985,0.937374,0
5,7,-0.210431,5.149257,0.952702,2
1,2,0.778319,5.661878,0.891964,0
2,10,0.051495,4.04139,1.278964,0
3,7,0.633367,3.437098,1.058899,0
4,2,0.987282,2.84464,0.914567,0
5,7,-0.461608,5.123771,1.04118,0
1,2,0.408317,4.151927,0.854252,0
2,8,0.019064,4.201903,0.85857,0
3,6,0.073973,3.295283,0.94055,0
4,2,0.86134,3.186567,0.936234,0
5,6,-0.256271,4.554069,0.77087,0
1,2,0.058358,6.101586,0.973945,0
2,8,-0.007119,4.702139,0.887019,0
3,4,0.27426,4.769537,1.228296,1
4,2,1.158726,3.006776,0.848426,0
5,7,-0.253322,3.703772,0.992413,0
1,2,0.332293,4.426246,0.896882,0
2,8,0.344487,3.059064,0.752645,0
3,7,0.486094,3.351255,0.847808,0
4,2,1.276635,3.523456,0.922549,0
5,7,-0.159765,3.757688,1.062429,0
1,2,0.118405,4.660529,0.826378,0
