@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.122,0.777,0.101,0.105,0.838,0.198,0.395,0
0.038,0.326,0.636,0.209,0.279,0.119,0.377,2
0.264,0.484,0.252,0.476,0.33,0.408,0.46,1
0.128,0.838,0.035,0.574,0.404,0.294,0.365,0
0.591,0.19,0.218,0.54,0.329,0.226,0.369,0
0.406,0.264,0.33,0.322,0.4,0.135,0.424,0
0.268,0.388,0.343,0.727,0.232,0.257,0.377,0
0.68,0.268,0.052,0.812,0.157,0.482,0.271,0
0.46,0.227,0.313,0.688,0.267,0.279,0.398,0
0.493,0.364,0.143,0.314,0.283,0.128,0.374,0
0.049,0.773,0.178,0.371,0.491,0.536,0.264,1
0.105,0.644,0.251,0.12,0.584,0.127,0.403,1
0.601,0.134,0.266,0.56,0.232,0.517,0.262,0
0.545,0.186,0.268,0.477,0.476,0.493,0.25,0
0.252,0.439,0.309,0.173,0.502,0.208,0.343,0
0.049,0.77,0.181,0.159,0.645,0.135,0.596,1
0.539,0.253,0.207,0.416,0.545,0.502,0.206,0
0.066,0.293,0.641,0.036,0.18,0.123,0.376,1
0.376,0.269,0.355,0.058,0.375,0.308,0.472,2
0.115,0.073,0.812,0.086,0.712,0.242,0.372,2
0.119,0.529,0.352,0.306,0.519,0.134,0.405,2
0.32,0.579,0.101,0.433,0.501,0.469,0.327,0
0.06,0.514,0.426,0.166,0.693,0.227,0.344,1
0.041,0.848,0.111,0.587,0.314,0.144,0.413,1
0.541,0.198,0.26,0.488,0.425,0.612,0.217,0
0.685,0.22,0.095,0.482,0.409,0.283,0.363,0
0.209,0.383,0.408,0.341,0.488,0.098,0.456,0
0.486,0.193,0.321,0.19,0.742,0.519,0.281,0
0.249,0.624,0.127,0.463,0.474,0.366,0.409,0
0.189,0.129,0.682,0.461,0.31,0.296,0.396,0
0.724,0.214,0.062,0.523,0.402,0.592,0.273,0
0.403,0.326,0.27,0.766,0.136,0.746,0.138,0
0.195,0.605,0.2,0.271,0.466,0.111,0.729,0
0.101,0.789,0.11,0.258,0.524,0.139,0.395,0
0.06,0.189,0.751,0.13,0.226,0.138,0.384,2
0.062,0.513,0.425,0.004,0.799,0.105,0.598,1
0.942,0.003,0.056,0.101,0.745,0.018,0.784,0
0.48,0.409,0.111,0.02,0.968,0.253,0.549,0
0.274,0.344,0.382,0.357,0.389,0.004,0.563,0
0.245,0.664,0.091,0.077,0.903,0.068,0.743,1
0.024,0.772,0.204,0.024,0.395,0.11,0.426,2
0.417,0.352,0.231,0.581,0.354,0.135,0.452,0
0.416,0.361,0.222,0.058,0.893,0.638,0.232,0
0.18,0.487,0.333,0.086,0.514,0.004,0.918,1
0.23,0.749,0.021,0.154,0.834,0.068,0.572,0
0.075,0.739,0.186,0.184,0.58,0.071,0.515,1
0.684,0.087,0.228,0.418,0.497,0.342,0.357,0
0.524,0.418,0.059,0.429,0.544,0.265,0.504,1
0.089,0.127,0.784,0.014,0.092,0.218,0.372,0
0.267,0.696,0.036,0.372,0.589,0.124,0.414,0
0.806,0.013,0.181,0.474,0.35,0.289,0.448,0
0.446,0.353,0.201,0.316,0.582,0.493,0.316,0
0.365,0.589,0.046,0.673,0.193,0.517,0.313,0
