@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.473,0.256,0.27,0.226,0.33,2
0.085,0.82,0.095,0.117,0.294,1
0.4,0.31,0.289,0.724,0.188,0
0.647,0.193,0.16,0.52,0.319,2
0.299,0.677,0.023,0.668,0.284,0
0.782,0.129,0.089,0.182,0.347,1
0.024,0.855,0.121,0.174,0.303,2
0.392,0.09,0.518,0.715,0.162,1
0.248,0.657,0.095,0.459,0.431,1
0.243,0.169,0.588,0.182,0.274,2
0.312,0.446,0.242,0.134,0.361,1
0.398,0.575,0.027,0.105,0.385,0
0.211,0.755,0.033,0.378,0.319,0
0.122,0.401,0.477,0.367,0.246,2
0.457,0.502,0.041,0.002,0.074,0
0.758,0.11,0.132,0.221,0.434,0
0.025,0.059,0.916,0.187,0.339,2
0.872,0.046,0.082,0.503,0.291,0
0.555,0.387,0.057,0.287,0.485,0
0.931,0.065,0.004,0.03,0.151,0
0.314,0.5,0.186,0.173,0.365,0
0.315,0.598,0.087,0.119,0.301,0
0.801,0.071,0.127,0.753,0.117,0
0.467,0.204,0.329,0.743,0.181,0
0.112,0.809,0.079,0.793,0.171,0
0.935,0.057,0.008,0.376,0.367,0
0.105,0.692,0.203,0.193,0.361,0
0.902,0.011,0.087,0.916,0.067,0
0.666,0.26,0.074,0.783,0.188,0
0.281,0.409,0.31,0.012,0.05,1
0.197,0.077,0.727,0.118,0.324,0
0.019,0.881,0.1,0.124,0.312,0
0.707,0.087,0.206,0.636,0.151,0
0.195,0.271,0.534,0.455,0.222,0
0.073,0.702,0.226,0.391,0.507,1
0.412,0.213,0.375,0.14,0.31,0
0.274,0.643,0.083,0.088,0.691,1
0.642,0.073,0.285,0.558,0.32,0
0.928,0.059,0.013,0.363,0.175,0
0.307,0.622,0.071,0.394,0.581,1
0.875,0.106,0.018,0.165,0.616,0
0.139,0.794,0.067,0.083,0.441,0
0.873,0.042,0.084,0.463,0.429,0
0.533,0.372,0.094,0.758,0.196,0
0.293,0.61,0.096,0.678,0.226,0
0.741,0.086,0.173,0.294,0.338,0
0.175,0.679,0.146,0.178,0.358,0
0.821,0.049,0.131,0.406,0.352,0
0.204,0.541,0.255,0.52,0.315,0
0.253,0.679,0.068,0.587,0.307,1
0.797,0.176,0.027,0.319,0.514,0
0.48,0.374,0.145,0.092,0.659,0
0.894,0.065,0.04,0.643,0.267,0
0.641,0.211,0.149,0.572,0.339,0
0.283,0.404,0.313,0.54,0.189,0
0.891,0.007,0.102,0.138,0.245,0
0.413,0.468,0.12,0.21,0.338,0
0.688,0.043,0.269,0.783,0.139,0
0.06,0.821,0.119,0.22,0.436,0
0.196,0.492,0.312,0.442,0.329,0
0.228,0.004,0.768,0.207,0.251,0
0.502,0.452,0.046,0.145,0.301,0
0.124,0.039,0.837,0.662,0.169,0
0.232,0.574,0.194,0.198,0.207,0
0.417,0.437,0.146,0.253,0.643,0
0.615,0.156,0.229,0.122,0.282,1
0.055,0.709,0.236,0.163,0.352,2
0.583,0.172,0.245,0.245,0.412,0
0.089,0.655,0.256,0.441,0.2,1
0.166,0.504,0.331,0.489,0.394,0
0.954,0.021,0.026,0.075,0.261,0
0.575,0.401,0.024,0.151,0.441,0
0.388,0.187,0.425,0.445,0.229,0
0.062,0.849,0.09,0.432,0.393,0
0.178,0.519,0.303,0.83,0.129,1
0.968,0.008,0.025,0.129,0.294,0
0.29,0.649,0.061,0.178,0.324,0
0.85,0.038,0.113,0.67,0.189,0
0.013,0.826,0.161,0.195,0.191,0
0.393,0.519,0.088,0.629,0.335,0
0.114,0.507,0.379,0.192,0.401,0
0.357,0.586,0.057,0.134,0.393,0
0.769,0.018,0.212,0.946,0.042,0
0.032,0.816,0.152,0.211,0.339,0
0.223,0.682,0.095,0.199,0.575,1
0.175,0.787,0.039,0.14,0.615,0
0.082,0.811,0.106,0.153,0.51,0
0.852,0.065,0.083,0.151,0.31,0
0.377,0.202,0.421,0.358,0.414,0
0.609,0.322,0.069,0.747,0.203,0
0.774,0.152,0.075,0.143,0.417,0
0.065,0.865,0.07,0.15,0.344,0
0.469,0.153,0.378,0.834,0.114,0
0.103,0.572,0.325,0.398,0.317,0
0.077,0.775,0.149,0.515,0.318,0
0.917,0.033,0.05,0.089,0.201,0
0.333,0.604,0.063,0.24,0.327,1
0.699,0.036,0.265,0.449,0.276,0
0.043,0.836,0.122,0.109,0.24,0
0.607,0.328,0.065,0.744,0.209,0
0.942,0.017,0.041,0.226,0.398,0
0.152,0.797,0.051,0.251,0.345,0
0.888,0.032,0.08,0.767,0.163,0
0.561,0.327,0.112,0.721,0.229,0
0.574,0.311,0.115,0.603,0.282,0
0.093,0.113,0.795,0.174,0.281,2
0.379,0.55,0.071,0.173,0.327,1
0.837,0.06,0.103,0.782,0.146,0
0.038,0.884,0.078,0.496,0.211,0
0.193,0.516,0.291,0.728,0.239,0
0.751,0.084,0.165,0.109,0.196,0
0.094,0.8,0.106,0.105,0.262,0
0.507,0.172,0.322,0.627,0.232,0
0.209,0.714,0.078,0.718,0.17,0
0.349,0.557,0.094,0.621,0.237,1
0.7,0.181,0.118,0.144,0.295,0
0.769,0.201,0.03,0.36,0.308,0
0.316,0.62,0.064,0.193,0.484,0
0.352,0.573,0.075,0.315,0.294,1
0.236,0.719,0.044,0.192,0.599,0
0.637,0.155,0.208,0.171,0.309,0
0.129,0.804,0.067,0.053,0.837,1
0.492,0.407,0.101,0.71,0.195,0
0.168,0.682,0.15,0.352,0.483,1
0.76,0.237,0.004,0.858,0.119,0
0.852,0.077,0.07,0.313,0.484,0
0.791,0.198,0.012,0.148,0.332,0
0.892,0.012,0.096,0.858,0.1,0
0.362,0.484,0.154,0.529,0.394,0
0.375,0.6,0.025,0.103,0.522,0
0.407,0.566,0.027,0.202,0.644,0
0.166,0.757,0.076,0.089,0.332,1
0.978,0.012,0.01,0.891,0.082,0
0.438,0.525,0.037,0.491,0.369,0
0.199,0.417,0.384,0.874,0.077,0
0.678,0.041,0.281,0.125,0.202,0
0.481,0.369,0.151,0.144,0.367,0
0.022,0.11,0.868,0.888,0.089,0
0.151,0.762,0.088,0.397,0.352,0
0.497,0.382,0.12,0.612,0.298,0
0.386,0.379,0.236,0.16,0.281,0
0.73,0.245,0.024,0.158,0.33,0
0.83,0.062,0.108,0.466,0.391,0
0.499,0.398,0.103,0.409,0.361,0
0.135,0.632,0.233,0.597,0.256,0
0.835,0.052,0.113,0.13,0.33,0
0.422,0.509,0.069,0.196,0.316,0
0.861,0.019,0.121,0.692,0.206,0
0.011,0.895,0.094,0.322,0.462,0
0.393,0.516,0.092,0.211,0.699,0
0.954,0.026,0.02,0.269,0.378,0
0.365,0.603,0.032,0.256,0.323,0
0.538,0.074,0.388,0.838,0.092,0
0.198,0.77,0.033,0.316,0.461,1
0.195,0.672,0.133,0.537,0.298,0
0.678,0.125,0.197,0.102,0.202,0
0.534,0.431,0.034,0.181,0.304,1
0.872,0.091,0.037,0.257,0.393,0
0.127,0.752,0.121,0.343,0.382,0
0.196,0.51,0.294,0.886,0.104,0
0.948,0.027,0.024,0.095,0.252,0
0.584,0.35,0.066,0.178,0.336,0
0.505,0.159,0.335,0.601,0.317,0
0.002,0.929,0.07,0.311,0.386,0
0.416,0.561,0.023,0.711,0.272,0
0.814,0.112,0.074,0.194,0.333,0
0.78,0.196,0.024,0.185,0.367,0
0.896,0.02,0.084,0.499,0.347,0
0.459,0.447,0.094,0.659,0.285,0
0.006,0.804,0.19,0.453,0.338,1
0.009,0.083,0.908,0.175,0.288,2
0.081,0.419,0.5,0.152,0.312,2
0.639,0.162,0.199,0.96,0.032,0
0.192,0.558,0.25,0.45,0.248,2
0.37,0.464,0.166,0.983,0.015,0
0.595,0.235,0.17,0.203,0.33,0
0.541,0.395,0.064,0.219,0.345,0
0.836,0.069,0.095,0.578,0.276,0
0.035,0.829,0.136,0.305,0.27,0
0.668,0.258,0.073,0.966,0.03,0
0.496,0.341,0.163,0.211,0.354,0
0.199,0.706,0.095,0.18,0.361,0
0.863,0.072,0.065,0.672,0.201,0
0.699,0.15,0.151,0.471,0.259,0
0.099,0.764,0.137,0.396,0.484,0
0.87,0.062,0.067,0.226,0.383,0
0.054,0.711,0.235,0.083,0.27,1
0.841,0.042,0.116,0.457,0.411,0
0.206,0.657,0.137,0.469,0.308,0
0.331,0.551,0.117,0.231,0.736,0
0.894,0.101,0.005,0.212,0.75,0
0.207,0.783,0.01,0.113,0.78,0
0.878,0.104,0.018,0.184,0.768,0
0.375,0.247,0.377,0.621,0.271,0
0.413,0.554,0.033,0.632,0.313,0
0.839,0.127,0.033,0.579,0.261,0
0.695,0.266,0.038,0.144,0.357,0
0.975,0.003,0.022,0.675,0.224,0
0.195,0.765,0.04,0.481,0.448,1
0.65,0.33,0.02,0.206,0.725,0
0.697,0.238,0.066,0.136,0.725,1
0.086,0.787,0.127,0.112,0.37,0
0.96,0.009,0.031,0.745,0.181,0
0.072,0.168,0.759,0.208,0.39,0
0.177,0.807,0.016,0.801,0.185,0
0.642,0.254,0.103,0.294,0.362,0
0.247,0.671,0.082,0.076,0.318,1
0.129,0.06,0.81,0.937,0.054,0
0.09,0.409,0.501,0.581,0.321,0
0.67,0.322,0.007,0.628,0.28,0
0.893,0.061,0.046,0.449,0.343,0
0.59,0.237,0.173,0.203,0.326,0
0.645,0.179,0.176,0.823,0.131,0
0.122,0.546,0.332,0.704,0.241,0
0.191,0.762,0.047,0.26,0.398,1
0.131,0.046,0.823,0.139,0.338,2
0.03,0.716,0.253,0.136,0.321,2
0.769,0.115,0.116,0.434,0.455,0
0.358,0.519,0.123,0.502,0.402,2
0.07,0.849,0.082,0.73,0.22,0
0.642,0.196,0.162,0.465,0.3,0
0.189,0.684,0.127,0.161,0.358,1
0.96,0.009,0.031,0.795,0.141,0
0.753,0.222,0.025,0.506,0.45,1
