@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

2,1.097909,0
3,1.529676,2
5,1.284652,1
1,0.911392,0
2,0.988729,0
3,1.347141,0
4,0.914336,0
5,0.781372,0
2,0.814142,0
3,1.078272,0
5,0.944956,1
3,1.391212,1
5,0.965491,0
1,0.829284,0
2,1.166624,0
3,1.412919,1
5,0.91746,0
3,1.848372,1
1,1.262811,2
2,1.429776,2
3,1.211144,2
5,1.004124,0
2,1.473295,1
3,0.998351,1
5,0.987766,0
2,0.921796,0
3,1.013973,0
4,0.975823,0
1,1.159356,0
2,1.246536,0
5,0.858639,0
1,0.937666,0
2,1.01367,0
3,1.017591,0
3,1.673401,2
3,1.799038,1
4,1.015676,0
5,1.055636,0
1,1.078891,0
2,0.982875,1
3,1.697246,2
4,0.94508,0
5,1.164923,0
1,1.372835,1
2,0.790983,0
3,1.315732,1
4,1.027062,0
5,0.844369,1
2,2.007743,0
3,0.715997,0
4,1.083995,0
5,1.142996,0
1,0.911392,0
3,1.065609,0
4,0.914336,0
5,0.960966,0
1,0.993499,0
2,0.706489,0
3,0.692646,0
2,0.944955,0
3,1.935857,1
5,2.076814,2
1,0.911392,0
2,0.857407,0
3,0.7479,0
4,0.992903,0
5,1.150653,0
1,0.794799,0
2,1.272495,0
1,0.84899,0
2,1.040647,0
3,0.813843,0
4,1.173948,0
5,1.014914,0
1,1.707833,2
2,0.6505,0
3,0.885212,0
4,0.89384,0
1,0.706123,0
2,0.689692,0
3,1.034529,0
4,0.972407,0
2,0.97295,1
3,0.93471,1
4,1.024785,0
5,0.824182,0
1,1.008278,0
2,0.752299,0
3,0.568489,0
4,0.994042,0
5,0.940779,0
2,0.975495,1
3,0.987498,2
2,1.056171,1
3,1.195357,0
1,0.968867,0
2,1.231521,0
3,1.33119,2
5,0.98881,0
1,0.878549,0
1,0.880191,0
3,0.740993,0
4,1.061222,0
5,0.791814,0
2,1.325431,0
1,1.029626,1
2,0.695037,0
3,1.096032,1
4,1.195583,0
1,1.050974,1
2,0.6986,0
3,1.079423,0
4,0.901811,0
2,0.918996,0
3,1.034036,0
5,0.984633,0
3,0.883074,0
5,0.889964,0
1,0.98693,0
2,0.783094,0
3,1.041107,0
1,1.069038,0
3,0.847554,0
2,0.853844,1
3,1.555165,2
4,1.086272,0
1,1.297296,0
2,0.611052,0
3,0.761878,0
5,0.92268,0
1,1.59124,1
2,0.71896,0
3,0.825518,0
1,0.967225,0
2,1.328231,0
3,0.86811,0
4,1.230881,0
5,1.042062,0
1,1.376119,1
2,1.043446,0
3,0.658935,0
4,1.055529,0
5,0.946696,0
1,0.990215,0
2,0.873695,0
3,0.779474,0
1,0.95573,0
2,0.679767,0
3,0.704815,0
5,1.116892,0
1,0.949161,0
2,0.65559,0
3,1.078272,0
5,0.937995,0
2,0.7976,0
5,1.001688,1
1,0.865411,0
2,1.405853,0
3,1.250447,1
5,1.350782,1
1,0.880191,0
2,0.740083,0
3,0.575561,0
1,0.950803,0
2,0.92205,0
3,0.889981,1
4,0.91092,0
5,0.895881,0
3,1.159344,0
4,1.078302,0
2,1.139901,0
3,0.754478,0
4,0.932554,0
5,0.97628,0
1,0.845706,0
2,0.687911,0
5,0.963402,1
2,0.774186,0
3,0.698566,0
4,0.980378,0
5,1.208778,0
1,0.812863,0
2,1.083911,0
3,0.63805,0
4,1.005428,0
5,0.864556,0
5,0.951917,2
2,1.281403,0
3,1.06084,0
5,1.040321,0
3,0.942275,0
2,0.888711,0
3,1.230549,1
4,0.847156,0
5,0.991594,0
1,0.898254,0
2,0.754081,0
3,0.849363,0
4,0.921168,0
1,0.827642,0
2,0.675949,0
3,0.579672,0
4,0.996319,0
5,1.111324,1
1,1.00171,0
2,0.938084,1
3,0.795918,0
5,2.099089,0
2,1.276058,0
3,0.896066,1
2,0.687147,0
3,0.613712,0
5,0.909803,0
2,0.997636,2
3,1.305043,2
4,1.087411,0
5,1.01387,2
2,0.913652,0
3,0.98536,1
5,0.877434,1
