@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

2,10,4.479066,1.095709,0
3,12,4.476359,1.526416,2
5,16,5.282326,1.284438,1
1,2,4.185434,0.916546,0
2,8,3.717095,0.986747,0
3,12,3.710519,1.34427,0
4,2,3.489355,0.916667,0
5,8,3.744269,0.781242,0
2,8,3.451455,0.812511,0
3,5,3.226075,1.075974,0
5,7,7.094787,0.944798,1
3,8,2.717923,1.388248,1
5,7,5.802987,0.96533,0
1,2,4.538522,0.833974,0
2,8,3.969727,1.164286,0
3,12,4.502463,1.409908,1
5,7,4.498704,0.917307,0
3,8,4.198062,1.844433,1
1,2,4.094864,1.269953,2
2,8,4.251957,1.42691,2
3,7,4.352923,1.208563,2
5,7,4.445478,1.003957,0
2,11,5.38112,1.470342,1
3,9,3.762812,0.996224,1
5,6,4.589115,0.987601,0
2,8,4.05231,0.919948,0
3,6,4.063057,1.011813,0
4,2,4.036506,0.978311,0
1,2,3.901367,1.165913,0
2,14,3.400645,1.244038,0
5,6,3.393658,0.858496,0
1,2,4.657121,0.942969,0
2,8,4.515958,1.011638,0
3,7,3.946242,1.015423,0
3,12,4.301709,1.669835,2
3,9,3.57853,1.795204,1
4,2,4.217083,1.018265,0
5,7,5.32793,1.055459,0
1,2,4.445331,1.084992,0
2,8,5.047678,0.980906,1
3,10,3.350088,1.693629,2
4,2,2.916137,0.947489,0
5,7,4.917948,1.164729,0
1,2,3.406422,1.380599,1
2,8,3.649491,0.789398,0
3,7,4.131687,1.312928,1
4,2,4.009388,1.02968,0
5,7,3.817433,0.844228,1
2,10,3.258206,2.003719,0
3,5,2.917086,0.714472,0
4,2,3.016237,1.086758,0
5,7,4.000689,1.142805,0
1,2,3.670158,0.916546,0
3,7,3.438863,1.063339,0
4,1,3.169606,0.916667,0
5,7,3.850844,0.960806,0
1,2,3.685902,0.999118,0
2,8,3.455159,0.705074,0
3,2,3.377466,0.69117,0
2,8,4.94207,0.943061,0
3,18,4.223454,1.931732,1
5,10,4.426974,2.076468,2
1,2,3.953887,0.916546,0
2,8,3.422389,0.855689,0
3,8,3.185894,0.746306,0
4,2,1.627654,0.995434,0
5,7,3.561084,1.150461,0
1,2,3.706473,0.799294,0
2,8,3.358486,1.269945,0
1,2,3.909108,0.853792,0
2,8,3.368784,1.038561,0
3,3,3.104877,0.812108,0
4,2,3.488715,1.176941,0
5,7,3.58635,1.014744,0
1,2,3.784312,1.717492,2
2,8,4.840624,0.649196,0
3,5,2.41161,0.883326,0
4,2,3.247011,0.896119,0
1,2,3.647504,0.710117,0
2,8,3.439014,0.68831,0
3,7,3.92146,1.032325,0
4,2,2.781845,0.974886,0
2,9,4.623354,0.971,1
3,5,4.459865,0.932719,1
4,2,1.857721,1.027397,0
5,7,4.915703,0.824045,0
1,2,4.892608,1.013981,0
2,8,5.179627,0.750792,0
3,2,1.596783,0.567278,0
4,2,2.224549,0.996575,0
5,8,4.657423,0.940622,0
2,8,4.360455,0.97354,1
3,6,5.654631,0.985393,2
2,10,3.864322,1.054054,1
3,7,3.093536,1.19281,0
1,2,3.066823,0.974346,0
2,8,3.570451,1.229053,0
3,7,3.586543,1.328353,2
5,7,4.149177,0.988645,0
1,2,3.176732,0.883517,0
1,2,3.995587,0.885169,0
3,7,3.620939,0.739414,0
4,2,3.050896,1.063927,0
5,7,3.83573,0.791682,0
2,8,3.797649,1.322775,0
1,2,6.251011,1.035449,1
2,9,4.564996,0.693644,0
3,10,4.219458,1.093696,1
4,3,3.188565,1.19863,0
1,2,4.541616,1.056918,1
