@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.006,0.36,0.635,0.041,0.347,2
0.035,0.521,0.444,0.039,0.563,1
0.078,0.717,0.205,0.264,0.355,1
0.124,0.685,0.191,0.051,0.538,1
0.019,0.779,0.202,0.201,0.574,1
0.005,0.339,0.657,0.003,0.182,1
0.16,0.4,0.44,0.017,0.308,2
0.058,0.079,0.864,0.018,0.659,2
0.06,0.554,0.385,0.387,0.314,2
0.012,0.546,0.442,0.003,0.786,1
0.102,0.797,0.101,0.832,0.135,1
0.011,0.18,0.809,0.023,0.28,2
0.031,0.63,0.338,0,0.796,1
0.256,0.706,0.038,0.023,0.865,1
0.017,0.774,0.209,0.001,0.342,2
0.184,0.506,0.31,0.084,0.409,1
0.066,0.768,0.166,0.041,0.565,1
0.506,0.453,0.041,0.573,0.418,1
0.004,0.808,0.188,0.004,0.677,1
0.018,0.095,0.887,0,0.219,2
0.101,0.295,0.604,0.028,0.28,2
0.066,0.672,0.262,0.737,0.248,1
0.408,0.489,0.103,0.195,0.78,1
0.559,0.295,0.146,0.226,0.51,1
0.053,0.836,0.11,0.661,0.322,2
0.158,0.585,0.257,0.416,0.525,1
0.044,0.014,0.942,0.108,0.386,2
0.151,0.674,0.175,0.731,0.226,1
0.211,0.691,0.098,0.031,0.795,1
0.679,0.255,0.066,0.324,0.616,1
0.457,0.269,0.274,0.196,0.76,1
0.02,0.717,0.263,0.011,0.403,2
0.095,0.451,0.454,0.022,0.813,1
0.131,0.686,0.183,0.163,0.556,1
0.291,0.658,0.05,0.259,0.712,1
0.119,0.789,0.091,0.014,0.745,1
0.18,0.715,0.105,0.036,0.652,1
0.16,0.791,0.049,0.399,0.528,1
0.215,0.772,0.013,0.019,0.771,1
0.3,0.523,0.177,0.234,0.414,2
0.044,0.717,0.239,0.073,0.47,1
0.227,0.755,0.018,0.086,0.761,1
0.404,0.494,0.102,0.245,0.633,1
0.29,0.665,0.046,0.509,0.432,1
0.169,0.024,0.806,0.006,0.233,2
0.028,0.683,0.289,0.054,0.017,2
0.373,0.541,0.086,0.236,0.645,2
0.171,0.691,0.138,0.269,0.672,1
0.676,0.297,0.028,0.493,0.36,1
0.285,0.644,0.07,0.104,0.815,0
0.79,0.194,0.016,0.798,0.148,0
0.277,0.716,0.007,0.245,0.74,0
0.602,0.282,0.116,0.801,0.184,0
0.757,0.177,0.066,0.695,0.296,0
0.099,0.889,0.012,0.001,0.972,0
0.214,0.761,0.024,0.148,0.794,0
0.141,0.8,0.058,0.38,0.597,0
0.505,0.21,0.285,0.898,0.099,0
0.281,0.555,0.165,0.022,0.847,0
0.743,0.055,0.202,0.519,0.456,0
0.628,0.339,0.032,0.697,0.125,0
0.535,0.224,0.241,0.876,0.119,0
0.435,0.351,0.214,0.447,0.468,0
0.638,0.148,0.214,0.38,0.485,0
0.758,0.219,0.023,0.816,0.178,0
0.373,0.395,0.232,0.871,0.121,0
0.483,0.469,0.047,0.26,0.71,0
0.18,0.81,0.01,0.206,0.791,0
0.692,0.151,0.158,0.224,0.462,0
