@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.14,0.776,0.084,0.016,0.858,0.215,0.376,0
0.041,0.342,0.617,0.098,0.294,0.251,0.275,2
0.069,0.484,0.448,0.062,0.551,0.379,0.495,1
0.068,0.896,0.036,0.756,0.235,0.193,0.453,0
0.392,0.261,0.347,0.12,0.521,0.229,0.374,0
0.062,0.254,0.684,0.122,0.447,0.284,0.315,0
0.544,0.278,0.178,0.923,0.071,0.27,0.326,0
0.551,0.361,0.088,0.857,0.128,0.286,0.436,0
0.405,0.249,0.346,0.776,0.203,0.316,0.322,0
0.23,0.493,0.276,0.376,0.217,0.221,0.259,0
0.117,0.765,0.118,0.501,0.387,0.372,0.368,1
0.126,0.647,0.227,0.067,0.545,0.224,0.292,1
0.398,0.158,0.443,0.229,0.404,0.34,0.393,0
0.788,0.101,0.111,0.854,0.14,0.303,0.419,0
0.185,0.437,0.378,0.005,0.42,0.235,0.325,0
0.022,0.775,0.203,0.223,0.458,0.236,0.281,1
0.614,0.214,0.172,0.81,0.178,0.354,0.364,0
0.046,0.342,0.612,0.008,0.18,0.246,0.271,1
0.286,0.363,0.352,0.004,0.317,0.256,0.573,2
0.059,0.089,0.852,0.016,0.678,0.21,0.467,2
0.134,0.484,0.382,0.478,0.284,0.214,0.286,2
0.342,0.569,0.088,0.682,0.261,0.308,0.412,0
0.038,0.498,0.464,0.1,0.673,0.226,0.352,1
0.063,0.844,0.092,0.735,0.185,0.207,0.295,1
0.666,0.148,0.186,0.734,0.205,0.474,0.299,0
0.575,0.272,0.153,0.583,0.344,0.283,0.376,0
0.402,0.305,0.294,0.398,0.462,0.257,0.371,0
0.59,0.159,0.251,0.563,0.39,0.521,0.224,0
0.126,0.72,0.154,0.738,0.229,0.272,0.408,0
0.022,0.11,0.868,0.283,0.396,0.3,0.39,0
0.635,0.276,0.09,0.716,0.241,0.459,0.324,0
0.588,0.233,0.179,0.824,0.089,0.69,0.165,0
0.193,0.557,0.25,0.041,0.449,0.272,0.375,0
0.088,0.829,0.083,0.309,0.346,0.215,0.279,0
0.027,0.192,0.781,0.049,0.251,0.233,0.275,2
0.044,0.583,0.373,0,0.788,0.231,0.569,1
0.861,0.005,0.134,0.072,0.823,0.217,0.709,0
0.54,0.368,0.092,0.004,0.967,0.178,0.638,0
0.489,0.305,0.206,0.329,0.389,0.285,0.673,0
0.346,0.576,0.078,0.013,0.927,0.166,0.742,1
0.007,0.801,0.192,0.008,0.341,0.256,0.341,2
0.743,0.157,0.1,0.661,0.313,0.304,0.427,0
0.494,0.328,0.178,0.015,0.885,0.493,0.327,0
0.124,0.604,0.272,0.144,0.533,0.016,0.975,1
0.324,0.657,0.019,0.033,0.945,0.245,0.589,0
0.04,0.777,0.183,0.125,0.588,0.205,0.57,1
0.838,0.046,0.116,0.672,0.289,0.419,0.233,0
0.545,0.401,0.054,0.274,0.708,0.233,0.568,1
0.022,0.179,0.799,0.001,0.085,0.311,0.278,0
0.434,0.534,0.032,0.667,0.304,0.216,0.292,0
0.679,0.019,0.302,0.591,0.292,0.337,0.37,0
0.319,0.432,0.249,0.241,0.644,0.385,0.361,0
0.243,0.697,0.06,0.657,0.224,0.434,0.306,0
0.139,0.699,0.162,0.407,0.385,0.257,0.415,0
0.871,0.026,0.103,0.756,0.233,0.27,0.328,0
0.534,0.297,0.169,0.624,0.325,0.291,0.419,0
0.13,0.805,0.065,0.782,0.198,0.666,0.173,0
0.778,0.076,0.146,0.877,0.114,0.263,0.407,0
0.748,0.078,0.175,0,0.247,0.213,0.269,0
0.354,0.521,0.126,0.169,0.786,0.212,0.404,0
0.002,0.81,0.188,0.028,0.629,0.241,0.279,1
0.006,0.092,0.902,0,0.237,0.3,0.463,2
0.359,0.565,0.076,0.798,0.194,0.572,0.25,0
0.365,0.174,0.461,0.583,0.383,0.303,0.333,0
0.228,0.732,0.04,0.203,0.72,0.257,0.483,0
0.923,0.023,0.055,0.712,0.143,0.882,0.094,0
0.4,0.379,0.221,0.127,0.746,0.393,0.357,0
0.138,0.788,0.074,0.786,0.129,0.345,0.495,0
0.117,0.534,0.349,0.2,0.448,0.238,0.324,0
0.082,0.875,0.042,0.853,0.049,0.444,0.333,0
0.213,0.352,0.435,0.274,0.49,0.302,0.371,0
0.465,0.433,0.102,0.293,0.491,0.236,0.341,0
0.578,0.1,0.321,0.145,0.644,0.356,0.437,0
0.602,0.164,0.235,0.458,0.473,0.537,0.297,0
0.054,0.361,0.585,0.054,0.265,0.37,0.39,2
0.631,0.293,0.077,0.547,0.42,0.284,0.379,0
0.085,0.894,0.021,0.963,0.037,0.196,0.266,0
0.824,0.011,0.165,0.721,0.251,0.65,0.154,0
0.609,0.346,0.045,0.13,0.705,0.174,0.569,0
0.292,0.648,0.06,0.814,0.177,0.285,0.318,0
0.056,0.854,0.09,0.174,0.667,0.227,0.327,0
0.898,0.017,0.085,0.806,0.168,0.556,0.233,0
0.132,0.657,0.211,0.841,0.143,0.241,0.344,1
0.287,0.519,0.194,0.223,0.747,0.238,0.335,1
0.89,0.055,0.055,0.686,0.248,0.713,0.173,0
0.397,0.581,0.022,0.014,0.963,0.237,0.561,0
0.11,0.836,0.055,0.402,0.532,0.46,0.405,0
