@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.025,0.325,0.65,0.148,0.432,2
0.03,0.506,0.464,0.096,0.561,1
0.056,0.731,0.213,0.24,0.578,1
0.326,0.511,0.163,0.089,0.643,1
0.02,0.777,0.203,0.557,0.351,1
0.008,0.351,0.641,0.013,0.21,1
0.24,0.293,0.467,0.075,0.283,2
0.079,0.043,0.878,0.101,0.662,2
0.075,0.575,0.35,0.566,0.287,2
0.017,0.511,0.472,0.086,0.789,1
0.126,0.781,0.093,0.752,0.191,1
0.011,0.188,0.801,0.058,0.344,2
0.044,0.592,0.365,0.058,0.708,1
0.271,0.689,0.04,0.085,0.872,1
0.015,0.772,0.212,0.012,0.388,2
0.186,0.5,0.315,0.268,0.43,1
0.049,0.782,0.169,0.077,0.654,1
0.473,0.486,0.04,0.523,0.456,1
0.001,0.811,0.188,0.097,0.644,1
0.004,0.083,0.913,0.006,0.235,2
0.137,0.245,0.618,0.133,0.351,2
0.27,0.488,0.242,0.895,0.093,1
0.285,0.585,0.13,0.137,0.79,1
0.469,0.344,0.187,0.32,0.535,1
0.045,0.839,0.116,0.556,0.398,2
0.288,0.49,0.222,0.448,0.452,1
0.057,0.006,0.936,0.211,0.432,2
0.112,0.714,0.174,0.634,0.283,1
0.186,0.693,0.121,0.07,0.836,1
0.441,0.483,0.076,0.431,0.451,1
0.435,0.284,0.28,0.308,0.544,1
0.026,0.699,0.275,0.031,0.48,2
0.049,0.512,0.44,0.335,0.578,1
0.129,0.682,0.189,0.484,0.388,1
0.374,0.582,0.043,0.383,0.558,1
0.071,0.812,0.118,0.046,0.784,1
0.117,0.745,0.138,0.145,0.628,1
0.153,0.774,0.073,0.166,0.714,1
0.218,0.769,0.013,0.089,0.784,1
0.264,0.562,0.174,0.266,0.581,2
0.042,0.719,0.239,0.12,0.57,1
0.174,0.801,0.025,0.247,0.692,1
0.415,0.477,0.108,0.179,0.643,1
0.377,0.566,0.058,0.28,0.625,1
0.213,0.02,0.767,0.053,0.215,2
0.059,0.638,0.303,0.185,0.139,2
0.303,0.605,0.092,0.272,0.677,2
0.224,0.663,0.113,0.214,0.611,1
0.403,0.561,0.036,0.272,0.606,1
0.285,0.216,0.499,0.376,0.455,0
0.78,0.176,0.044,0.917,0.082,0
0.505,0.455,0.04,0.53,0.244,0
0.498,0.266,0.236,0.299,0.627,0
0.952,0.027,0.021,0.596,0.319,0
0.009,0.177,0.814,0.004,0.09,0
0.847,0.081,0.072,0.617,0.303,0
0.335,0.6,0.065,0.412,0.408,0
0.518,0.47,0.012,0.642,0.334,0
0.176,0.565,0.259,0.298,0.652,0
0.761,0.18,0.059,0.913,0.083,0
0.294,0.409,0.297,0.629,0.263,0
0.851,0.013,0.137,0.825,0.165,0
0.659,0.339,0.002,0.753,0.238,0
0.061,0.876,0.063,0.577,0.247,0
0.363,0.355,0.282,0.615,0.234,0
0.459,0.511,0.03,0.531,0.203,0
0.648,0.239,0.113,0.263,0.573,0
0.56,0.326,0.113,0.393,0.493,0
0.711,0.17,0.119,0.516,0.443,0
