@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.128,0.82,0.052,0.203,0.735,0
0.025,0.329,0.645,0.081,0.42,2
0.08,0.479,0.442,0.37,0.477,1
0.244,0.716,0.04,0.606,0.376,0
0.391,0.328,0.28,0.322,0.439,0
0.519,0.202,0.279,0.051,0.581,0
0.193,0.466,0.342,0.532,0.394,0
0.726,0.229,0.045,0.828,0.152,0
0.338,0.309,0.353,0.689,0.269,0
0.448,0.381,0.171,0.083,0.288,0
0.065,0.762,0.173,0.51,0.34,1
0.206,0.651,0.142,0.127,0.599,1
0.518,0.193,0.289,0.378,0.36,0
0.433,0.26,0.306,0.781,0.208,0
0.24,0.438,0.322,0.445,0.321,0
0.051,0.762,0.187,0.244,0.626,1
0.44,0.339,0.221,0.317,0.613,0
0.016,0.337,0.648,0.003,0.175,1
0.187,0.343,0.47,0.095,0.284,2
0.057,0.09,0.853,0.045,0.692,2
0.175,0.59,0.235,0.163,0.563,2
0.342,0.579,0.079,0.537,0.407,0
0.066,0.492,0.442,0.129,0.801,1
0.078,0.842,0.079,0.718,0.214,1
0.434,0.287,0.278,0.467,0.411,0
0.641,0.255,0.103,0.403,0.449,0
0.129,0.494,0.377,0.34,0.452,0
0.381,0.252,0.368,0.424,0.52,0
0.311,0.544,0.145,0.211,0.681,0
0.372,0.118,0.51,0.339,0.493,0
0.741,0.203,0.056,0.258,0.562,0
0.519,0.268,0.212,0.699,0.131,0
0.303,0.517,0.179,0.735,0.138,0
0.093,0.831,0.076,0.569,0.254,0
0.02,0.202,0.778,0.034,0.335,2
0.014,0.599,0.388,0.011,0.799,1
0.492,0.019,0.489,0.821,0.138,0
0.185,0.656,0.159,0.731,0.255,0
0.269,0.419,0.312,0.781,0.118,0
0.134,0.79,0.076,0.177,0.792,1
0.028,0.757,0.215,0.011,0.381,2
0.379,0.337,0.284,0.302,0.607,0
0.234,0.549,0.218,0.191,0.755,0
0.194,0.503,0.303,0.183,0.475,1
0.149,0.838,0.014,0.182,0.794,0
0.089,0.747,0.164,0.028,0.65,1
0.712,0.097,0.192,0.61,0.351,0
0.391,0.552,0.057,0.449,0.523,1
0.036,0.174,0.79,0.001,0.078,0
0.425,0.54,0.035,0.613,0.332,0
0.639,0.025,0.336,0.085,0.6,0
0.385,0.428,0.187,0.402,0.567,0
0.489,0.479,0.032,0.51,0.31,0
0.381,0.539,0.08,0.162,0.513,0
0.56,0.112,0.329,0.488,0.468,0
0.643,0.243,0.113,0.591,0.366,0
0.684,0.296,0.02,0.901,0.093,0
0.793,0.088,0.119,0.681,0.279,0
0.249,0.28,0.47,0.483,0.121,0
0.257,0.625,0.118,0.162,0.776,0
0.021,0.755,0.224,0.007,0.741,1
0.018,0.114,0.868,0.019,0.272,2
0.746,0.229,0.025,0.586,0.38,0
0.925,0.033,0.042,0.175,0.732,0
0.224,0.749,0.026,0.349,0.523,0
0.96,0.012,0.028,0.808,0.086,0
0.415,0.419,0.165,0.164,0.81,0
0.778,0.209,0.014,0.903,0.052,0
0.23,0.473,0.297,0.058,0.598,0
0.28,0.67,0.051,0.06,0.24,0
0.528,0.25,0.222,0.139,0.555,0
0.387,0.501,0.112,0.274,0.427,0
0.179,0.236,0.585,0.25,0.558,0
0.52,0.23,0.25,0.426,0.513,0
0.132,0.275,0.593,0.034,0.336,2
0.529,0.411,0.061,0.793,0.182,0
0.145,0.832,0.023,0.476,0.499,0
0.616,0.028,0.357,0.372,0.543,0
0.635,0.323,0.042,0.874,0.1,0
0.388,0.564,0.048,0.769,0.215,0
0.213,0.713,0.075,0.191,0.661,0
0.901,0.019,0.08,0.402,0.48,0
0.171,0.65,0.179,0.121,0.774,1
0.334,0.506,0.16,0.144,0.762,1
0.975,0.014,0.011,0.122,0.634,0
0.18,0.806,0.015,0.354,0.64,0
0.069,0.91,0.021,0.752,0.223,0
0.058,0.623,0.318,0.246,0.73,0
0.654,0.34,0.005,0.791,0.202,0
0.912,0.063,0.025,0.71,0.254,0
0.533,0.332,0.135,0.579,0.297,0
0.468,0.317,0.214,0.423,0.425,1
0.046,0.828,0.126,0.281,0.675,2
0.492,0.388,0.12,0.129,0.693,1
0.053,0.875,0.072,0.059,0.747,0
0.554,0.409,0.038,0.472,0.219,0
0.642,0.166,0.192,0.056,0.586,0
0.039,0.049,0.912,0.103,0.495,2
0.393,0.541,0.066,0.242,0.705,0
0.657,0.305,0.037,0.533,0.318,0
0.372,0.586,0.042,0.267,0.605,0
0.287,0.597,0.115,0.562,0.354,0
0.737,0.021,0.242,0.486,0.273,0
0.631,0.295,0.073,0.802,0.181,0
0.203,0.121,0.676,0.089,0.714,0
0.163,0.666,0.171,0.349,0.465,1
0.52,0.243,0.237,0.817,0.174,0
0.142,0.692,0.166,0.109,0.795,1
0.419,0.106,0.475,0.111,0.772,0
0.348,0.559,0.093,0.057,0.703,1
0.564,0.384,0.052,0.342,0.637,0
0.083,0.809,0.109,0.041,0.845,0
0.681,0.1,0.219,0.68,0.287,0
0.561,0.162,0.277,0.275,0.288,0
0.2,0.636,0.165,0.325,0.484,0
0.387,0.479,0.134,0.504,0.374,0
0.347,0.433,0.22,0.4,0.388,0
0.661,0.211,0.127,0.568,0.401,0
0.294,0.4,0.306,0.505,0.467,0
0.798,0.023,0.178,0.297,0.653,0
0.222,0.549,0.229,0.653,0.252,0
0.203,0.49,0.307,0.173,0.659,0
0.272,0.622,0.106,0.85,0.11,0
0.353,0.343,0.304,0.093,0.723,1
0.036,0.675,0.289,0.032,0.431,2
0.501,0.222,0.277,0.7,0.209,0
0.123,0.454,0.424,0.149,0.6,0
0.84,0.08,0.08,0.706,0.273,0
0.423,0.534,0.043,0.503,0.425,0
0.128,0.833,0.038,0.348,0.627,0
0.103,0.478,0.419,0.161,0.748,1
0.833,0.049,0.118,0.517,0.446,0
0.147,0.747,0.106,0.8,0.165,0
0.364,0.533,0.103,0.406,0.526,0
0.051,0.56,0.389,0.144,0.771,0
0.187,0.7,0.113,0.293,0.603,0
0.495,0.017,0.488,0.202,0.698,0
0.143,0.792,0.065,0.835,0.146,0
0.1,0.671,0.23,0.127,0.689,1
0.039,0.889,0.072,0.118,0.873,0
0.15,0.759,0.091,0.443,0.529,0
0.661,0.132,0.207,0.788,0.154,0
0.304,0.286,0.41,0.543,0.405,0
0.486,0.395,0.12,0.66,0.313,0
0.421,0.403,0.176,0.61,0.269,0
0.175,0.761,0.064,0.564,0.397,0
0.205,0.684,0.112,0.228,0.692,0
0.802,0.092,0.107,0.921,0.061,0
0.303,0.643,0.054,0.87,0.114,0
0.119,0.849,0.032,0.31,0.487,0
0.315,0.454,0.231,0.502,0.421,0
0.604,0.179,0.217,0.667,0.192,0
0.091,0.811,0.098,0.333,0.464,0
0.325,0.645,0.03,0.494,0.412,0
0.469,0.361,0.17,0.647,0.282,0
0.297,0.649,0.053,0.244,0.7,1
0.357,0.612,0.031,0.559,0.399,0
0.14,0.34,0.52,0.39,0.403,0
0.06,0.816,0.123,0.027,0.794,1
0.17,0.684,0.146,0.093,0.691,1
0.768,0.226,0.006,0.92,0.077,0
0.809,0.104,0.087,0.544,0.356,0
0.601,0.359,0.04,0.545,0.291,0
0.409,0.559,0.031,0.861,0.079,0
0.178,0.789,0.033,0.078,0.9,0
0.187,0.733,0.08,0.332,0.525,1
0.961,0.019,0.019,0.385,0.564,0
0.241,0.725,0.033,0.29,0.696,0
0.273,0.458,0.269,0.066,0.667,0
0.158,0.123,0.719,0.817,0.15,0
0.133,0.572,0.295,0.144,0.753,0
0.501,0.437,0.062,0.687,0.295,0
0.874,0.038,0.088,0.747,0.244,0
0.392,0.503,0.106,0.419,0.518,0
0.541,0.196,0.263,0.609,0.314,0
0.336,0.584,0.08,0.843,0.147,0
0.73,0.171,0.099,0.668,0.292,0
0.164,0.813,0.023,0.555,0.384,1
0.775,0.125,0.1,0.937,0.061,0
0.649,0.279,0.073,0.493,0.356,0
0.742,0.094,0.164,0.753,0.214,0
0.021,0.909,0.069,0.246,0.55,0
0.594,0.396,0.01,0.244,0.713,0
0.565,0.26,0.176,0.072,0.746,0
0.692,0.27,0.039,0.578,0.221,0
0.652,0.062,0.286,0.437,0.51,0
0.471,0.455,0.075,0.705,0.235,0
0.308,0.548,0.144,0.563,0.326,2
0.227,0.415,0.358,0.175,0.398,0
0.456,0.432,0.112,0.606,0.309,0
0.187,0.754,0.059,0.329,0.601,0
0.287,0.613,0.101,0.014,0.903,0
0.604,0.215,0.181,0.503,0.274,0
0.05,0.693,0.257,0.228,0.484,1
0.893,0.026,0.08,0.726,0.241,0
0.369,0.572,0.06,0.729,0.18,0
0.488,0.415,0.096,0.33,0.581,0
0.594,0.384,0.022,0.204,0.757,0
0.143,0.826,0.031,0.071,0.878,0
0.854,0.117,0.029,0.458,0.479,0
0.478,0.469,0.053,0.135,0.618,0
0.486,0.412,0.102,0.112,0.708,1
0.284,0.651,0.065,0.306,0.571,0
0.036,0.175,0.789,0.002,0.076,0
0.29,0.5,0.21,0.066,0.884,0
0.204,0.693,0.103,0.488,0.432,1
0.883,0.069,0.048,0.601,0.229,0
0.48,0.295,0.225,0.639,0.323,0
0.48,0.394,0.126,0.615,0.366,0
0.35,0.069,0.581,0.112,0.224,2
0.04,0.676,0.283,0.054,0.085,2
0.547,0.183,0.271,0.047,0.793,0
0.268,0.596,0.136,0.305,0.654,2
0.518,0.27,0.213,0.13,0.698,0
0.224,0.652,0.125,0.118,0.686,1
0.623,0.341,0.035,0.562,0.342,1
