@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.027,0.305,0.668,0.193,0.32,2
0.199,0.063,0.738,0.223,0.357,2
0.116,0.469,0.415,0.23,0.61,1
0.026,0.757,0.217,0.405,0.391,1
0.035,0.711,0.254,0.307,0.388,1
0.082,0.651,0.267,0.201,0.324,1
0.025,0.757,0.218,0.217,0.341,1
0.014,0.329,0.656,0.193,0.322,1
0.148,0.353,0.5,0.431,0.342,2
0.115,0.044,0.84,0.321,0.353,2
0.027,0.607,0.365,0.202,0.328,2
0.204,0.25,0.546,0.29,0.359,2
0.052,0.459,0.489,0.269,0.359,1
0.034,0.853,0.113,0.21,0.332,1
0.037,0.229,0.734,0.344,0.386,1
0.032,0.158,0.81,0.202,0.33,2
0.03,0.592,0.378,0.314,0.309,1
0.288,0.67,0.043,0.219,0.505,1
0.015,0.751,0.233,0.212,0.314,2
0.074,0.588,0.339,0.04,0.897,1
0.069,0.749,0.182,0.193,0.501,1
0.289,0.668,0.043,0.401,0.345,1
0.454,0.373,0.173,0.324,0.381,2
0.017,0.754,0.23,0.216,0.341,1
0.33,0.059,0.611,0.329,0.41,2
0.015,0.091,0.894,0.314,0.333,2
0.139,0.257,0.604,0.262,0.315,2
0.486,0.31,0.204,0.39,0.391,1
0.395,0.525,0.08,0.311,0.363,2
0.059,0.651,0.29,0.274,0.363,1
0.432,0.497,0.071,0.235,0.337,1
0.209,0.506,0.285,0.276,0.355,1
0.474,0.219,0.307,0.271,0.368,2
0.093,0.887,0.02,0.174,0.311,1
0.408,0.339,0.253,0.404,0.396,2
0.797,0.125,0.077,0.269,0.356,1
0.063,0.847,0.09,0.194,0.331,2
0.57,0.045,0.386,0.316,0.419,1
0.062,0.788,0.15,0.424,0.385,1
0.451,0.143,0.406,0.351,0.383,2
0.338,0.434,0.228,0.313,0.365,1
0.159,0.411,0.43,0.4,0.397,2
0.044,0.03,0.925,0.207,0.333,2
0.238,0.369,0.393,0.294,0.359,1
0.113,0.701,0.186,0.375,0.382,1
0.216,0.691,0.093,0.198,0.445,1
0.272,0.668,0.06,0.461,0.361,1
0.256,0.682,0.062,0.361,0.401,1
0.608,0.171,0.222,0.289,0.364,1
0.023,0.703,0.275,0.211,0.322,2
0.186,0.574,0.24,0.423,0.4,1
0.087,0.46,0.454,0.349,0.424,1
0.116,0.677,0.207,0.317,0.325,1
0.253,0.669,0.078,0.215,0.347,1
0.036,0.095,0.869,0.246,0.358,2
0.176,0.708,0.116,0.199,0.332,1
0.326,0.625,0.049,0.441,0.397,1
0.126,0.722,0.153,0.388,0.392,1
0.091,0.831,0.078,0.172,0.547,1
0.083,0.74,0.178,0.392,0.378,1
0.114,0.851,0.035,0.425,0.358,1
0.492,0.48,0.027,0.2,0.335,1
0.006,0.837,0.157,0.335,0.394,1
0.007,0.085,0.908,0.221,0.347,2
0.106,0.423,0.472,0.193,0.327,2
0.127,0.584,0.289,0.414,0.398,2
0.035,0.728,0.236,0.177,0.282,1
0.084,0.878,0.038,0.4,0.382,1
0.496,0.397,0.107,0.226,0.635,1
0.281,0.676,0.042,0.196,0.278,1
0.086,0.818,0.096,0.331,0.379,1
0.258,0.031,0.712,0.275,0.355,2
0.017,0.697,0.285,0.191,0.32,2
0.236,0.664,0.099,0.399,0.39,2
0.127,0.715,0.158,0.213,0.321,1
0.386,0.573,0.042,0.422,0.384,1
0.487,0.489,0.023,0.188,0.32,0
0.689,0.144,0.167,0.314,0.402,0
0.772,0.075,0.152,0.196,0.331,0
0.411,0.521,0.068,0.298,0.361,0
0.619,0.209,0.172,0.279,0.357,0
0.659,0.212,0.129,0.212,0.333,0
0.836,0.144,0.021,0.424,0.334,0
0.297,0.691,0.012,0.394,0.344,0
0.283,0.601,0.116,0.204,0.338,0
0.112,0.476,0.413,0.279,0.369,0
0.158,0.473,0.369,0.237,0.343,0
0.311,0.671,0.018,0.378,0.402,0
0.226,0.722,0.052,0.219,0.328,0
0.003,0.916,0.082,0.404,0.372,0
0.735,0.231,0.034,0.191,0.321,0
0.061,0.891,0.048,0.209,0.302,0
0.356,0.403,0.241,0.342,0.379,0
0.369,0.262,0.37,0.427,0.397,0
0.901,0.007,0.092,0.318,0.376,0
0.891,0.081,0.028,0.395,0.409,0
0.369,0.611,0.02,0.199,0.323,0
0.896,0.036,0.068,0.286,0.392,0
0.207,0.624,0.169,0.196,0.302,0
0.196,0.592,0.213,0.428,0.403,0
0.592,0.116,0.292,0.283,0.377,0
0.139,0.285,0.576,0.294,0.374,0
0.291,0.305,0.403,0.416,0.399,0
0,0.955,0.045,0.363,0.331,0
0.181,0.226,0.593,0.283,0.372,0
0.162,0.745,0.094,0.377,0.382,0
0.166,0.057,0.777,0.239,0.343,0
0.502,0.321,0.177,0.412,0.392,0
0.929,0.026,0.044,0.308,0.387,0
0.085,0.658,0.257,0.397,0.39,0
0.521,0.328,0.151,0.295,0.399,0
0.239,0.619,0.143,0.214,0.338,0
0.915,0.005,0.08,0.299,0.221,0
0.803,0.076,0.121,0.223,0.328,0
0.256,0.606,0.138,0.309,0.354,0
0.464,0.455,0.081,0.366,0.411,0
