@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature327 numeric
@attribute bi_feature879 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1324 numeric
@attribute bi_feature1361 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0.539055,0.565800,0.655887,0
0.004175,0,0.000696,0.000696,0,0.004178,0.579903,0.616433,0.711223,0
0.008065,0,0,0.004195,0,0.000323,0.822514,0.873974,1.023638,2
0,0,0,0.009804,0,0,0.802498,0.850371,0.996152,2
0.004878,0,0,0.017087,0,0.004882,0.525900,0.549517,0.637211,1
0,0,0,0,0,0.010929,0.406308,0.425768,0.483337,0
0.004637,0,0.001547,0.003094,0,0.00232,0.567024,0.598563,0.693632,0
0.016484,0,0,0.004031,0,0.001466,0.717233,0.761557,0.889038,0
0,0,0,0.011278,0,0.003759,0.609493,0.643910,0.746432,0
0.001337,0,0,0.016064,0,0.002677,0.269137,0.274536,0.304972,0
0,0,0,0.006329,0,0.006329,0.423303,0.441191,0.507744,0
0.003752,0,0,0.005634,0,0.002817,0.572182,0.602186,0.697327,0
0,0,0,0.002289,0,0.001374,0.851529,0.905498,1.059336,0
0,0,0,0.019157,0,0,0.650689,0.685502,0.799407,0
0,0,0,0.010913,0,0.003968,0.420810,0.438548,0.499422,0
0,0,0,0,0,0.008439,0.617009,0.653802,0.757291,0
0,0,0,0.005969,0,0.002755,0.651762,0.685558,0.797167,0
0,0,0,0.002486,0,0.002486,0.786894,0.835550,0.975185,0
0,0,0,0.01626,0,0,0.717251,0.755540,0.883456,0
0,0,0,0.023256,0,0.003322,0.297773,0.306033,0.336797,1
0,0,0,0.007722,0,0,0.573305,0.598088,0.696542,1
0,0,0,0.003709,0,0.002782,0.636932,0.671249,0.778695,0
0.00674,0,0.000355,0.001065,0,0.002839,0.791339,0.841570,0.982461,1
0,0,0,0.021898,0,0,0.681650,0.714449,0.835041,0
0,0,0,0.03467,0,0.001083,0.286340,0.292898,0.324591,0
0.005952,0,0,0.005988,0,0.005988,0.279520,0.291556,0.328614,0
