@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.989,0.007,0.003,0.199,0.5,0
0.148,0.813,0.04,0.213,0.428,0
0.005,0.322,0.673,0.193,0.269,2
0.432,0.072,0.497,0.209,0.249,2
0.041,0.505,0.454,0.242,0.539,1
0.158,0.81,0.032,0.209,0.547,0
0.587,0.236,0.177,0.223,0.426,0
0.162,0.293,0.546,0.261,0.274,0
0.201,0.453,0.346,0.235,0.376,0
0.839,0.133,0.028,0.312,0.478,0
0.698,0.26,0.042,0.309,0.402,0
0.474,0.268,0.258,0.283,0.339,0
0.405,0.494,0.101,0.154,0.292,0
0.877,0.073,0.05,0.329,0.223,0
0.681,0.226,0.094,0.269,0.453,0
0.039,0.828,0.133,0.184,0.438,0
0.025,0.035,0.94,0.247,0.322,0
0.043,0.932,0.025,0.163,0.335,0
0.575,0.074,0.351,0.296,0.211,0
0.024,0.744,0.232,0.377,0.391,1
0.033,0.733,0.234,0.299,0.315,1
0.013,0.28,0.706,0.227,0.362,0
0.188,0.701,0.11,0.178,0.313,1
0.635,0.24,0.125,0.363,0.173,0
0.337,0.12,0.543,0.353,0.422,0
0.63,0.144,0.225,0.324,0.458,0
0.091,0.548,0.361,0.201,0.383,0
0.013,0.807,0.18,0.179,0.322,1
0.716,0.097,0.187,0.275,0.238,0
0.598,0.205,0.197,0.351,0.393,0
0.047,0.645,0.308,0.27,0.388,0
0.145,0.316,0.539,0.271,0.342,0
0.005,0.351,0.643,0.184,0.274,1
0.957,0.01,0.032,0.405,0.13,0
0.989,0.004,0.007,0.249,0.521,0
0.113,0.417,0.47,0.482,0.388,2
0.022,0.095,0.884,0.261,0.483,2
0.128,0.594,0.278,0.166,0.325,2
0.549,0.373,0.078,0.278,0.316,0
0.515,0.412,0.072,0.326,0.449,0
0.165,0.287,0.547,0.197,0.493,2
0.005,0.534,0.46,0.206,0.42,1
0.121,0.8,0.079,0.163,0.349,1
0.824,0.132,0.044,0.537,0.104,0
0.601,0.176,0.223,0.449,0.306,0
0.029,0.24,0.732,0.301,0.399,1
0.778,0.162,0.061,0.289,0.389,0
0.213,0.484,0.303,0.288,0.285,0
0.425,0.212,0.363,0.421,0.229,0
0.625,0.329,0.046,0.295,0.472,0
0.029,0.332,0.639,0.218,0.37,0
0.492,0.371,0.138,0.254,0.35,0
0.86,0.05,0.09,0.15,0.284,0
0.448,0.176,0.376,0.169,0.389,0
0.556,0.31,0.134,0.317,0.455,0
0.202,0.672,0.126,0.28,0.463,0
0.078,0.119,0.804,0.326,0.379,0
0.768,0.072,0.16,0.163,0.287,0
0.78,0.02,0.2,0.377,0.199,0
0.908,0.072,0.02,0.462,0.318,0
0.395,0.296,0.309,0.587,0.155,0
0.069,0.703,0.228,0.292,0.344,0
0.265,0.665,0.071,0.161,0.324,0
0.765,0.159,0.076,0.391,0.147,0
0.48,0.226,0.294,0.361,0.358,0
0.288,0.548,0.164,0.209,0.552,0
0.514,0.45,0.036,0.192,0.469,0
0.016,0.198,0.787,0.174,0.301,2
0.916,0.041,0.044,0.356,0.191,0
0.258,0.518,0.224,0.385,0.363,0
0.132,0.666,0.203,0.269,0.403,0
0.207,0.255,0.538,0.244,0.366,0
0.012,0.604,0.384,0.48,0.32,1
0.309,0.024,0.667,0.859,0.088,0
0.196,0.675,0.129,0.361,0.514,0
0.447,0.281,0.272,0.963,0.014,0
0.128,0.829,0.043,0.334,0.524,1
0.006,0.81,0.185,0.256,0.288,2
0.102,0.526,0.372,0.421,0.269,0
0.266,0.525,0.209,0.529,0.287,0
0.231,0.519,0.249,0.008,0.99,1
0.092,0.904,0.005,0.593,0.225,0
0.038,0.829,0.133,0.251,0.432,1
0.859,0.043,0.098,0.308,0.246,0
0.528,0.43,0.042,0.415,0.43,1
0.383,0.451,0.165,0.527,0.148,0
0.029,0.203,0.769,0.245,0.289,0
0.397,0.588,0.015,0.172,0.319,0
0.811,0.013,0.175,0.364,0.335,0
0.462,0.38,0.158,0.398,0.361,0
0.422,0.546,0.032,0.561,0.164,0
0.931,0.027,0.041,0.29,0.414,0
0.507,0.187,0.305,0.156,0.294,0
0.888,0.043,0.069,0.458,0.137,0
0.642,0.27,0.089,0.332,0.441,0
0.554,0.289,0.157,0.276,0.403,2
0.309,0.552,0.139,0.216,0.477,0
0.011,0.779,0.211,0.182,0.316,1
0.059,0.075,0.866,0.39,0.21,2
0.002,0.092,0.906,0.456,0.293,2
0.779,0.202,0.02,0.534,0.246,0
0.904,0.04,0.055,0.271,0.376,0
0.313,0.673,0.014,0.437,0.244,0
0.986,0.004,0.009,0.903,0.01,0
0.361,0.484,0.155,0.419,0.327,0
0.541,0.434,0.025,0.613,0.228,0
0.203,0.505,0.293,0.209,0.353,0
0.138,0.746,0.116,0.147,0.304,0
0.925,0.052,0.022,0.494,0.103,0
0.852,0.101,0.047,0.336,0.458,0
0.162,0.812,0.026,0.442,0.342,0
0.539,0.263,0.198,0.327,0.326,0
0.624,0.337,0.039,0.235,0.289,0
0.329,0.221,0.45,0.541,0.216,0
0.754,0.108,0.138,0.583,0.218,0
0.044,0.363,0.592,0.498,0.189,2
0.825,0.15,0.025,0.278,0.43,0
0.079,0.904,0.017,0.141,0.309,0
0.76,0.017,0.223,0.491,0.147,0
0.203,0.305,0.493,0.482,0.28,0
0.879,0.106,0.015,0.223,0.639,0
0.252,0.704,0.043,0.243,0.362,0
0.093,0.822,0.084,0.205,0.338,0
0.951,0.009,0.04,0.516,0.155,0
0.796,0.101,0.103,0.58,0.213,0
0.126,0.832,0.042,0.203,0.517,0
0.417,0.341,0.242,0.253,0.367,0
0.841,0.075,0.084,0.146,0.264,0
0.76,0.032,0.208,0.348,0.234,0
0.776,0.134,0.091,0.357,0.395,1
0.435,0.477,0.087,0.204,0.523,2
0.139,0.638,0.223,0.217,0.405,1
0.208,0.594,0.198,0.221,0.347,1
0.983,0.01,0.007,0.689,0.079,0
0.151,0.839,0.01,0.418,0.42,0
0.008,0.958,0.034,0.705,0.14,0
0.092,0.656,0.252,0.262,0.459,0
0.882,0.117,0.001,0.161,0.296,0
0.91,0.065,0.025,0.618,0.114,0
0.763,0.153,0.084,0.385,0.406,0
0.225,0.535,0.241,0.193,0.472,1
0.462,0.297,0.242,0.235,0.352,2
0.164,0.808,0.028,0.136,0.295,1
0.847,0.052,0.101,0.392,0.175,0
0.704,0.168,0.128,0.406,0.346,2
0.349,0.609,0.042,0.406,0.295,0
0.515,0.298,0.187,0.249,0.362,1
0.024,0.841,0.134,0.164,0.277,2
0.402,0.046,0.552,0.408,0.152,1
0.546,0.42,0.034,0.36,0.442,1
0.215,0.186,0.599,0.29,0.433,2
0.19,0.618,0.192,0.214,0.505,1
0.081,0.887,0.032,0.261,0.314,0
0.59,0.402,0.009,0.273,0.279,0
0.269,0.307,0.423,0.406,0.338,2
0.389,0.578,0.032,0.881,0.061,0
0.303,0.27,0.427,0.205,0.399,0
0.01,0.047,0.943,0.188,0.289,2
0.878,0.037,0.086,0.306,0.241,0
0.454,0.49,0.056,0.479,0.34,0
0.696,0.286,0.018,0.313,0.45,0
0.288,0.578,0.133,0.206,0.406,0
0.192,0.687,0.121,0.141,0.308,0
0.741,0.094,0.165,0.489,0.123,0
0.699,0.132,0.169,0.548,0.24,0
0.144,0.825,0.031,0.545,0.24,0
0.925,0.066,0.009,0.281,0.328,0
0.238,0.643,0.119,0.175,0.318,0
0.82,0.012,0.167,0.695,0.06,0
0.808,0.151,0.041,0.526,0.262,0
0.179,0.529,0.293,0.199,0.499,1
0.069,0.124,0.806,0.176,0.412,0
0.012,0.883,0.105,0.142,0.311,0
0.772,0.063,0.164,0.408,0.147,0
0.381,0.229,0.389,0.456,0.299,0
0.072,0.702,0.226,0.295,0.468,1
0.599,0.196,0.205,0.234,0.47,0
0.2,0.643,0.157,0.171,0.513,1
0.676,0.055,0.27,0.461,0.252,0
0.977,0.019,0.004,0.468,0.294,0
0.233,0.702,0.064,0.372,0.494,1
0.743,0.223,0.034,0.495,0.31,0
0.077,0.866,0.057,0.45,0.252,0
