@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0,0.332169,0.349802,0.410187,0
0,0,0,0,0,0,0,0.483339,0.522720,0.612526,0
0.003226,0,0.001076,0.002153,0,0,0,0.721269,0.778343,0.922685,2
0,0,0,0.006579,0,0,0,0.701167,0.751992,0.891070,2
0.00271,0,0,0.005435,0.002717,0,0,0.412399,0.435845,0.509948,1
0,0,0,0,0,0,0,0.299010,0.316143,0.362719,0
0,0,0.002584,0,0,0,0,0.465196,0.498571,0.584327,0
0.007326,0,0.002445,0.001222,0.003667,0,0,0.614251,0.661181,0.781670,0
0,0,0,0,0,0,0,0.509005,0.544114,0.636515,0
0,0,0,0.008969,0,0,0,0.218684,0.221466,0.245220,0
0,0,0,0,0,0,0,0.341010,0.361574,0.413198,0
0,0,0.003145,0.006289,0,0,0,0.472934,0.505808,0.591488,0
0,0,0.001529,0.001529,0.004587,0,0,0.757258,0.817459,0.969041,0
0,0,0.012987,0.025974,0.012987,0,0,0.565619,0.605814,0.712655,0
0,0,0,0.006645,0.003322,0,0,0.343472,0.361394,0.413314,0
0,0,0,0,0,0,0,0.529621,0.568512,0.663913,0
0,0,0.003067,0.009202,0,0,0,0.559594,0.599142,0.707446,0
0,0,0.00277,0,0.00277,0,0,0.688375,0.741683,0.878384,0
0,0,0,0.018182,0.009091,0,0,0.633535,0.674099,0.796190,0
0,0,0.003704,0.003704,0.007407,0,0,0.239612,0.243784,0.270743,1
0,0,0,0.025974,0,0,0,0.475724,0.504114,0.593153,1
0,0,0.003096,0.004644,0.003096,0,0,0.533394,0.572318,0.674440,0
0,0,0,0.001185,0,0,0,0.693520,0.748517,0.885607,1
0,0,0.012346,0.024691,0.012346,0,0,0.590220,0.624286,0.738020,0
0,0,0.007246,0.007246,0.01087,0,0,0.233047,0.231586,0.255736,0
0,0,0,0,0,0,0,0.207885,0.216025,0.239108,0
0,0,0,0.004376,0.002188,0,0,0.562262,0.603522,0.712088,0
0,0,0,0.003497,0.001166,0.001166,0,0.674440,0.726422,0.858682,1
0,0,0,0.010204,0,0,0,0.611481,0.654335,0.771008,0
0,0,0,0.007634,0.003817,0,0,0.287580,0.296276,0.335257,0
0,0,0,0.017241,0,0,0,0.424893,0.451172,0.531496,0
0,0,0.006073,0.01417,0.006073,0,0,0.483856,0.516358,0.605220,0
0.002671,0,0.000891,0.003565,0.001783,0,0,0.732423,0.790217,0.936428,1
0,0,0,0.02439,0.012195,0,0,0.614591,0.650465,0.768902,0
0,0,0,0,0,0,0,0.272769,0.279012,0.319775,0
0,0,0,0.013333,0,0,0,0.047854,0.055661,0.042903,2
0,0,0,0.001786,0.001786,0,0,0.313769,0.336910,0.393445,2
0,0,0,0,0.001361,0,0,0.698482,0.752727,0.891599,2
0,0,0,0.011628,0,0,0,0.509945,0.537107,0.631857,0
