@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.84,0.106,0.054,0.129,0.413,0
0.273,0.684,0.043,0.138,0.387,0
0.011,0.293,0.696,0.166,0.314,2
0.344,0.065,0.591,0.289,0.311,2
0.018,0.481,0.502,0.261,0.632,1
0.163,0.819,0.018,0.129,0.446,0
0.463,0.234,0.303,0.158,0.395,0
0.084,0.214,0.702,0.181,0.343,0
0.503,0.291,0.206,0.22,0.38,0
0.785,0.182,0.034,0.256,0.464,0
0.611,0.332,0.057,0.296,0.411,0
0.22,0.284,0.496,0.27,0.377,0
0.629,0.258,0.113,0.156,0.308,0
0.775,0.142,0.083,0.506,0.278,0
0.499,0.297,0.205,0.221,0.433,0
0.158,0.797,0.045,0.129,0.374,0
0.03,0.019,0.95,0.274,0.356,0
0.077,0.905,0.019,0.145,0.326,0
0.562,0.045,0.393,0.48,0.275,0
0.159,0.688,0.153,0.378,0.407,1
0.065,0.711,0.223,0.351,0.355,1
0.032,0.246,0.722,0.218,0.37,0
0.055,0.764,0.181,0.143,0.323,1
0.692,0.219,0.089,0.63,0.219,0
0.406,0.091,0.503,0.331,0.43,0
0.748,0.099,0.154,0.278,0.452,0
0.135,0.467,0.398,0.172,0.367,0
0.008,0.799,0.194,0.175,0.333,1
0.806,0.061,0.133,0.408,0.302,0
0.715,0.141,0.145,0.349,0.408,0
0.033,0.622,0.345,0.258,0.396,0
0.043,0.319,0.638,0.291,0.37,0
0.01,0.276,0.715,0.165,0.313,1
0.922,0.018,0.06,0.753,0.155,0
0.976,0.008,0.016,0.175,0.463,0
0.183,0.305,0.512,0.161,0.533,2
0.054,0.045,0.901,0.127,0.442,2
0.013,0.585,0.402,0.142,0.323,2
0.657,0.298,0.045,0.323,0.355,0
0.627,0.335,0.038,0.286,0.446,0
0.601,0.15,0.248,0.129,0.408,2
0.015,0.53,0.456,0.162,0.384,1
0.207,0.749,0.044,0.138,0.33,1
0.922,0.062,0.016,0.867,0.098,0
0.592,0.168,0.241,0.532,0.324,0
0.023,0.215,0.761,0.202,0.37,0
0.25,0.481,0.269,0.262,0.372,0
0.94,0.019,0.04,0.155,0.304,0
0.743,0.097,0.161,0.129,0.345,0
0.593,0.277,0.13,0.273,0.449,0
0.196,0.621,0.182,0.229,0.442,0
0.068,0.056,0.876,0.232,0.42,0
0.485,0.122,0.393,0.174,0.313,0
0.649,0.023,0.328,0.601,0.242,0
0.853,0.115,0.031,0.501,0.348,0
0.66,0.19,0.149,0.821,0.139,0
0.055,0.677,0.268,0.176,0.388,0
0.28,0.687,0.033,0.148,0.321,0
0.826,0.124,0.05,0.707,0.181,0
0.436,0.221,0.343,0.387,0.382,0
0.629,0.301,0.07,0.128,0.449,0
0.402,0.568,0.03,0.129,0.392,0
0.009,0.131,0.86,0.163,0.321,2
0.942,0.031,0.027,0.591,0.24,0
0.43,0.418,0.152,0.411,0.384,0
0.275,0.674,0.051,0.247,0.404,0
0.123,0.187,0.691,0.238,0.378,0
0.029,0.566,0.406,0.095,0.462,1
0.133,0.015,0.853,0.045,0.531,0
0.346,0.538,0.117,0.096,0.548,0
0.637,0.19,0.173,0.03,0.497,0
0.207,0.715,0.079,0.045,0.736,1
0.01,0.795,0.195,0.141,0.341,2
0.54,0.293,0.167,0.161,0.403,0
0.465,0.341,0.194,0.536,0.337,0
0.278,0.477,0.245,0.054,0.47,1
0.324,0.668,0.008,0.083,0.453,0
0.051,0.777,0.172,0.107,0.351,1
0.941,0.017,0.043,0.445,0.303,0
0.667,0.3,0.034,0.139,0.517,1
0.054,0.477,0.469,0.799,0.146,0
0.018,0.137,0.844,0.262,0.343,0
0.515,0.475,0.01,0.136,0.321,0
0.589,0.018,0.394,0.272,0.406,0
0.53,0.306,0.164,0.383,0.399,0
0.419,0.559,0.022,0.467,0.348,0
0.156,0.584,0.26,0.167,0.369,0
0.655,0.295,0.05,0.107,0.355,0
0.623,0.079,0.298,0.22,0.38,0
0.699,0.196,0.105,0.26,0.452,0
0.359,0.608,0.033,0.795,0.155,0
0.646,0.1,0.254,0.189,0.424,0
0.568,0.137,0.295,0.137,0.305,0
0.809,0.069,0.123,0.777,0.151,0
0.548,0.347,0.104,0.296,0.442,0
0.491,0.328,0.181,0.255,0.406,2
0.441,0.464,0.095,0.143,0.414,0
0.008,0.787,0.205,0.179,0.332,1
0.113,0.042,0.845,0.596,0.25,2
0.005,0.074,0.92,0.168,0.436,2
0.604,0.359,0.037,0.674,0.244,0
