@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0,0,0.332014,0.351086,0.410187,0
0,0,0,0,0,0,0,0,0.483452,0.523432,0.612526,0
0.003226,0,0.001076,0.002153,0,0,0,0,0.721338,0.779931,0.922685,2
0,0,0,0.006579,0,0,0,0,0.701101,0.753976,0.891070,2
0.00271,0,0,0.005435,0.002717,0.005435,0,0,0.412324,0.437165,0.509948,1
0,0,0,0,0,0,0,0,0.299105,0.316637,0.362719,0
0,0,0.002584,0,0,0.002584,0,0,0.465263,0.499536,0.584327,0
0.007326,0,0.002445,0.001222,0.003667,0.00489,0,0,0.614274,0.662622,0.781670,0
0,0,0,0,0,0,0,0,0.509047,0.545307,0.636515,0
0,0,0,0.008969,0,0,0,0,0.218575,0.222409,0.245220,0
0,0,0,0,0,0,0,0,0.341174,0.362024,0.413198,0
0,0,0.003145,0.006289,0,0.006289,0,0,0.473008,0.506735,0.591488,0
0,0,0.001529,0.001529,0.004587,0.001529,0,0,0.757340,0.819087,0.969041,0
0,0,0.012987,0.025974,0.012987,0.012987,0,0,0.565626,0.607128,0.712655,0
0,0,0,0.006645,0.003322,0.003322,0,0,0.343524,0.362103,0.413314,0
0,0,0,0,0,0,0,0,0.529828,0.569294,0.663913,0
0,0,0.003067,0.009202,0,0.003067,0,0,0.559617,0.600470,0.707446,0
0,0,0.00277,0,0.00277,0.00277,0,0,0.688423,0.743248,0.878384,0
0,0,0,0.018182,0.009091,0.009091,0,0,0.633369,0.676258,0.796190,0
0,0,0.003704,0.003704,0.007407,0.007407,0,0,0.239479,0.244761,0.270743,1
0,0,0,0.025974,0,0,0,0,0.475665,0.505593,0.593153,1
0,0,0.003096,0.004644,0.003096,0.001548,0,0,0.533474,0.573395,0.674440,0
0,0,0,0.001185,0,0,0,0,0.693611,0.749959,0.885607,1
0,0,0.012346,0.024691,0.012346,0.024691,0,0,0.589972,0.626598,0.738020,0
0,0,0.007246,0.007246,0.01087,0.007246,0,0,0.232853,0.232949,0.255736,0
0,0,0,0,0,0,0,0,0.208011,0.216329,0.239108,0
0,0,0,0.004376,0.002188,0,0,0,0.562276,0.604895,0.712088,0
0,0,0,0.003497,0.001166,0,0.001166,0,0.674505,0.727921,0.858682,1
0,0,0,0.010204,0,0,0,0,0.611457,0.655950,0.771008,0
0,0,0,0.007634,0.003817,0.01145,0,0,0.287519,0.297313,0.335257,0
0,0,0,0.017241,0,0.017241,0,0,0.424900,0.452301,0.531496,0
0,0,0.006073,0.01417,0.006073,0.008097,0,0,0.483924,0.517374,0.605220,0
0.002671,0,0.000891,0.003565,0.001783,0.004456,0,0,0.732488,0.791823,0.936428,1
0,0,0,0.02439,0.012195,0.02439,0,0,0.614326,0.652875,0.768902,0
0,0,0,0,0,0,0,0,0.272519,0.280375,0.319775,0
0,0,0,0.013333,0,0,0,0,0.047896,0.055097,0.042903,2
0,0,0,0.001786,0.001786,0,0,0,0.313850,0.337398,0.393445,2
0,0,0,0,0.001361,0,0,0,0.698519,0.754337,0.891599,2
0,0,0,0.011628,0,0,0,0,0.509708,0.539198,0.631857,0
0,0,0.003484,0.003484,0.003484,0,0,0,0.245684,0.246346,0.271167,0
0,0,0,0,0,0,0,0,0.432766,0.459692,0.536647,2
0,0,0.001733,0.003466,0.003466,0.001733,0,0,0.504004,0.541835,0.637011,1
0,0,0,0,0,0,0,0,0.668616,0.722630,0.852664,1
0,0,0,0.03125,0.015625,0.015625,0,0,0.487336,0.510531,0.596184,0
0,0,0.007092,0.010638,0.003546,0.014184,0,0,0.255760,0.256540,0.287366,0
0,0,0,0.010309,0,0,0,0,0.357914,0.376151,0.433989,1
0,0,0.00277,0.01108,0.00831,0,0,0,0.398152,0.424589,0.495440,0
0.008117,0,0,0.001626,0,0,0,0,0.577844,0.623354,0.734412,0
0,0,0,0.011905,0.011905,0,0,0,0.406389,0.425447,0.493325,0
0,0,0,0,0.004,0.004,0,0,0.270966,0.279413,0.314247,0
0,0,0,0,0,0,0,0,0.548366,0.589627,0.691503,0
0,0,0,0.005747,0.005747,0,0,0,0.508544,0.543739,0.635984,0
0,0,0,0,0.002252,0,0,0,0.772286,0.834919,0.987846,0
0,0,0,0,0,0,0,0,0.621887,0.671407,0.789181,0
0,0,0.003922,0.003922,0,0.019608,0,0,0.244075,0.249090,0.276265,0
0,0,0,0,0,0,0,0,0.318786,0.335280,0.380985,0
0.00409,0,0,0.006148,0.002049,0.002049,0,0,0.354885,0.377267,0.434105,0
0,0,0,0.002342,0.002342,0,0,0,0.746719,0.806575,0.953270,0
0,0,0,0.023529,0,0,0,0,0.526983,0.559142,0.655972,0
0,0,0,0.004082,0.008163,0,0,0,0.212746,0.212266,0.229920,0
0,0,0,0.053571,0,0,0,0,0.294162,0.304620,0.348118,0
0.007538,0,0,0.005038,0.002519,0,0,0,0.465259,0.499628,0.587839,0
0,0,0.001621,0,0.003241,0,0,0,0.702501,0.759621,0.896968,0
0,0,0,0.011236,0.022472,0,0,0,0.597618,0.631338,0.741299,0
0,0,0,0.011976,0,0.002994,0,0,0.326530,0.338704,0.388175,0
0,0,0,0,0,0,0,0,0.304786,0.322716,0.373502,0
0,0,0,0,0,0,0,0,0.461884,0.495342,0.579972,0
0,0,0,0.001969,0.000984,0.001969,0,0,0.706669,0.764182,0.903723,2
0,0,0.011494,0.022989,0,0,0,0,0.569951,0.604079,0.710228,0
0,0,0.004032,0.008065,0,0.004032,0,0,0.251595,0.261783,0.298510,0
0,0,0,0.016129,0,0,0,0,0.413817,0.440374,0.507491,0
0,0,0.002092,0.006276,0.004184,0.002092,0,0,0.498185,0.534483,0.628786,0
0.017383,0,0,0,0,0,0,0,0.250848,0.273959,0.316295,1
0.044944,0,0,0,0,0,0,0,0.031264,0.040994,0.031155,0
0.013201,0,0,0,0,0,0,0,0.045591,0.059878,0.045722,0
