@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.264,0.681,0.056,0.046,0.867,0.103,0.461,0
0.015,0.258,0.727,0.14,0.3,0.099,0.293,2
0.058,0.472,0.47,0.5,0.402,0.223,0.714,1
0.11,0.865,0.025,0.785,0.207,0.106,0.531,0
0.544,0.27,0.186,0.16,0.481,0.158,0.376,0
0.412,0.229,0.36,0.143,0.449,0.204,0.461,0
0.351,0.372,0.277,0.673,0.258,0.146,0.449,0
0.758,0.205,0.038,0.843,0.139,0.204,0.507,0
0.179,0.24,0.581,0.919,0.075,0.308,0.34,0
0.665,0.253,0.083,0.073,0.233,0.092,0.378,0
0.093,0.646,0.261,0.398,0.477,0.302,0.511,1
0.093,0.638,0.269,0.105,0.596,0.104,0.403,1
0.751,0.104,0.145,0.601,0.191,0.242,0.563,0
0.709,0.137,0.154,0.603,0.36,0.137,0.654,0
0.17,0.482,0.348,0.34,0.503,0.139,0.354,0
0.015,0.741,0.244,0.058,0.695,0.116,0.379,1
0.668,0.202,0.13,0.383,0.554,0.251,0.538,0
0.01,0.365,0.626,0.012,0.161,0.148,0.387,1
0.105,0.481,0.414,0.123,0.42,0.294,0.561,2
0.075,0.07,0.856,0.07,0.676,0.218,0.345,2
0.039,0.656,0.305,0.15,0.398,0.09,0.39,2
0.375,0.552,0.072,0.318,0.539,0.149,0.646,0
0.022,0.517,0.461,0.2,0.745,0.253,0.177,1
0.177,0.719,0.104,0.334,0.452,0.08,0.399,1
0.507,0.225,0.268,0.139,0.595,0.673,0.207,0
0.769,0.17,0.061,0.485,0.375,0.351,0.258,0
0.08,0.435,0.485,0.443,0.417,0.221,0.43,0
0.579,0.209,0.212,0.309,0.619,0.449,0.386,0
0.169,0.683,0.148,0.411,0.493,0.231,0.387,0
0.09,0.044,0.866,0.449,0.37,0.404,0.265,0
0.731,0.216,0.053,0.624,0.28,0.321,0.55,0
0.563,0.254,0.183,0.168,0.219,0.774,0.173,0
0.098,0.57,0.332,0.621,0.236,0.382,0.213,0
0.277,0.696,0.028,0.185,0.442,0.087,0.396,0
0.026,0.175,0.799,0.036,0.261,0.116,0.384,2
0.012,0.637,0.352,0.012,0.777,0.301,0.53,1
0.61,0.041,0.349,0.489,0.46,0.866,0.124,0
0.201,0.647,0.152,0.049,0.926,0.138,0.676,0
0.518,0.285,0.197,0.345,0.388,0.992,0.008,0
0.156,0.751,0.093,0.033,0.93,0.221,0.596,1
0.014,0.699,0.287,0.022,0.475,0.186,0.444,2
0.272,0.394,0.334,0.65,0.311,0.451,0.354,0
0.192,0.58,0.228,0.055,0.893,0.401,0.504,0
0.143,0.578,0.279,0.114,0.622,0.236,0.72,1
0.237,0.75,0.013,0.062,0.892,0.535,0.356,0
0.057,0.785,0.158,0.107,0.631,0.146,0.583,1
0.924,0.026,0.05,0.341,0.57,0.278,0.492,0
0.455,0.494,0.051,0.352,0.607,0.223,0.603,1
0.022,0.219,0.759,0.002,0.059,0.227,0.389,0
0.541,0.443,0.016,0.813,0.167,0.099,0.387,0
0.926,0.007,0.067,0.345,0.336,0.54,0.168,0
0.33,0.442,0.229,0.292,0.657,0.312,0.507,0
0.237,0.737,0.027,0.481,0.308,0.368,0.429,0
0.596,0.349,0.055,0.447,0.321,0.263,0.45,0
0.75,0.059,0.191,0.577,0.384,0.236,0.337,0
0.657,0.253,0.09,0.564,0.393,0.373,0.284,0
0.274,0.689,0.036,0.335,0.59,0.74,0.194,0
0.892,0.05,0.058,0.846,0.142,0.401,0.225,0
0.653,0.134,0.213,0.731,0.088,0.101,0.368,0
0.539,0.432,0.029,0.777,0.214,0.64,0.282,0
0.955,0.026,0.02,0.412,0.509,0.325,0.283,0
0.288,0.698,0.015,0.535,0.404,0.386,0.4,0
0.976,0.006,0.018,0.468,0.243,0.992,0.008,0
0.364,0.449,0.187,0.124,0.829,0.431,0.37,0
0.58,0.4,0.02,0.855,0.104,0.737,0.185,0
0.255,0.488,0.258,0.329,0.37,0.144,0.397,0
0.109,0.819,0.072,0.211,0.169,0.427,0.4,0
0.465,0.258,0.277,0.711,0.194,0.421,0.247,0
0.503,0.43,0.067,0.745,0.162,0.155,0.44,0
0.358,0.182,0.46,0.36,0.491,0.455,0.442,0
0.615,0.191,0.194,0.407,0.539,0.728,0.207,0
0.061,0.381,0.558,0.05,0.287,0.524,0.338,2
0.661,0.305,0.034,0.651,0.325,0.36,0.204,0
0.064,0.928,0.008,0.41,0.571,0.072,0.361,0
0.907,0.014,0.08,0.606,0.321,0.758,0.159,0
0.665,0.307,0.028,0.498,0.415,0.097,0.563,0
0.426,0.524,0.051,0.786,0.2,0.16,0.465,0
0.347,0.626,0.027,0.615,0.321,0.113,0.442,0
0.965,0.007,0.029,0.687,0.251,0.663,0.245,0
0.083,0.621,0.295,0.07,0.7,0.108,0.477,1
0.489,0.44,0.071,0.162,0.808,0.133,0.45,1
0.98,0.008,0.012,0.459,0.336,0.961,0.031,0
0.415,0.573,0.011,0.015,0.968,0.222,0.596,0
0,0.972,0.027,0.66,0.322,0.8,0.173,0
0.085,0.684,0.231,0.157,0.826,0.145,0.525,0
0.651,0.348,0.002,0.543,0.444,0.092,0.39,0
0.895,0.074,0.031,0.298,0.541,0.684,0.279,0
0.722,0.184,0.094,0.202,0.503,0.286,0.503,0
0.726,0.184,0.09,0.376,0.453,0.249,0.327,1
0.079,0.828,0.092,0.139,0.812,0.12,0.378,2
0.33,0.456,0.214,0.388,0.45,0.206,0.249,1
0.114,0.843,0.043,0.067,0.748,0.169,0.447,0
0.29,0.665,0.045,0.497,0.216,0.937,0.06,0
0.735,0.15,0.115,0.089,0.542,0.156,0.344,0
0.024,0.023,0.952,0.175,0.394,0.144,0.374,2
0.396,0.538,0.066,0.436,0.521,0.309,0.546,0
0.683,0.301,0.016,0.374,0.547,0.142,0.579,0
0.118,0.824,0.058,0.615,0.305,0.698,0.232,0
0.231,0.588,0.181,0.874,0.102,0.108,0.386,0
0.929,0.006,0.064,0.346,0.382,0.936,0.055,0
0.67,0.269,0.06,0.606,0.331,0.742,0.175,0
0.158,0.089,0.753,0.304,0.53,0.121,0.293,0
0.125,0.729,0.147,0.417,0.432,0.183,0.506,1
0.602,0.166,0.232,0.744,0.238,0.267,0.208,0
0.258,0.624,0.118,0.128,0.795,0.068,0.745,1
0.627,0.083,0.29,0.531,0.415,0.447,0.435,0
0.144,0.713,0.143,0.147,0.706,0.223,0.612,1
0.756,0.225,0.019,0.298,0.668,0.527,0.305,0
0.068,0.838,0.094,0.155,0.713,0.357,0.446,0
0.864,0.066,0.071,0.625,0.348,0.292,0.466,0
0.649,0.12,0.23,0.197,0.182,0.289,0.322,0
0.26,0.655,0.085,0.486,0.358,0.134,0.424,0
0.253,0.5,0.247,0.73,0.206,0.496,0.367,0
0.452,0.405,0.143,0.586,0.255,0.057,0.744,0
0.605,0.256,0.139,0.656,0.31,0.6,0.234,0
0.273,0.418,0.309,0.441,0.493,0.362,0.515,0
0.908,0.01,0.081,0.592,0.374,0.325,0.213,0
0.484,0.373,0.142,0.474,0.418,0.128,0.427,0
0.25,0.452,0.298,0.246,0.541,0.3,0.464,0
0.443,0.525,0.032,0.672,0.273,0.107,0.396,0
0.658,0.192,0.149,0.465,0.434,0.165,0.333,1
0.028,0.654,0.318,0.041,0.476,0.12,0.366,2
0.648,0.197,0.155,0.39,0.352,0.159,0.449,0
0.189,0.4,0.412,0.129,0.466,0.267,0.424,0
0.944,0.031,0.025,0.923,0.07,0.268,0.182,0
0.602,0.372,0.026,0.442,0.497,0.156,0.455,0
0.088,0.788,0.123,0.179,0.804,0.326,0.542,0
0.087,0.507,0.406,0.119,0.734,0.57,0.328,1
0.949,0.015,0.036,0.751,0.213,0.333,0.168,0
0.254,0.701,0.045,0.738,0.229,0.11,0.406,0
0.391,0.513,0.097,0.559,0.408,0.221,0.66,0
0.079,0.555,0.366,0.064,0.841,0.283,0.317,0
0.398,0.542,0.061,0.446,0.481,0.174,0.451,0
0.664,0.013,0.323,0.176,0.668,0.933,0.052,0
0.052,0.804,0.144,0.449,0.52,0.238,0.569,0
0.138,0.658,0.204,0.053,0.694,0.33,0.521,1
0.031,0.92,0.049,0.006,0.982,0.468,0.41,0
0.24,0.673,0.087,0.448,0.535,0.308,0.52,0
0.827,0.092,0.08,0.327,0.568,0.975,0.023,0
0.427,0.138,0.435,0.442,0.471,0.201,0.565,0
0.631,0.269,0.099,0.221,0.652,0.322,0.565,0
0.715,0.188,0.096,0.35,0.441,0.233,0.445,0
0.169,0.796,0.035,0.75,0.24,0.157,0.401,0
0.198,0.697,0.105,0.215,0.687,0.253,0.566,0
0.927,0.035,0.037,0.885,0.097,0.409,0.19,0
0.303,0.633,0.063,0.823,0.151,0.152,0.448,0
0.037,0.88,0.084,0.35,0.44,0.33,0.554,0
0.287,0.447,0.266,0.295,0.561,0.842,0.117,0
0.829,0.088,0.084,0.704,0.187,0.406,0.21,0
0.151,0.811,0.037,0.698,0.187,0.184,0.426,0
0.23,0.699,0.072,0.176,0.701,0.508,0.426,0
0.658,0.262,0.08,0.349,0.576,0.347,0.277,0
0.275,0.62,0.104,0.404,0.531,0.249,0.53,1
0.109,0.844,0.047,0.689,0.284,0.642,0.305,0
0.257,0.34,0.403,0.097,0.595,0.379,0.337,0
0.056,0.814,0.13,0.045,0.738,0.036,0.888,1
0.078,0.712,0.21,0.144,0.604,0.234,0.493,1
0.466,0.526,0.008,0.881,0.111,0.801,0.185,0
0.851,0.089,0.061,0.887,0.094,0.498,0.257,0
0.726,0.263,0.011,0.946,0.035,0.092,0.367,0
0.272,0.7,0.028,0.64,0.24,0.783,0.197,0
0.278,0.687,0.035,0.022,0.952,0.402,0.374,0
0.201,0.775,0.024,0.309,0.641,0.39,0.384,1
0.975,0.011,0.014,0.448,0.466,0.726,0.22,0
0.323,0.634,0.042,0.24,0.733,0.285,0.602,0
0.447,0.407,0.146,0.089,0.815,0.232,0.447,0
0.17,0.098,0.732,0.848,0.133,0.896,0.076,0
0.324,0.512,0.164,0.091,0.743,0.159,0.418,0
0.685,0.29,0.025,0.6,0.379,0.089,0.392,0
0.924,0.026,0.05,0.725,0.261,0.6,0.148,0
0.456,0.413,0.13,0.437,0.518,0.519,0.42,0
0.78,0.109,0.111,0.419,0.493,0.293,0.227,0
0.451,0.51,0.039,0.627,0.345,0.144,0.554,0
0.9,0.066,0.034,0.769,0.21,0.359,0.333,0
0.167,0.775,0.058,0.144,0.791,0.498,0.367,1
0.91,0.049,0.041,0.758,0.231,0.481,0.187,0
0.82,0.143,0.036,0.701,0.264,0.15,0.451,0
0.735,0.13,0.135,0.726,0.247,0.462,0.396,0
0.004,0.906,0.09,0.256,0.489,0.28,0.571,0
0.251,0.737,0.012,0.694,0.3,0.49,0.357,0
0.657,0.22,0.122,0.334,0.47,0.272,0.237,0
0.848,0.134,0.018,0.506,0.156,0.097,0.417,0
0.912,0.018,0.071,0.512,0.452,0.899,0.083,0
0.457,0.48,0.063,0.701,0.243,0.584,0.315,0
0.296,0.481,0.223,0.323,0.571,0.35,0.496,2
0.41,0.351,0.239,0.096,0.37,0.204,0.348,0
0.564,0.37,0.066,0.481,0.413,0.149,0.44,0
0.093,0.768,0.139,0.13,0.809,0.247,0.557,0
0.32,0.502,0.178,0.881,0.098,0.098,0.397,0
0.868,0.075,0.057,0.385,0.411,0.357,0.28,0
0.091,0.711,0.198,0.34,0.446,0.241,0.417,1
0.926,0.023,0.051,0.595,0.372,0.856,0.115,0
0.251,0.632,0.117,0.333,0.518,0.355,0.466,0
0.238,0.653,0.109,0.585,0.388,0.096,0.677,0
0.593,0.398,0.009,0.382,0.596,0.115,0.682,0
0.108,0.844,0.049,0.254,0.717,0.392,0.512,0
0.835,0.144,0.021,0.638,0.346,0.152,0.675,0
0.369,0.599,0.031,0.515,0.284,0.976,0.023,0
0.851,0.12,0.029,0.627,0.354,0.498,0.359,0
0.785,0.188,0.027,0.954,0.045,0.091,0.314,0
0.976,0.002,0.021,0.69,0.25,0.92,0.066,0
0.1,0.822,0.078,0.1,0.81,0.217,0.612,1
0.283,0.662,0.055,0.46,0.345,0.173,0.546,0
0.517,0.401,0.082,0.674,0.27,0.278,0.602,1
0.244,0.576,0.18,0.621,0.323,0.143,0.433,0
0.025,0.201,0.774,0.001,0.056,0.47,0.316,0
0.295,0.497,0.208,0.076,0.836,0.246,0.361,0
0.294,0.657,0.049,0.56,0.383,0.319,0.449,1
0.931,0.044,0.025,0.883,0.091,0.539,0.182,0
0.768,0.149,0.083,0.868,0.126,0.187,0.432,0
0.333,0.407,0.259,0.607,0.359,0.462,0.417,0
0.143,0.029,0.828,0.642,0.066,0.264,0.252,2
0.026,0.638,0.336,0.052,0.045,0.099,0.402,2
0.685,0.202,0.113,0.095,0.844,0.175,0.574,0
0.275,0.588,0.137,0.196,0.732,0.287,0.48,2
0.521,0.277,0.202,0.345,0.55,0.386,0.363,0
0.265,0.622,0.113,0.731,0.21,0.188,0.425,1
0.632,0.338,0.03,0.327,0.522,0.259,0.53,1
