@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature33 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.027778,0,0,0,0,0,0,0,0.331592,0.351086,0.410187,0
0,0.00232,0,0,0,0,0,0,0,0.482435,0.523432,0.612526,0
0.003226,0.008602,0,0.001076,0.002153,0,0,0,0,0.719805,0.779931,0.922685,2
0,0.006536,0,0,0.006579,0,0,0,0,0.699855,0.753976,0.891070,2
0.00271,0.02439,0,0,0.005435,0.002717,0.005435,0,0,0.411729,0.437165,0.509948,1
0,0.018182,0,0,0,0,0,0,0,0.298396,0.316637,0.362719,0
0,0.005155,0,0.002584,0,0,0.002584,0,0,0.464320,0.499536,0.584327,0
0.007326,0.014652,0,0.002445,0.001222,0.003667,0.00489,0,0,0.613043,0.662622,0.781670,0
0,0,0,0,0,0,0,0,0,0.507982,0.545307,0.636515,0
0,0.008929,0,0,0.008969,0,0,0,0,0.218460,0.222409,0.245220,0
0,0,0,0,0,0,0,0,0,0.528391,0.569294,0.663913,0
0,0.01072,0,0.003067,0.009202,0,0.003067,0,0,0.558566,0.600470,0.707446,0
0,0.005525,0,0.00277,0,0.00277,0.00277,0,0,0.687009,0.743248,0.878384,0
0,0.018018,0,0,0.018182,0.009091,0.009091,0,0,0.632443,0.676258,0.796190,0
0,0.02583,0,0.003704,0.003704,0.007407,0.007407,0,0,0.239376,0.244761,0.270743,1
0,0,0,0,0.025974,0,0,0,0,0.474958,0.505593,0.593153,1
0,0.006182,0,0.003096,0.004644,0.003096,0.001548,0,0,0.532377,0.573395,0.674440,0
0,0.001183,0,0,0.001185,0,0,0,0,0.692102,0.749959,0.885607,1
0,0.04878,0,0.012346,0.024691,0.012346,0.024691,0,0,0.589316,0.626598,0.738020,0
0,0.025271,0,0.007246,0.007246,0.01087,0.007246,0,0,0.232863,0.232949,0.255736,0
0,0,0,0,0,0,0,0,0,0.207443,0.216329,0.239108,0
0,0.004367,0,0,0.004376,0.002188,0,0,0,0.561254,0.604895,0.712088,0
