@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.067,0.825,0.108,0.149,0.759,0
0.079,0.298,0.623,0.221,0.27,2
0.089,0.465,0.446,0.143,0.55,1
0.072,0.908,0.021,0.871,0.125,0
0.549,0.21,0.241,0.393,0.449,0
0.173,0.278,0.55,0.223,0.44,0
0.544,0.277,0.178,0.856,0.133,0
0.464,0.466,0.069,0.873,0.115,0
0.635,0.158,0.206,0.466,0.463,0
0.637,0.246,0.117,0.51,0.21,0
0.068,0.75,0.183,0.137,0.605,1
0.109,0.689,0.203,0.135,0.505,1
0.731,0.06,0.208,0.433,0.356,0
0.849,0.056,0.094,0.889,0.107,0
0.262,0.399,0.339,0.091,0.407,0
0.024,0.788,0.188,0.807,0.153,1
0.732,0.13,0.138,0.275,0.572,0
0.053,0.3,0.647,0.021,0.167,1
0.335,0.238,0.427,0.03,0.302,2
0.147,0.035,0.819,0.205,0.563,2
0.126,0.604,0.27,0.508,0.307,2
0.209,0.729,0.062,0.874,0.112,0
0.065,0.469,0.466,0.071,0.645,1
0.18,0.756,0.064,0.933,0.051,1
0.602,0.173,0.225,0.742,0.213,0
0.684,0.212,0.104,0.359,0.504,0
0.385,0.337,0.278,0.32,0.51,0
0.681,0.131,0.189,0.503,0.433,0
0.171,0.67,0.159,0.34,0.491,0
0.138,0.085,0.777,0.665,0.243,0
0.508,0.409,0.083,0.231,0.581,0
0.539,0.273,0.189,0.956,0.023,0
0.198,0.565,0.237,0.276,0.372,0
0.311,0.643,0.045,0.796,0.125,0
0.125,0.106,0.769,0.076,0.245,2
0.023,0.644,0.332,0.009,0.765,1
0.766,0.016,0.218,0.464,0.457,0
0.142,0.657,0.201,0.257,0.72,0
0.678,0.149,0.173,0.89,0.062,0
0.079,0.766,0.155,0.16,0.803,1
0.02,0.763,0.217,0.036,0.348,2
0.497,0.338,0.165,0.251,0.596,0
0.323,0.409,0.268,0.217,0.708,0
0.279,0.438,0.283,0.26,0.423,1
0.062,0.908,0.03,0.184,0.8,0
0.106,0.717,0.176,0.128,0.568,1
0.883,0.037,0.081,0.766,0.212,0
0.227,0.713,0.06,0.495,0.487,1
0.067,0.134,0.799,0.011,0.075,0
0.208,0.778,0.014,0.46,0.482,0
0.888,0.006,0.106,0.227,0.474,0
0.238,0.524,0.237,0.449,0.491,0
0.182,0.788,0.03,0.677,0.219,0
0.335,0.583,0.082,0.415,0.396,0
0.775,0.061,0.163,0.563,0.398,0
0.586,0.281,0.133,0.568,0.38,0
0.054,0.917,0.029,0.962,0.035,0
0.941,0.017,0.042,0.643,0.328,0
0.755,0.086,0.159,0.206,0.33,0
0.306,0.59,0.104,0.183,0.741,0
0.007,0.799,0.194,0.054,0.59,1
0.012,0.091,0.897,0.032,0.253,2
0.317,0.633,0.05,0.422,0.502,0
0.771,0.103,0.125,0.46,0.481,0
0.104,0.88,0.016,0.376,0.563,0
0.936,0.024,0.041,0.878,0.061,0
0.199,0.572,0.229,0.388,0.558,0
0.228,0.728,0.045,0.931,0.04,0
0.397,0.374,0.229,0.131,0.48,0
0.04,0.929,0.032,0.251,0.227,0
0.49,0.286,0.225,0.105,0.553,0
0.431,0.521,0.048,0.406,0.45,0
0.638,0.089,0.273,0.311,0.51,0
0.589,0.188,0.223,0.356,0.554,0
0.178,0.213,0.609,0.121,0.218,2
0.692,0.251,0.057,0.438,0.516,0
0.014,0.983,0.002,0.792,0.201,0
0.925,0.005,0.07,0.63,0.331,0
0.73,0.234,0.036,0.731,0.222,0
0.182,0.782,0.036,0.703,0.283,0
0.186,0.772,0.042,0.367,0.53,0
0.939,0.012,0.048,0.701,0.254,0
0.213,0.575,0.212,0.667,0.286,1
0.266,0.651,0.083,0.285,0.673,1
0.895,0.064,0.041,0.319,0.464,0
0.04,0.926,0.034,0.422,0.574,0
0.014,0.94,0.046,0.566,0.385,0
0.228,0.525,0.247,0.177,0.806,0
0.199,0.799,0.002,0.727,0.268,0
0.714,0.217,0.07,0.919,0.076,0
0.632,0.232,0.136,0.84,0.121,0
0.641,0.199,0.16,0.437,0.441,1
0.07,0.852,0.078,0.234,0.628,2
0.295,0.515,0.19,0.234,0.522,1
0.085,0.853,0.062,0.277,0.598,0
0.142,0.811,0.047,0.444,0.267,0
0.352,0.254,0.394,0.089,0.554,0
0.087,0.029,0.884,0.244,0.399,2
