@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature33 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature841 numeric
@attribute bi_feature1002 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.008333,0,0,0,0,0.008403,0,0.539996,0.561486,0.663519,0
0.004175,0.010438,0,0,0,0.006964,0.009053,0,0.581001,0.611160,0.721932,0
0.008065,0.025161,0.000323,0,0,0.01807,0.001613,0,0.824152,0.866290,1.038828,2
0,0.035225,0,0,0,0.02549,0,0,0.804093,0.843033,1.010235,2
0.004878,0.134959,0.000813,0,0,0.106591,0.009764,0,0.526859,0.545276,0.644070,1
0,0.027174,0,0,0,0.016393,0.021858,0,0.406871,0.423081,0.490320,0
0.004637,0.047913,0,0,0,0.040217,0.009281,0,0.568029,0.593738,0.702979,0
0.016484,0.020513,0.001832,0,0,0.014291,0.003298,0,0.718637,0.754961,0.902045,0
0,0.041199,0,0,0,0.026316,0.018797,0,0.610603,0.638775,0.757117,0
0.001337,0.078877,0,0,0,0.053548,0.008032,0,0.269376,0.273453,0.307372,0
0,0.09434,0,0,0,0.06962,0.018987,0,0.423953,0.438194,0.513560,0
0.003752,0.074109,0.000938,0,0,0.065728,0.014085,0,0.573243,0.597443,0.706517,0
0,0.009153,0,0,0,0.00641,0.003663,0,0.853222,0.897555,1.075464,0
0,0.080153,0,0,0,0.057471,0.003831,0,0.651966,0.679872,0.809679,0
0,0.063429,0.001982,0,0,0.050595,0.016865,0,0.421441,0.435765,0.505618,0
0,0.004202,0,0,0,0,0.025316,0,0.618092,0.648668,0.769298,0
0,0.109224,0.000918,0,0,0.098255,0.004132,0,0.652974,0.679950,0.806958,0
0,0.011589,0.000828,0,0,0.004971,0.001657,0,0.788420,0.828372,0.989794,0
0,0.102703,0.002703,0,0,0.081301,0,0,0.718677,0.749186,0.894384,0
0,0.089602,0.001106,0,0,0.062016,0.015504,0,0.298137,0.304627,0.340474,1
0,0.176923,0,0,0,0.158301,0.003861,0,0.574343,0.593354,0.703380,1
0,0.078777,0.000463,0,0,0.070932,0.0051,0,0.638062,0.665829,0.788967,0
0.00674,0.00674,0,0,0,0.005323,0.005323,0,0.792900,0.834234,0.997484,1
0,0.170909,0.007273,0,0,0.142336,0,0,0.683026,0.708479,0.844108,0
0,0.084416,0.002165,0,0,0.047671,0.024919,0,0.286614,0.291858,0.328235,0
0.005952,0.029762,0,0,0,0.011976,0.02994,0,0.279742,0.290099,0.333430,0
0,0.048461,0,0,0,0.038008,0.001966,0,0.657247,0.687776,0.818797,0
0.001048,0.026895,0,0,0,0.020615,0.004892,0,0.770882,0.809310,0.967308,1
0,0.066066,0.003003,0,0,0.048193,0,0,0.710889,0.743016,0.887041,0
0,0.07631,0.002278,0,0,0.04675,0.019384,0,0.346106,0.355462,0.408283,0
