@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.039,0.322,0.639,0.003,0.401,0.227,0.273,2
0.056,0.441,0.503,0.036,0.546,0.314,0.484,1
0.202,0.657,0.141,0.04,0.687,0.335,0.437,1
0.103,0.687,0.21,0.002,0.676,0.195,0.307,1
0.029,0.742,0.229,0.042,0.669,0.203,0.323,1
0.027,0.336,0.637,0,0.182,0.219,0.278,1
0.231,0.383,0.386,0.065,0.211,0.298,0.476,2
0.034,0.088,0.878,0.001,0.709,0.188,0.469,2
0.061,0.539,0.4,0.004,0.726,0.182,0.318,2
0.05,0.464,0.486,0.089,0.83,0.189,0.407,1
0.395,0.545,0.06,0.251,0.479,0.173,0.337,1
0.033,0.166,0.801,0.001,0.317,0.202,0.302,2
0.015,0.614,0.371,0.002,0.792,0.301,0.356,1
0.248,0.691,0.061,0.105,0.881,0.252,0.471,1
0.044,0.695,0.261,0,0.404,0.246,0.284,2
0.179,0.535,0.286,0.023,0.52,0.051,0.914,1
0.098,0.702,0.199,0.001,0.668,0.23,0.352,1
0.476,0.478,0.046,0.767,0.226,0.256,0.487,1
0.002,0.808,0.19,0.001,0.735,0.208,0.319,1
0.004,0.079,0.917,0,0.231,0.348,0.325,2
0.034,0.374,0.592,0.002,0.294,0.44,0.215,2
0.136,0.669,0.195,0.052,0.74,0.205,0.4,1
0.289,0.53,0.181,0.175,0.806,0.213,0.339,1
0.443,0.316,0.241,0.399,0.447,0.238,0.364,1
0.079,0.791,0.13,0.002,0.942,0.211,0.286,2
0.391,0.422,0.187,0.323,0.611,0.168,0.483,1
0.005,0.037,0.957,0.008,0.541,0.223,0.295,2
0.151,0.683,0.166,0.439,0.424,0.238,0.49,1
0.069,0.747,0.184,0.011,0.893,0.167,0.434,1
0.132,0.668,0.2,0.627,0.281,0.236,0.567,1
0.678,0.14,0.182,0.793,0.172,0.191,0.431,1
0.021,0.706,0.273,0,0.446,0.25,0.28,2
0.052,0.494,0.454,0.183,0.484,0.652,0.175,1
0.063,0.745,0.192,0.025,0.711,0.359,0.318,1
0.599,0.361,0.04,0.483,0.481,0.326,0.428,1
0.026,0.828,0.146,0.001,0.796,0.155,0.505,1
0.156,0.672,0.173,0.007,0.723,0.261,0.485,1
0.147,0.781,0.072,0.218,0.733,0.334,0.231,1
0.311,0.669,0.019,0.225,0.702,0.388,0.397,1
0.453,0.41,0.137,0.076,0.671,0.431,0.367,2
0.116,0.635,0.248,0.006,0.597,0.272,0.222,1
0.214,0.754,0.032,0.06,0.839,0.08,0.866,1
0.372,0.491,0.138,0.1,0.745,0.265,0.521,1
0.379,0.555,0.066,0.198,0.757,0.199,0.531,1
0.04,0.068,0.893,0.484,0.058,0.199,0.405,2
0.038,0.676,0.286,0.001,0.045,0.184,0.301,2
0.355,0.533,0.112,0.181,0.775,0.319,0.444,2
0.336,0.529,0.135,0.184,0.685,0.253,0.28,1
0.497,0.458,0.045,0.221,0.701,0.281,0.498,1
0.347,0.477,0.176,0.846,0.115,0.449,0.356,0
0.679,0.189,0.131,0.839,0.155,0.271,0.267,0
0.714,0.159,0.127,0.055,0.787,0.317,0.431,0
0.524,0.043,0.434,0.992,0.008,0.231,0.433,0
0.329,0.626,0.044,0.995,0.005,0.154,0.519,0
0.325,0.39,0.286,0.961,0.038,0.538,0.267,0
0.586,0.125,0.29,0.92,0.075,0.632,0.19,0
0.529,0.317,0.154,0.051,0.778,0.249,0.492,0
0.29,0.541,0.169,0.061,0.779,0.253,0.285,0
0.263,0.697,0.04,0.26,0.704,0.603,0.193,0
0.405,0.335,0.26,0.207,0.748,0.389,0.338,0
0.018,0.1,0.882,0.048,0.608,0.282,0.399,0
0.474,0.233,0.294,0.288,0.303,0.221,0.399,0
0.638,0.278,0.083,0.892,0.098,0.201,0.319,0
0.788,0.134,0.078,0.573,0.405,0.343,0.288,0
0.218,0.689,0.093,0.736,0.191,0.256,0.249,0
0.65,0.282,0.068,0.812,0.175,0.54,0.31,0
0.662,0.279,0.058,0.887,0.102,0.243,0.511,0
