@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0.539510,0.557966,0.648594,0
0.004175,0,0,0,0.580885,0.608486,0.703591,0
0.008065,0,0,0,0.823868,0.861621,1.011184,2
0,0,0,0,0.803729,0.838346,0.983918,2
0.004878,0,0,0,0.526653,0.542069,0.629732,1
0,0,0,0,0.406755,0.420494,0.478307,0
0.004637,0,0,0,0.567853,0.590540,0.685923,0
0.016484,0,0,0,0.718366,0.751015,0.878393,0
0,0,0,0,0.610385,0.635203,0.737695,0
0.001337,0,0,0,0.269223,0.271695,0.302202,0
0,0,0,0,0.423830,0.435063,0.502612,0
0.003752,0,0,0,0.573034,0.593847,0.689245,0
0,0,0,0,0.852929,0.892697,1.046458,0
0,0,0,0,0.651643,0.675829,0.789746,0
0,0,0,0,0.421256,0.432925,0.493938,0
0,0,0,0,0.617947,0.644711,0.748767,0
0,0,0,0,0.652754,0.676074,0.787858,0
0,0,0,0,0.788130,0.823872,0.963422,0
0,0,0,0,0.718328,0.744861,0.872666,0
0,0,0,0,0.298042,0.302972,0.333412,1
0,0,0,0,0.574165,0.589831,0.688430,1
0,0,0,0,0.637889,0.662072,0.769817,0
0.00674,0,0,0,0.792639,0.829811,0.970674,1
0,0,0,0,0.682710,0.704405,0.824682,0
0,0,0,0,0.286488,0.289882,0.321023,0
0.005952,0,0,0,0.279767,0.288323,0.325952,0
0,0,0,0,0.657019,0.684127,0.798647,0
0.001048,0,0,0,0.770601,0.804878,0.941882,1
0,0,0,0,0.710576,0.738815,0.864595,0
0,0,0,0,0.346012,0.353180,0.399687,0
0,0,0,0,0.518612,0.531706,0.620178,0
0,0,0,0,0.581914,0.601629,0.699121,0
0.007475,0,0,0,0.825274,0.863283,1.012692,1
0,0,0,0,0.702021,0.726238,0.850373,0
0,0,0,0,0.354986,0.362190,0.402959,0
0.035156,0,0,0,0.069398,0.081672,0.074836,2
0.020833,0,0,0,0.407052,0.423157,0.488669,2
0.00163,0,0,0,0.794972,0.831088,0.972630,2
0,0,0,0,0.607290,0.626938,0.732627,0
0,0,0,0,0.293296,0.296734,0.329605,0
0,0,0,0,0.524569,0.537542,0.625684,2
