@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.322,0.599,0.079,0.284,0.64,0
0.289,0.622,0.09,0.48,0.487,0
0.706,0.137,0.157,0.789,0.159,0
0.679,0.298,0.023,0.872,0.111,0
0.168,0.814,0.018,0.459,0.351,0
0.371,0.408,0.22,0.549,0.404,0
0.633,0.15,0.216,0.627,0.263,0
0.044,0.871,0.085,0.603,0.257,0
0.528,0.453,0.019,0.483,0.439,0
0.534,0.312,0.154,0.273,0.642,0
0.44,0.52,0.039,0.706,0.262,1
0.667,0.317,0.015,0.601,0.364,0
0.027,0.35,0.623,0.274,0.437,0
0.039,0.807,0.154,0.064,0.687,1
0.116,0.758,0.127,0.188,0.608,1
0.839,0.158,0.003,0.936,0.06,0
0.816,0.094,0.09,0.62,0.307,0
0.573,0.382,0.045,0.806,0.142,0
0.491,0.484,0.025,0.546,0.276,0
0.204,0.747,0.05,0.294,0.658,0
0.132,0.792,0.076,0.164,0.66,1
0.932,0.035,0.033,0.824,0.165,0
0.321,0.646,0.034,0.592,0.381,0
0.076,0.604,0.32,0.057,0.691,0
0.053,0.056,0.891,0.365,0.45,0
0.037,0.617,0.347,0.42,0.515,0
0.428,0.505,0.067,0.829,0.158,0
0.807,0.059,0.134,0.799,0.191,0
0.546,0.384,0.07,0.312,0.588,0
0.389,0.226,0.385,0.452,0.434,0
0.358,0.582,0.06,0.638,0.32,0
0.667,0.211,0.122,0.743,0.228,0
0.335,0.648,0.017,0.182,0.723,1
0.729,0.158,0.113,0.853,0.139,0
0.749,0.183,0.068,0.139,0.595,0
0.495,0.147,0.358,0.608,0.327,0
0.049,0.897,0.053,0.335,0.488,0
0.805,0.191,0.005,0.785,0.209,0
0.387,0.38,0.233,0.626,0.301,0
0.782,0.185,0.033,0.613,0.232,0
0.432,0.094,0.474,0.443,0.502,0
0.501,0.431,0.068,0.737,0.202,0
0.474,0.425,0.1,0.351,0.448,2
0.107,0.476,0.418,0.178,0.373,0
0.221,0.619,0.16,0.429,0.439,0
0.275,0.693,0.033,0.463,0.456,0
0.41,0.475,0.115,0.595,0.355,0
0.439,0.312,0.249,0.233,0.535,0
0.017,0.727,0.256,0.083,0.603,1
0.795,0.047,0.158,0.59,0.363,0
0.471,0.49,0.039,0.487,0.381,0
0.499,0.364,0.137,0.178,0.755,0
0.571,0.411,0.017,0.156,0.823,0
0.476,0.496,0.028,0.099,0.865,0
0.792,0.17,0.038,0.196,0.748,0
0.688,0.282,0.03,0.554,0.313,0
0.838,0.126,0.035,0.923,0.075,0
0.716,0.226,0.057,0.789,0.198,0
0.806,0.02,0.174,0.641,0.274,0
0.16,0.812,0.029,0.428,0.508,1
0.724,0.253,0.023,0.456,0.413,0
0.371,0.514,0.115,0.113,0.742,1
0.306,0.57,0.124,0.42,0.463,0
0.002,0.193,0.806,0.006,0.083,0
0.165,0.594,0.241,0.555,0.399,0
0.096,0.741,0.162,0.41,0.494,1
0.849,0.087,0.064,0.452,0.373,0
0.419,0.272,0.31,0.601,0.36,0
0.614,0.284,0.102,0.782,0.206,0
0.336,0.04,0.624,0.117,0.196,2
0.034,0.68,0.285,0.432,0.09,2
0.242,0.28,0.478,0.067,0.829,0
0.306,0.573,0.121,0.574,0.379,2
0.56,0.249,0.191,0.426,0.482,0
0.196,0.605,0.199,0.117,0.702,1
0.693,0.28,0.027,0.655,0.28,1
