@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.005,0.322,0.673,0.025,0.415,2
0.041,0.505,0.454,0.317,0.473,1
0.024,0.744,0.232,0.505,0.348,1
0.188,0.701,0.11,0.079,0.559,1
0.013,0.807,0.18,0.183,0.544,1
0.005,0.351,0.643,0.001,0.19,1
0.113,0.417,0.47,0.006,0.33,2
0.022,0.095,0.884,0.004,0.681,2
0.128,0.594,0.278,0.295,0.339,2
0.005,0.534,0.46,0.238,0.702,1
0.121,0.8,0.079,0.636,0.284,1
0.016,0.198,0.787,0.011,0.331,2
0.012,0.604,0.384,0,0.758,1
0.128,0.829,0.043,0.059,0.918,1
0.006,0.81,0.185,0.001,0.353,2
0.231,0.519,0.249,0.03,0.545,1
0.038,0.829,0.133,0.009,0.634,1
0.528,0.43,0.042,0.171,0.817,1
0.011,0.779,0.211,0.016,0.692,1
0.002,0.092,0.906,0,0.205,2
0.044,0.363,0.592,0.004,0.336,2
0.139,0.638,0.223,0.576,0.3,1
0.208,0.594,0.198,0.148,0.772,1
0.515,0.298,0.187,0.321,0.553,1
0.024,0.841,0.134,0.747,0.218,2
0.19,0.618,0.192,0.273,0.631,1
0.01,0.047,0.943,0.05,0.494,2
0.072,0.702,0.226,0.135,0.66,1
0.2,0.643,0.157,0.12,0.78,1
0.233,0.702,0.064,0.022,0.765,1
0.489,0.249,0.262,0.363,0.522,1
0.019,0.715,0.267,0.003,0.418,2
0.068,0.495,0.437,0.435,0.415,1
0.071,0.682,0.247,0.045,0.694,1
0.407,0.55,0.043,0.317,0.645,1
0.07,0.832,0.098,0.01,0.756,1
0.119,0.751,0.13,0.036,0.685,1
0.094,0.81,0.096,0.167,0.709,1
0.207,0.774,0.019,0.213,0.728,1
0.319,0.491,0.19,0.534,0.356,2
0.042,0.693,0.264,0.065,0.591,1
0.105,0.864,0.03,0.071,0.853,1
0.62,0.303,0.077,0.087,0.718,1
0.174,0.743,0.084,0.369,0.57,1
0.129,0.074,0.798,0.313,0.232,2
0.023,0.701,0.276,0.001,0.066,2
0.312,0.572,0.116,0.174,0.788,2
0.361,0.545,0.094,0.208,0.648,1
0.784,0.195,0.021,0.301,0.609,1
0.9,0.053,0.046,0.911,0.086,0
0.102,0.526,0.372,0.544,0.424,0
0.265,0.665,0.071,0.323,0.399,0
0.82,0.012,0.167,0.245,0.415,0
0.599,0.196,0.205,0.966,0.033,0
0.951,0.009,0.04,0.563,0.388,0
0.76,0.017,0.223,0.552,0.34,0
0.236,0.67,0.094,0.519,0.436,0
0.158,0.81,0.032,0.93,0.068,0
0.314,0.395,0.292,0.035,0.425,0
0.078,0.119,0.804,0.191,0.537,0
0.454,0.49,0.056,0.158,0.802,0
0.462,0.38,0.158,0.425,0.543,0
0.57,0.368,0.061,0.399,0.529,0
0.539,0.263,0.198,0.163,0.515,0
0.079,0.904,0.017,0.974,0.026,0
0.938,0.004,0.058,0.906,0.09,0
0.475,0.426,0.099,0.872,0.121,0
0.882,0.117,0.001,0.893,0.104,0
0.95,0.005,0.045,0.467,0.457,0
