@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature33 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.027778,0,0,0,0,0,0,0,0.330198,0.349037,0.410187,0
0,0.00232,0,0,0,0,0,0,0,0.480331,0.520620,0.612526,0
0.003226,0.008602,0,0.001076,0.002153,0,0,0,0,0.716510,0.775442,0.922685,2
0,0.006536,0,0,0.006579,0,0,0,0,0.696578,0.749510,0.891070,2
0.00271,0.02439,0,0,0.005435,0.002717,0.005435,0,0,0.409946,0.434475,0.509948,1
0,0.018182,0,0,0,0,0,0,0,0.297268,0.314684,0.362719,0
0,0.005155,0,0.002584,0,0,0.002584,0,0,0.462319,0.496688,0.584327,0
0.007326,0.014652,0,0.002445,0.001222,0.003667,0.00489,0,0,0.610258,0.658837,0.781670,0
0,0,0,0,0,0,0,0,0,0.505888,0.542206,0.636515,0
0,0.008929,0,0,0.008969,0,0,0,0,0.217865,0.221161,0.245220,0
0,0,0,0,0,0,0,0,0,0.339152,0.360216,0.413198,0
0,0.015674,0,0.003145,0.006289,0,0.006289,0,0,0.470030,0.503815,0.591488,0
0,0.007634,0,0.001529,0.001529,0.004587,0.001529,0,0,0.752209,0.814286,0.969041,0
0,0.051282,0,0.012987,0.025974,0.012987,0.012987,0,0,0.562159,0.603841,0.712655,0
0,0.016556,0,0,0.006645,0.003322,0.003322,0,0,0.341569,0.359944,0.413314,0
0,0,0,0,0,0,0,0,0,0.206909,0.215167,0.239108,0
0,0.004367,0,0,0.004376,0.002188,0,0,0,0.558701,0.601385,0.712088,0
0,0.001164,0,0,0.003497,0.001166,0,0.001166,0,0.670044,0.723716,0.858682,1
0,0.020202,0,0,0.010204,0,0,0,0,0.607647,0.652218,0.771008,0
0,0.026616,0,0,0.007634,0.003817,0.01145,0,0,0.286135,0.295362,0.335257,0
0,0.033898,0,0,0.017241,0,0.017241,0,0,0.422292,0.449326,0.531496,0
0,0.026263,0,0.006073,0.01417,0.006073,0.008097,0,0,0.480791,0.514088,0.605220,0
0.002671,0.012467,0,0.000891,0.003565,0.001783,0.004456,0,0,0.727566,0.787237,0.936428,1
0,0.048193,0,0,0.02439,0.012195,0.02439,0,0,0.610674,0.648709,0.768902,0
0,0.003788,0,0,0,0,0,0,0,0.271232,0.277977,0.319775,0
0,0,0,0,0.013333,0,0,0,0,0.048217,0.056289,0.042903,2
0,0.005348,0,0,0.001786,0.001786,0,0,0,0.311956,0.335619,0.393445,2
0,0.001359,0,0,0,0.001361,0,0,0,0.693866,0.749891,0.891599,2
0,0.022989,0,0,0.011628,0,0,0,0,0.506841,0.535950,0.631857,0
0,0.010417,0,0.003484,0.003484,0.003484,0,0,0,0.244852,0.244640,0.271167,0
0,0.014286,0,0,0,0,0,0,0,0.430021,0.456604,0.536647,2
0,0.00692,0,0.001733,0.003466,0.003466,0.001733,0,0,0.500761,0.538534,0.637011,1
0,0,0,0,0,0,0,0,0,0.664087,0.718245,0.852664,1
0,0.030769,0,0,0.03125,0.015625,0.015625,0,0,0.484818,0.507221,0.596184,0
0,0.031802,0,0.007092,0.010638,0.003546,0.014184,0,0,0.254814,0.254236,0.287366,0
0,0,0,0,0.010309,0,0,0,0,0.356080,0.373866,0.433989,1
0,0.019337,0,0.00277,0.01108,0.00831,0,0,0,0.395745,0.422039,0.495440,0
0.008117,0.001623,0,0,0.001626,0,0,0,0,0.574074,0.619796,0.734412,0
0,0.011765,0,0,0.011905,0.011905,0,0,0,0.404343,0.422790,0.493325,0
0,0.015936,0,0,0,0.004,0.004,0,0,0.269753,0.277700,0.314247,0
0,0.020619,0,0,0,0,0,0,0,0.545009,0.586476,0.691503,0
0,0.014327,0,0,0.005747,0.005747,0,0,0,0.505366,0.540382,0.635984,0
0,0.004494,0,0,0,0.002252,0,0,0,0.767099,0.830047,0.987846,0
0,0,0,0,0,0,0,0,0,0.617755,0.667664,0.789181,0
0,0.042969,0,0.003922,0.003922,0,0.019608,0,0,0.243016,0.247411,0.276265,0
0,0,0,0,0,0,0,0,0,0.317337,0.333767,0.380985,0
0.00409,0.01227,0,0,0.006148,0.002049,0.002049,0,0,0.352808,0.375006,0.434105,0
0,0.002336,0,0,0.002342,0.002342,0,0,0,0.741729,0.801891,0.953270,0
0,0,0,0,0.023529,0,0,0,0,0.523974,0.555671,0.655972,0
0,0.020325,0,0,0.004082,0.008163,0,0,0,0.212240,0.211167,0.229920,0
