@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0,0,0,0,0,0.472798,0.499706,0.576972,0
9,0.00348,0.049884,0,0,0.001161,0,0.549798,0.588484,0.677434,0
9,0.006989,0.010753,0,0,0.003765,0,0.790417,0.845617,0.983915,2
9,0,0.003268,0,0,0.009836,0,0.772322,0.823409,0.957562,2
9,0.004065,0.042005,0,0.001357,0.020353,0,0.489659,0.515768,0.595052,1
9,0,0.073684,0,0,0.010638,0,0.388364,0.409290,0.467489,0
9,0.00313,0.018779,0,0,0.009404,0,0.537514,0.570129,0.656802,0
9,0,0.007628,0,0,0.00229,0,0.821086,0.879008,1.022094,0
9,0,0.006369,0,0,0.019231,0,0.618811,0.656925,0.761814,0
9,0,0.069421,0,0,0.006623,0,0.390709,0.409896,0.465657,0
9,0,0.06993,0,0,0,0,0.591486,0.631566,0.727790,0
9,0,0.047437,0,0,0.009188,0,0.617301,0.654836,0.758934,0
9,0,0.013793,0,0,0.001381,0,0.755338,0.807625,0.937602,0
9,0,0,0,0,0.0181,0,0.687260,0.729307,0.846671,0
9,0,0.084871,0,0,0.014787,0,0.272181,0.279786,0.308082,1
9,0,0.070513,0,0,0.012903,0,0.537481,0.565661,0.656071,1
9,0,0.072587,0,0,0.006182,0,0.600773,0.638532,0.738860,0
9,0.00414,0.005914,0,0,0.001775,0,0.759089,0.812664,0.943286,1
9,0,0,0,0,0.02439,0,0.649221,0.685778,0.796337,0
9,0,0.101083,0,0,0.012658,0,0.265450,0.270585,0.297906,0
9,0,0.13,0,0,0.010101,0,0.254197,0.266880,0.298541,0
9,0,0.063319,0,0,0.003279,0,0.623779,0.664347,0.770111,0
9,0,0.011059,0,0,0.003494,0,0.739272,0.789988,0.917163,1
9,0,0.01005,0,0,0.015152,0,0.679583,0.722725,0.838812,0
9,0,0.151803,0,0,0.013308,0,0.321560,0.333814,0.376131,0
9,0,0.134454,0,0,0.008475,0,0.486656,0.511704,0.593238,0
9,0,0.072654,0,0,0.010101,0,0.548936,0.581202,0.670769,0
