@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature841 numeric
@attribute bi_feature963 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.008333,0,0,0,0,0,0.538564,0.578584,0.650652,0
0.004175,0.010438,0,0,0.006964,0.002786,0,0.579606,0.629469,0.705296,0
0.008065,0.025161,0,0,0.01807,0.002581,0,0.821973,0.894514,1.013849,2
0,0.035225,0,0,0.02549,0,0,0.801953,0.870341,0.986615,2
0.004878,0.134959,0,0,0.106591,0.004068,0,0.525592,0.560105,0.631702,1
0,0.027174,0,0,0.016393,0.010929,0,0.405998,0.433379,0.480640,0
0.004637,0.047913,0,0,0.040217,0.008507,0,0.566637,0.611020,0.687814,0
0.016484,0.020513,0,0,0.014291,0.000366,0,0.716764,0.779311,0.880719,0
0,0.041199,0,0,0.026316,0.011278,0,0.609089,0.657854,0.740183,0
0.001337,0.078877,0,0,0.053548,0.013387,0,0.268896,0.277597,0.303957,0
0,0.09434,0,0,0.06962,0.031646,0,0.422998,0.448897,0.504240,0
0.003752,0.074109,0,0,0.065728,0.018779,0,0.571848,0.614726,0.691584,0
0,0.009153,0,0,0.00641,0.002289,0,0.850972,0.926863,1.049404,0
0,0.080153,0,0,0.057471,0.003831,0,0.650293,0.700753,0.792101,0
0,0.063429,0,0,0.050595,0.019841,0,0.420520,0.446333,0.496376,0
0,0.004202,0,0,0,0.016878,0,0.616584,0.667847,0.751342,0
0,0.109224,0,0,0.098255,0.004591,0,0.651350,0.699694,0.790228,0
0,0.011589,0,0,0.004971,0.002486,0,0.786361,0.854895,0.966338,0
0,0.102703,0,0,0.081301,0,0,0.716807,0.772381,0.875064,0
0,0.089602,0,0,0.062016,0.012182,0,0.297657,0.309476,0.335722,1
0,0.176923,0,0,0.158301,0.007722,0,0.572949,0.609265,0.690287,1
