@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.014,0.379,0.607,0.059,0.431,0.148,0.27,2
0.03,0.496,0.473,0.057,0.596,0.488,0.383,1
0.016,0.776,0.208,0.062,0.673,0.437,0.385,1
0.242,0.672,0.086,0.063,0.608,0.152,0.334,1
0.056,0.731,0.213,0.402,0.519,0.186,0.343,1
0.008,0.356,0.637,0.001,0.156,0.149,0.273,1
0.063,0.495,0.442,0.025,0.313,0.232,0.676,2
0.044,0.112,0.844,0.058,0.645,0.147,0.379,2
0.237,0.466,0.297,0.311,0.521,0.157,0.348,2
0.02,0.524,0.455,0.232,0.702,0.156,0.3,1
0.141,0.794,0.064,0.76,0.189,0.162,0.378,1
0.013,0.207,0.78,0.007,0.301,0.161,0.306,2
0.021,0.654,0.325,0.031,0.769,0.142,0.673,1
0.163,0.745,0.092,0.302,0.609,0.111,0.612,1
0.041,0.772,0.187,0.006,0.33,0.147,0.341,2
0.138,0.655,0.207,0.08,0.487,0.02,0.899,1
0.099,0.747,0.155,0.016,0.625,0.118,0.506,1
0.416,0.514,0.07,0.808,0.184,0.203,0.707,1
0.005,0.815,0.181,0.014,0.725,0.199,0.368,1
0.015,0.092,0.893,0.002,0.191,0.19,0.405,2
0.06,0.422,0.517,0.019,0.307,0.177,0.288,2
0.092,0.706,0.202,0.461,0.512,0.191,0.342,1
0.572,0.326,0.102,0.117,0.765,0.191,0.444,1
0.426,0.345,0.229,0.334,0.511,0.2,0.341,1
0.051,0.833,0.116,0.429,0.546,0.172,0.284,2
0.41,0.408,0.182,0.223,0.703,0.163,0.367,1
0.26,0.034,0.707,0.035,0.527,0.185,0.325,2
0.043,0.757,0.2,0.353,0.514,0.318,0.584,1
0.172,0.71,0.118,0.114,0.74,0.152,0.535,1
0.67,0.264,0.066,0.021,0.778,0.271,0.706,1
0.208,0.371,0.421,0.23,0.705,0.152,0.278,1
0.037,0.731,0.233,0.015,0.379,0.172,0.341,2
0.039,0.535,0.427,0.257,0.714,0.767,0.171,1
0.042,0.791,0.167,0.379,0.521,0.203,0.602,1
0.203,0.72,0.078,0.382,0.583,0.359,0.285,1
0.12,0.787,0.093,0.019,0.761,0.156,0.6,1
0.083,0.736,0.181,0.095,0.664,0.325,0.526,1
0.167,0.784,0.049,0.104,0.666,0.122,0.335,1
0.097,0.854,0.05,0.545,0.378,0.342,0.474,1
0.166,0.56,0.274,0.107,0.658,0.488,0.234,2
0.06,0.73,0.211,0.117,0.564,0.106,0.258,1
0.119,0.809,0.071,0.384,0.546,0.27,0.667,1
0.349,0.515,0.136,0.192,0.632,0.153,0.723,1
0.291,0.653,0.056,0.487,0.43,0.085,0.347,1
0.359,0.028,0.613,0.039,0.29,0.163,0.336,2
0.068,0.688,0.244,0.004,0.063,0.139,0.304,2
0.216,0.602,0.182,0.593,0.365,0.434,0.468,2
0.372,0.54,0.088,0.141,0.733,0.171,0.349,1
0.641,0.31,0.049,0.757,0.194,0.387,0.568,1
0.125,0.579,0.296,0.601,0.371,0.174,0.439,0
0.269,0.571,0.16,0.421,0.484,0.45,0.354,0
0.305,0.581,0.113,0.359,0.568,0.305,0.502,0
0.015,0.55,0.434,0.482,0.446,0.218,0.408,0
0.551,0.415,0.034,0.611,0.384,0.158,0.315,0
0.709,0.164,0.127,0.937,0.062,0.137,0.251,0
0.772,0.175,0.054,0.606,0.392,0.549,0.278,0
0.454,0.322,0.224,0.05,0.804,0.367,0.522,0
0.163,0.527,0.31,0.67,0.205,0.005,0.051,0
0.959,0.004,0.036,0.536,0.367,0.649,0.241,0
0.065,0.551,0.384,0.265,0.659,0.605,0.322,0
0.067,0.612,0.321,0.456,0.501,0.184,0.27,0
0.615,0.129,0.255,0.375,0.347,0.293,0.335,0
0.317,0.436,0.247,0.434,0.438,0.516,0.329,0
0.662,0.302,0.036,0.482,0.478,0.732,0.25,0
0.003,0.923,0.073,0.287,0.532,0.349,0.388,0
0.186,0.496,0.319,0.069,0.385,0.215,0.321,0
0.868,0.094,0.038,0.854,0.137,0.803,0.154,0
