@relation rabc_features-weka.filters.unsupervised.attribute.Remove-R1

@attribute psy_feature1 numeric
@attribute psy_feature2 numeric
@attribute psy_feature3 numeric
@attribute psy_feature4 numeric
@attribute psy_feature5 numeric
@attribute psy_feature6 numeric
@attribute psy_feature7 numeric
@attribute psy_feature8 numeric
@attribute psy_feature9 numeric
@attribute psy_feature10 numeric
@attribute psy_feature11 numeric
@attribute psy_feature12 numeric
@attribute psy_feature13 numeric
@attribute psy_feature14 numeric
@attribute psy_feature15 numeric
@attribute psy_feature16 numeric
@attribute psy_feature17 numeric
@attribute psy_feature18 numeric
@attribute joint_feature1 numeric
@attribute joint_feature2 numeric
@attribute class {0,1,2}

@data
2,0.258,0.89193,0.646854,2.593907,1.15855,-0.020359,0.987985,3.936262,0.299662,0.058169,0.208111,2.039164,0.074586,-0.043272,0.739304,3.205815,-0.311173,1.138029,0,0
7,0.668058,-0.155943,0.949045,4.498704,-0.298175,-0.035323,0.722466,4.109007,0.153392,-0.286676,0.177246,1.834656,-0.253453,-0.423774,0.424651,3.746667,-0.402073,0.91577,1,0
2,0.480737,0.011422,1.002206,4.491303,0.143255,0.808351,1.395671,8.770357,0.698818,0.545932,1.189447,3.183326,0.37893,0.445284,0.040403,0.867738,0.434748,0.975883,0,0
12,0.41218,-0.37783,1.268743,3.764708,-0.364794,0.386891,0.427182,4.345827,0.249111,0.152431,1.014889,5.728554,-0.211255,0.585096,0.360879,6.109507,0.575779,1.258997,0,0
8,0.093238,0.353406,0.975676,4.198062,0.154716,0.385095,0.506337,4.144403,0.209009,0.52884,0.773244,3.400503,0.207875,0.272588,0.472813,2.923894,0.203202,1.839558,1,1
2,0.275449,1.197869,0.32875,2.095023,1.240481,0.169464,1.092317,4.348279,0.438455,-0.453181,0.146703,1.803243,-0.649192,-0.688457,0.121175,2.151327,-0.738154,0.950254,0,0
7,0.679652,0.084986,0.38516,2.574422,0.055341,-0.811954,0.85444,5.221431,-0.7646,-0.911025,0.048689,2.323125,-0.935776,-1.449463,0.27777,4.366963,-1.355036,0.918549,0,0
2,0.557867,-0.232815,0.627256,4.094864,-0.306055,0.809407,1.298903,9.991234,0.935725,-0.498965,0.046096,1.137641,-0.529549,-0.18635,0.031359,1.19483,-0.167725,1.257042,2,2
8,0.348167,-0.255808,0.698848,4.251957,-0.248547,0.599276,1.172866,5.138786,0.786674,-0.518269,0.788285,6.812662,-0.604451,-0.623757,1.242832,6.806441,-0.264744,1.426305,3,2
7,0.146096,0.127097,1.591687,4.352923,0.385003,-0.555874,0.697785,4.13519,-0.687273,0.591775,2.369764,7.758543,0.089002,0.4953,0.307795,6.967091,0.40169,1.205369,0,2
2,0.382151,0.854873,0.537639,2.638,0.888558,-0.277477,0.795891,3.77945,-0.31284,0.677607,0.743926,4.66267,0.593375,0.491807,0.106783,2.446291,0.407211,0.994637,0,0
7,0.736222,0.009956,0.962057,4.445478,0.003151,-0.227174,0.557412,4.763555,-0.250882,0.057445,0.38879,3.60073,0.040644,0.331152,0.679413,3.695992,0.317421,1.002275,1,0
2,0.48227,0.03638,0.654568,4.433939,0.100736,0.340035,0.592148,5.490695,0.555186,-0.043516,0.292894,3.274704,0.011246,-0.144013,1.204713,3.742179,0.071633,1.152425,0,2
11,0.392641,-0.00104,0.965628,5.38112,-0.093432,0.385893,1.062563,4.516361,0.611451,-0.044267,1.378883,4.737869,0.222714,0.161859,1.214902,5.582357,0.373552,1.469719,1,1
9,0.183825,-0.60243,0.70419,3.762812,-0.940066,-0.838481,0.595427,3.752936,-1.051597,0.24424,1.050929,6.474843,0.154873,0.208376,0.880223,5.936489,-0.00116,0.99359,0,1
2,0.412747,1.09728,0.284694,2.927803,1.116517,0.177586,0.715505,3.511173,0.423014,0.217515,0.146695,1.629406,0.321725,0.141042,0.398727,2.185763,0.015935,0.749961,0,0
6,0.721283,0.154677,1.061912,4.589115,0.183944,-0.019329,0.747023,4.083154,0.134559,-0.097963,0.696894,3.916443,-0.263785,-0.382912,0.481169,3.376651,-0.432215,0.985947,1,0
3,0.565657,0.175963,0.994171,4.827151,0.086828,0.390419,1.38438,9.917293,0.539487,-0.342532,0.249408,2.062371,-0.367414,-0.161432,0.111443,1.873239,-0.167486,1.618299,0,1
8,0.427388,-0.008638,0.900931,4.05231,0.02672,0.278826,1.131921,5.545071,0.232606,-0.435191,1.032689,3.65886,-0.737823,-0.482677,1.674217,4.780534,-0.10944,0.919558,1,0
6,0.14434,0.024367,1.482349,4.063057,-0.015799,-0.278789,0.740639,4.440238,-0.399267,0.901334,1.820967,7.33064,0.355097,0.001278,0.542645,3.730723,0.203182,1.009138,0,0
2,0.387398,0.287437,1.017113,4.036506,0.375358,0.109823,1.155282,4.651916,0.145109,0.025922,0.238783,2.157126,-0.011004,-0.095174,0.169128,1.90862,0.01923,0.975291,0,0
7,0.696705,-0.123072,0.822972,3.97339,-0.171707,-0.241962,0.64802,4.47678,-0.214224,0.03003,0.322691,2.944603,0.104928,0.467938,0.590916,4.164966,0.549249,0.875123,0,0
2,0.340513,0.013547,1.180527,4.870147,-0.471247,0.517808,1.917266,11.381753,0.611245,-0.813448,0.049992,1.337569,-0.846817,-0.063584,0.239492,2.037945,-0.072634,1.593779,0,0
8,0.385429,-0.056102,0.923391,4.162634,-0.238569,0.086128,0.845559,6.613522,0.036242,-0.243342,1.066866,4.245354,-0.387119,-0.195036,0.78248,4.707634,-0.205857,0.888584,0,0
3,0.086869,0.307867,0.667549,3.268091,0.255279,-0.118312,0.847352,4.464629,-0.261149,0.012804,0.390977,3.464369,0.015153,-0.796061,1.751431,8.553085,-0.328277,0.729113,0,0
1,0.261878,-0.23608,0.521864,2.913419,-0.46259,0.517089,0.774337,4.141141,0.654533,-0.564407,0.087758,1.29693,-0.639202,-0.163514,0.235032,2.139417,-0.125007,1.029916,0,0
7,0.726848,0.008568,1.123675,4.193045,-0.23811,-0.189139,0.878241,5.6931,-0.344348,0.371667,1.017549,8.326383,0.131181,0.340122,0.935429,7.861441,0.507391,0.892841,0,0
2,0.509915,0.077831,0.728022,3.901367,0.026625,0.040381,1.899567,11.331306,0.126273,0.066024,0.127262,1.748821,-0.039258,0.119193,0.293357,1.869458,0.311241,1.15406,0,0
14,0.539812,-0.292841,0.803326,3.400645,-0.394718,-0.031855,0.96668,5.501151,-0.044659,0.042589,1.735619,13.853529,-0.082004,-0.006283,1.44407,15.541604,0.119228,1.24351,1,0
4,0.119048,0.309557,1.307886,3.462795,0.190525,0.013188,0.955214,4.417307,-0.048502,-0.07117,0.740945,4.820887,-0.202385,-0.140069,0.368575,4.712312,-0.219534,0.701127,0,0
2,0.377163,0.992999,0.613981,3.147476,1.243182,0.473762,1.242874,4.426832,0.615991,-0.373699,0.156338,1.55332,-0.413287,-0.77848,0.458562,3.028137,-0.895342,0.986671,0,0
6,0.721119,0.148549,0.971653,3.393658,0.23785,-0.050757,0.789429,6.303151,-0.135163,0.01368,0.266547,2.979659,-0.063146,0.176238,0.599524,3.628855,0.337767,0.857058,0,0
2,0.532399,0.268802,0.702459,4.657121,0.412299,0.034983,1.004745,6.206593,0.323318,-0.266402,0.333814,2.567907,-0.155269,-0.296734,0.523485,2.869011,-0.119693,0.933383,0,0
8,0.352749,0.073706,1.010864,4.515958,-0.017962,0.222899,1.313821,4.943037,0.480606,0.234858,1.97567,7.394462,0.23077,0.267203,1.57793,5.258959,0.541063,1.011209,0,0
7,0.137686,-0.551595,0.91049,3.946242,-0.917993,-0.677561,0.779567,3.980183,-0.784594,-0.141245,0.295523,2.589235,-0.346156,0.35154,0.704358,4.230547,0.178654,1.012739,0,0
2,0.287929,1.116552,0.455915,2.248583,1.233513,-0.095369,0.899234,3.717032,0.091054,0.330594,0.325725,2.322633,0.316616,0.279099,0.244506,2.277442,0.064196,1.02764,0,0
7,0.643134,-0.001155,0.852484,3.992876,-0.097544,0.130348,0.66315,4.27527,0.222261,-0.11664,0.66269,3.472219,-0.376015,-0.278865,0.680858,3.561859,-0.372647,1.166252,0,0
