@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.008333,0,0,0,0.536336,0.565471,0.650652,0
0.004175,0.010438,0,0,0,0.576951,0.614917,0.705296,0
0.008065,0.025161,0,0,0,0.817912,0.872462,1.013849,2
0,0.035225,0,0,0,0.798075,0.849031,0.986615,2
0.004878,0.134959,0,0,0,0.523199,0.547957,0.631702,1
0,0.027174,0,0,0,0.404168,0.424714,0.480640,0
0.004637,0.047913,0,0,0,0.564033,0.597243,0.687814,0
0.016484,0.020513,0,0,0,0.713305,0.760326,0.880719,0
0,0.041199,0,0,0,0.606185,0.642642,0.740183,0
0.001337,0.078877,0,0,0,0.267978,0.273621,0.303957,0
0,0.09434,0,0,0,0.421135,0.440073,0.504240,0
0.003752,0.074109,0,0,0,0.569150,0.600832,0.691584,0
0,0.009153,0,0,0,0.846744,0.903939,1.049404,0
0,0.080153,0,0,0,0.647240,0.684299,0.792101,0
0,0.063429,0,0,0,0.418668,0.437441,0.496376,0
0.005952,0.029762,0,0,0,0.278049,0.290819,0.327153,0
0,0.048461,0,0,0,0.652530,0.692132,0.800654,0
0.001048,0.026895,0,0,0,0.765117,0.814878,0.944564,1
0,0.066066,0,0,0,0.705653,0.747889,0.867129,0
0,0.07631,0,0,0,0.343999,0.356109,0.401708,0
0,0.171717,0,0,0,0.515125,0.537004,0.621843,0
0,0.108959,0,0,0,0.577904,0.608231,0.701372,0
0.007475,0.023492,0,0,0,0.819317,0.874120,1.015345,1
0,0.129496,0,0,0,0.697259,0.734954,0.852834,0
0,0.014756,0,0,0,0.353323,0.365816,0.405888,0
0.035156,0.039062,0,0,0,0.069718,0.079228,0.071678,2
0.020833,0.068376,0,0,0,0.404448,0.427218,0.489288,2
0.00163,0.012225,0,0,0,0.789336,0.841539,0.975392,2
0,0.072165,0,0,0,0.603497,0.635065,0.734769,0
0,0.044745,0,0,0,0.291963,0.299573,0.332096,0
