@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.008333,0,0,0,0.541230,0.567835,0.650652,0
0.004175,0.010438,0,0.000696,0,0.582552,0.617819,0.705296,0
0.008065,0.025161,0,0.004195,0,0.826360,0.876626,1.013849,2
0,0.035225,0,0.009804,0,0.806166,0.853065,0.986615,2
0.004878,0.134959,0,0.017087,0,0.528036,0.551027,0.631702,1
0,0.027174,0,0,0,0.407936,0.427139,0.480640,0
0.004637,0.047913,0,0.003094,0,0.569487,0.600201,0.687814,0
0.016484,0.020513,0,0.004031,0,0.720519,0.763849,0.880719,0
0,0.041199,0,0.011278,0,0.612183,0.645911,0.740183,0
0.001337,0.078877,0,0.016064,0,0.269896,0.275365,0.303957,0
0,0.09434,0,0.006329,0,0.425007,0.442465,0.504240,0
0.003752,0.074109,0,0.005634,0,0.574658,0.603980,0.691584,0
0,0.009153,0,0.002289,0,0.855534,0.908278,1.049404,0
0,0.080153,0,0.019157,0,0.653532,0.687656,0.792101,0
0,0.063429,0,0.010913,0,0.422430,0.439967,0.496376,0
0,0.004202,0,0,0,0.619844,0.655847,0.751342,0
0,0.109224,0,0.005969,0,0.654563,0.687461,0.790228,0
0,0.011589,0,0.002486,0,0.790531,0.838132,0.966338,0
0,0.102703,0,0.01626,0,0.720385,0.757839,0.875064,0
0,0.089602,0,0.023256,0,0.298727,0.306784,0.335722,1
0,0.176923,0,0.007722,0,0.575623,0.599609,0.690287,1
0,0.078777,0,0.003709,0,0.639700,0.673110,0.772267,0
0.00674,0.00674,0,0.001065,0,0.795045,0.844107,0.973406,1
0,0.170909,0,0.021898,0,0.684526,0.716469,0.826962,0
0,0.084416,0,0.03467,0,0.287206,0.293957,0.323457,0
0.005952,0.029762,0,0.005988,0,0.280567,0.292429,0.327153,0
0,0.048461,0,0.004587,0,0.658942,0.695509,0.800654,0
