@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0.333156,0.345747,0.410187,0
0,0,0,0,0,0,0.485101,0.515389,0.612526,0
0.003226,0,0.001076,0,0,0,0.723976,0.767017,0.922685,2
0,0,0,0,0,0,0.703717,0.741577,0.891070,2
0.00271,0,0,0.002717,0,0,0.413676,0.430647,0.509948,1
0,0,0,0,0,0,0.299780,0.312482,0.362719,0
0,0,0.002584,0,0,0,0.466779,0.491916,0.584327,0
0.007326,0,0.002445,0.003667,0,0,0.616508,0.651823,0.781670,0
0,0,0,0,0,0,0.510686,0.536942,0.636515,0
0,0,0,0,0,0,0.218966,0.220271,0.245220,0
0,0,0,0,0,0,0.341831,0.357322,0.413198,0
0,0,0.003145,0,0,0,0.474472,0.499047,0.591488,0
0,0,0.001529,0.004587,0,0,0.760103,0.805517,0.969041,0
0,0,0.012987,0.012987,0,0,0.567562,0.597518,0.712655,0
0,0,0,0.003322,0,0,0.344298,0.357382,0.413314,0
0,0,0,0,0,0,0.531296,0.560738,0.663913,0
0,0,0.003067,0,0,0,0.561576,0.590930,0.707446,0
0,0,0.00277,0.00277,0,0,0.690937,0.731033,0.878384,0
0,0,0,0.009091,0,0,0.635711,0.665407,0.796190,0
0,0,0.003704,0.007407,0,0,0.239957,0.242326,0.270743,1
0,0,0,0,0,0,0.477282,0.497856,0.593153,1
0,0,0.003096,0.003096,0,0,0.535277,0.564364,0.674440,0
0,0,0,0,0,0,0.696095,0.737674,0.885607,1
0,0,0.012346,0.012346,0,0,0.592205,0.616593,0.738020,0
0,0,0.007246,0.01087,0,0,0.233237,0.230816,0.255736,0
0,0,0,0,0,0,0.208175,0.214222,0.239108,0
0,0,0,0.002188,0,0,0.564287,0.595261,0.712088,0
0,0,0,0.001166,0.001166,0,0.676902,0.716072,0.858682,1
0,0,0,0,0,0,0.613596,0.645484,0.771008,0
0,0,0,0.003817,0,0,0.288130,0.293849,0.335257,0
0,0,0,0,0,0,0.426313,0.445416,0.531496,0
0,0,0.006073,0.006073,0,0,0.485424,0.509522,0.605220,0
0.002671,0,0.000891,0.001783,0,0,0.735163,0.778747,0.936428,1
0,0,0,0.012195,0,0,0.616657,0.642411,0.768902,0
0,0,0,0,0,0,0.273389,0.276848,0.319775,0
0,0,0,0,0,0,0.047844,0.056114,0.042903,2
0,0,0,0.001786,0,0,0.314866,0.332470,0.393445,2
0,0,0,0.001361,0,0,0.701082,0.741917,0.891599,2
0,0,0,0,0,0,0.511559,0.530857,0.631857,0
0,0,0.003484,0.003484,0,0,0.246154,0.243965,0.271167,0
