@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.252,0.718,0.029,0.065,0.805,0.201,0.407,0
0.014,0.34,0.645,0.063,0.384,0.149,0.315,2
0.022,0.509,0.468,0.068,0.543,0.383,0.482,1
0.109,0.824,0.067,0.983,0.017,0.248,0.466,0
0.639,0.191,0.171,0.107,0.48,0.222,0.409,0
0.073,0.233,0.695,0.055,0.539,0.184,0.33,0
0.439,0.322,0.239,0.936,0.061,0.25,0.387,0
0.71,0.237,0.053,0.937,0.058,0.392,0.417,0
0.707,0.14,0.153,0.604,0.354,0.289,0.372,0
0.626,0.293,0.08,0.044,0.201,0.14,0.325,0
0.158,0.675,0.168,0.068,0.632,0.462,0.363,1
0.339,0.574,0.087,0.057,0.596,0.147,0.337,1
0.439,0.148,0.413,0.256,0.472,0.435,0.383,0
0.795,0.114,0.09,0.946,0.052,0.402,0.407,0
0.149,0.438,0.413,0.206,0.483,0.203,0.386,0
0.025,0.763,0.212,0.554,0.372,0.171,0.35,1
0.638,0.225,0.137,0.325,0.637,0.423,0.375,0
0.02,0.36,0.621,0.001,0.162,0.148,0.317,1
0.135,0.384,0.481,0.051,0.237,0.38,0.425,2
0.054,0.069,0.877,0.025,0.688,0.244,0.443,2
0.213,0.463,0.324,0.14,0.526,0.147,0.343,2
0.506,0.433,0.061,0.734,0.24,0.403,0.402,0
0.017,0.475,0.508,0.112,0.775,0.214,0.404,1
0.278,0.693,0.029,0.817,0.142,0.152,0.357,1
0.71,0.14,0.149,0.409,0.492,0.545,0.305,0
0.571,0.311,0.118,0.335,0.521,0.284,0.397,0
0.353,0.375,0.272,0.195,0.536,0.158,0.33,0
0.438,0.192,0.371,0.344,0.627,0.503,0.287,0
0.079,0.708,0.213,0.355,0.568,0.334,0.422,0
0.104,0.055,0.841,0.472,0.378,0.312,0.394,0
0.731,0.209,0.06,0.246,0.571,0.547,0.311,0
0.51,0.264,0.226,0.75,0.113,0.707,0.194,0
0.145,0.548,0.306,0.546,0.296,0.228,0.376,0
0.269,0.695,0.036,0.406,0.422,0.149,0.344,0
0.026,0.234,0.739,0.012,0.304,0.154,0.334,2
0.04,0.563,0.396,0.003,0.79,0.231,0.399,1
0.153,0.011,0.837,0.853,0.128,0.19,0.329,0
0.449,0.457,0.094,0.728,0.267,0.311,0.488,0
0.609,0.266,0.124,0.885,0.07,0.074,0.169,0
0.254,0.691,0.055,0.1,0.854,0.178,0.611,1
0.009,0.764,0.227,0.004,0.417,0.159,0.33,2
0.395,0.332,0.273,0.464,0.503,0.231,0.352,0
0.505,0.356,0.139,0.13,0.815,0.594,0.287,0
0.2,0.561,0.24,0.079,0.47,0.041,0.864,1
0.274,0.717,0.009,0.362,0.612,0.203,0.358,0
0.085,0.755,0.16,0.024,0.627,0.137,0.384,1
0.858,0.052,0.09,0.744,0.239,0.35,0.32,0
0.662,0.303,0.035,0.745,0.247,0.333,0.442,1
0.025,0.162,0.813,0,0.063,0.237,0.344,0
0.464,0.521,0.015,0.592,0.377,0.143,0.339,0
0.708,0.023,0.27,0.135,0.526,0.334,0.374,0
0.511,0.32,0.169,0.554,0.427,0.457,0.357,0
0.358,0.599,0.043,0.479,0.374,0.482,0.331,0
0.21,0.701,0.089,0.185,0.498,0.149,0.321,0
0.712,0.068,0.22,0.739,0.252,0.251,0.388,0
0.693,0.207,0.1,0.545,0.416,0.381,0.413,0
0.219,0.719,0.062,0.965,0.033,0.679,0.208,0
0.863,0.064,0.073,0.865,0.126,0.278,0.41,0
0.58,0.144,0.276,0.389,0.312,0.13,0.321,0
0.291,0.599,0.11,0.126,0.811,0.23,0.433,0
0.004,0.797,0.199,0.011,0.743,0.173,0.347,1
0.007,0.066,0.927,0.001,0.224,0.275,0.374,2
0.414,0.524,0.062,0.778,0.215,0.648,0.246,0
0.611,0.125,0.264,0.264,0.708,0.302,0.386,0
0.256,0.729,0.015,0.369,0.56,0.152,0.321,0
0.951,0.015,0.034,0.783,0.095,0.653,0.127,0
0.529,0.312,0.158,0.293,0.682,0.435,0.353,0
0.216,0.693,0.092,0.968,0.016,0.361,0.361,0
0.215,0.491,0.294,0.04,0.562,0.186,0.369,0
0.137,0.8,0.063,0.066,0.217,0.544,0.318,0
0.539,0.214,0.247,0.153,0.518,0.261,0.371,0
0.765,0.213,0.022,0.288,0.512,0.135,0.32,0
0.463,0.151,0.386,0.21,0.559,0.289,0.341,0
0.672,0.147,0.181,0.327,0.569,0.582,0.274,0
0.038,0.329,0.633,0.028,0.28,0.24,0.312,2
0.826,0.152,0.022,0.349,0.603,0.322,0.409,0
0.139,0.854,0.007,0.842,0.157,0.123,0.326,0
0.621,0.023,0.355,0.663,0.313,0.6,0.226,0
0.813,0.169,0.018,0.874,0.103,0.32,0.507,0
0.382,0.576,0.042,0.853,0.14,0.26,0.381,0
0.202,0.751,0.047,0.174,0.753,0.161,0.355,0
0.927,0.015,0.058,0.88,0.107,0.456,0.27,0
0.374,0.505,0.121,0.279,0.681,0.228,0.399,1
0.234,0.543,0.223,0.119,0.759,0.181,0.365,1
0.908,0.047,0.045,0.478,0.417,0.6,0.204,0
0.415,0.567,0.018,0.47,0.526,0.328,0.438,0
0.046,0.86,0.094,0.655,0.32,0.405,0.306,0
0.151,0.563,0.287,0.237,0.747,0.24,0.431,0
0.75,0.249,0.001,0.827,0.17,0.134,0.324,0
0.846,0.102,0.052,0.916,0.08,0.652,0.203,0
0.698,0.223,0.079,0.547,0.363,0.48,0.363,0
0.41,0.36,0.23,0.345,0.485,0.23,0.381,1
0.048,0.808,0.145,0.121,0.854,0.154,0.322,2
0.23,0.546,0.224,0.22,0.654,0.243,0.446,1
0.141,0.825,0.034,0.083,0.697,0.141,0.336,0
0.208,0.719,0.073,0.183,0.335,0.141,0.272,0
0.26,0.223,0.517,0.027,0.522,0.211,0.395,0
0.04,0.025,0.935,0.047,0.485,0.166,0.331,2
0.536,0.41,0.055,0.447,0.527,0.398,0.386,0
0.617,0.362,0.02,0.196,0.591,0.232,0.436,0
0.056,0.838,0.106,0.478,0.468,0.661,0.239,0
0.342,0.534,0.124,0.833,0.153,0.167,0.347,0
0.85,0.013,0.137,0.245,0.377,0.721,0.156,0
0.686,0.247,0.067,0.921,0.075,0.641,0.254,0
0.102,0.074,0.824,0.135,0.661,0.172,0.393,0
0.137,0.659,0.204,0.37,0.474,0.359,0.421,1
0.653,0.163,0.185,0.916,0.082,0.266,0.431,0
0.239,0.625,0.136,0.069,0.812,0.155,0.524,1
0.578,0.064,0.358,0.696,0.271,0.461,0.315,0
0.125,0.729,0.145,0.054,0.623,0.427,0.429,1
0.707,0.258,0.035,0.697,0.298,0.263,0.397,0
0.17,0.753,0.077,0.161,0.763,0.158,0.331,0
0.842,0.047,0.111,0.797,0.191,0.376,0.367,0
0.703,0.111,0.186,0.223,0.366,0.281,0.366,0
0.088,0.743,0.169,0.452,0.435,0.163,0.342,0
0.469,0.37,0.161,0.692,0.242,0.529,0.316,0
0.436,0.378,0.186,0.318,0.5,0.148,0.537,0
0.546,0.257,0.197,0.882,0.115,0.5,0.336,0
0.337,0.411,0.252,0.964,0.035,0.553,0.274,0
