@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute mono_feature33 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.00534,0.010236,0.004005,0,0,0.003562,0.006233,0,0.801680,0.870159,0.990842,1
9,0,0.027027,0,0,0,0.018182,0.018182,0,0.423060,0.446234,0.502237,1
9,0,0.011905,0.005952,0,0,0.011928,0.001988,0,0.206832,0.212801,0.226886,1
9,0,0.057627,0.001695,0,0,0.013582,0.040747,0,0.310573,0.322459,0.354063,1
9,0,0.058901,0,0,0,0.003932,0.044561,0,0.569712,0.614570,0.693345,1
9,0,0.123478,0.001739,0,0,0.013937,0.083624,0,0.315013,0.333032,0.365723,1
9,0.035928,0.005988,0,0,0,0.006024,0,0,0.328519,0.351467,0.393290,1
9,0,0.020833,0,0,0,0,0.006993,0,0.530859,0.571509,0.645264,1
9,0.007042,0.001761,0.001761,0,0,0.002643,0,0,0.649468,0.704620,0.801737,1
9,0,0.111675,0,0,0,0.010204,0.081633,0,0.413347,0.438357,0.493710,1
9,0,0.21875,0,0,0,0,0.181102,0,0.476277,0.514118,0.579573,1
9,0.013158,0.003947,0.001316,0,0.001317,0.003292,0.001317,0,0.642253,0.697005,0.792148,1
9,0.005222,0.049608,0.003916,0,0,0.005229,0.035294,0,0.575552,0.620543,0.703240,1
9,0.035813,0.00551,0.00551,0,0,0.001838,0.000919,0.000919,0.649553,0.705147,0.801527,1
9,0.02268,0.028866,0.002062,0,0,0.004132,0.022727,0,0.133139,0.141118,0.145705,1
9,0.02607,0.002674,0.000668,0,0,0.002676,0.002007,0,0.763261,0.828951,0.944003,1
9,0,0.043796,0,0,0,0.014706,0.014706,0,0.471535,0.503902,0.565571,1
