@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute mono_feature33 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0.154412,0,0,0,0,0.125926,0,0.362374,0.387149,0.435407,0
9,0,0.044248,0,0,0,0,0.028369,0,0.538161,0.579753,0.654188,0
9,0.001966,0.010319,0.001474,0,0,0.00295,0.0059,0,0.780696,0.847468,0.964459,2
9,0,0.011299,0.011299,0,0,0.022727,0.005682,0,0.633947,0.680097,0.772802,0
9,0,0.186747,0.002008,0,0,0.016097,0.150905,0,0.305554,0.321794,0.357303,0
9,0,0.094488,0,0,0,0.007937,0.063492,0,0.469667,0.505156,0.564850,0
9,0,0.081335,0.003128,0,0,0.007307,0.066806,0,0.568750,0.611536,0.693750,0
9,0.040695,0.005487,0,0,0,0.001372,0.003202,0,0.276966,0.302390,0.337944,1
9,0.106742,0,0,0,0,0,0,0,0.030161,0.033520,0.030063,0
9,0.021452,0.009901,0,0,0,0,0.006612,0,0.041846,0.047340,0.043164,0
9,0.175573,0.114504,0.007634,0,0,0,0.076923,0,0.093323,0.097872,0.100441,0
9,0.047927,0.047927,0,0,0.001297,0.003891,0.029831,0,0.351523,0.377302,0.424280,1
9,0.016473,0.010659,0.001453,0,0,0.002908,0.004363,0,0.684794,0.743707,0.845452,2
9,0.030303,0.036364,0.006061,0,0,0.006098,0.018293,0,0.470338,0.506917,0.573420,0
9,0.005979,0.068759,0.00299,0,0,0.022455,0.053892,0,0.164962,0.169747,0.179502,0
9,0.08982,0.02994,0,0.006024,0,0,0.012048,0,0.209956,0.224331,0.244201,1
9,0.057971,0.035427,0,0,0,0.001613,0.022581,0,0.288135,0.311981,0.347374,0
9,0.029375,0.0075,0.000625,0.000625,0,0.001251,0.005629,0,0.621159,0.674744,0.766123,1
9,0,0,0.005556,0,0,0.01676,0,0,0.620638,0.668883,0.758311,0
