@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.007,0.371,0.622,0.034,0.416,2
0.071,0.481,0.448,0.097,0.63,1
0.122,0.71,0.168,0.654,0.204,1
0.125,0.747,0.127,0.07,0.606,1
0.011,0.798,0.191,0.189,0.653,1
0.003,0.355,0.641,0.001,0.182,1
0.191,0.302,0.507,0.099,0.213,2
0.103,0.079,0.817,0.02,0.713,2
0.035,0.605,0.36,0.147,0.531,2
0.014,0.536,0.45,0.087,0.824,1
0.114,0.817,0.069,0.641,0.282,1
0.024,0.212,0.764,0.008,0.323,2
0.013,0.57,0.417,0.01,0.76,1
0.222,0.678,0.099,0.149,0.825,1
0.008,0.796,0.196,0.001,0.411,2
0.214,0.509,0.277,0.149,0.349,1
0.035,0.824,0.141,0.009,0.614,1
0.593,0.35,0.057,0.622,0.357,1
0.01,0.807,0.183,0.003,0.694,1
0.004,0.099,0.896,0.001,0.311,2
0.089,0.301,0.609,0.009,0.277,2
0.173,0.662,0.165,0.238,0.714,1
0.174,0.657,0.17,0.145,0.784,1
0.685,0.19,0.125,0.528,0.344,1
0.028,0.858,0.113,0.371,0.592,2
0.284,0.516,0.201,0.185,0.679,1
0.018,0.036,0.946,0.11,0.425,2
0.778,0.101,0.121,0.229,0.691,1
0.017,0.726,0.257,0.006,0.482,2
0.122,0.532,0.346,0.143,0.784,1
0.153,0.707,0.139,0.14,0.626,1
0.459,0.486,0.054,0.205,0.757,1
0.043,0.817,0.141,0.012,0.782,1
0.127,0.704,0.169,0.082,0.662,1
0.101,0.819,0.081,0.471,0.392,1
0.282,0.689,0.028,0.396,0.553,1
0.41,0.444,0.146,0.698,0.201,2
0.035,0.739,0.226,0.188,0.586,1
0.135,0.802,0.062,0.11,0.827,1
0.548,0.353,0.099,0.209,0.668,1
0.167,0.716,0.117,0.512,0.419,1
0.309,0.061,0.63,0.263,0.188,2
0.02,0.713,0.267,0.03,0.043,2
0.319,0.52,0.161,0.297,0.649,2
0.138,0.72,0.142,0.228,0.693,1
0.712,0.256,0.032,0.621,0.319,1
0.884,0.058,0.057,0.457,0.369,0
0.182,0.314,0.503,0.012,0.574,0
0.142,0.7,0.158,0.496,0.434,0
0.085,0.843,0.072,0.021,0.77,0
0.948,0.019,0.033,0.927,0.065,0
0.403,0.53,0.068,0.617,0.244,0
0.351,0.464,0.185,0.702,0.245,0
0.117,0.856,0.027,0.701,0.283,0
0.475,0.451,0.074,0.512,0.449,0
0.649,0.161,0.19,0.701,0.235,0
0.252,0.542,0.206,0.528,0.326,0
0.925,0.032,0.043,0.394,0.564,0
0.561,0.19,0.249,0.043,0.591,0
0.656,0.263,0.08,0.129,0.279,0
0.876,0.064,0.06,0.812,0.15,0
0.369,0.557,0.075,0.498,0.455,0
0.375,0.553,0.072,0.825,0.164,0
0.489,0.197,0.314,0.766,0.147,0
0.728,0.168,0.105,0.736,0.228,0
0.448,0.524,0.028,0.737,0.235,0
