@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0,0,0.334861,0.349432,0.410187,0
0,0,0,0,0,0,0,0,0.487318,0.520657,0.612526,0
0.003226,0,0.001076,0.002153,0,0,0,0,0.727995,0.775311,0.922685,2
0,0,0,0.006579,0,0,0,0,0.707563,0.749632,0.891070,2
0.00271,0,0,0.005435,0.002717,0.005435,0,0,0.415820,0.435057,0.509948,1
0,0,0,0,0,0,0,0,0.301366,0.315408,0.362719,0
0,0,0.002584,0,0,0.002584,0,0,0.469165,0.496967,0.584327,0
0.007326,0,0.002445,0.001222,0.003667,0.00489,0,0,0.619837,0.658777,0.781670,0
0,0,0,0,0,0,0,0,0.513430,0.542468,0.636515,0
0,0,0,0.008969,0,0,0,0,0.219852,0.222088,0.245220,0
0,0,0,0,0,0,0,0,0.343654,0.360671,0.413198,0
0,0,0.003145,0.006289,0,0.006289,0,0,0.477062,0.504154,0.591488,0
0,0,0.001529,0.001529,0.004587,0.001529,0,0,0.764335,0.814251,0.969041,0
0,0,0.012987,0.025974,0.012987,0.012987,0,0,0.570645,0.603803,0.712655,0
0,0,0,0.006645,0.003322,0.003322,0,0,0.346124,0.360775,0.413314,0
0,0,0,0,0,0,0,0,0.534258,0.566498,0.663913,0
0,0,0.003067,0.009202,0,0.003067,0,0,0.564674,0.597190,0.707446,0
0,0,0.00277,0,0.00277,0.00277,0,0,0.694746,0.738921,0.878384,0
0,0,0,0.018182,0.009091,0.009091,0,0,0.639116,0.672566,0.796190,0
0,0,0.003704,0.003704,0.007407,0.007407,0,0,0.240856,0.244395,0.270743,1
0,0,0,0.025974,0,0,0,0,0.479856,0.503029,0.593153,1
0,0,0.003096,0.004644,0.003096,0.001548,0,0,0.538248,0.570301,0.674440,0
0,0,0,0.001185,0,0,0,0,0.699920,0.745596,0.885607,1
0,0,0.012346,0.024691,0.012346,0.024691,0,0,0.595348,0.623245,0.738020,0
0,0,0.007246,0.007246,0.01087,0.007246,0,0,0.234265,0.232779,0.255736,0
0,0,0,0,0,0,0,0,0.209197,0.215881,0.239108,0
0,0,0,0.004376,0.002188,0,0,0,0.567223,0.601563,0.712088,0
0,0,0,0.003497,0.001166,0,0.001166,0,0.680622,0.723746,0.858682,1
0,0,0,0.010204,0,0,0,0,0.616926,0.652335,0.771008,0
0,0,0,0.007634,0.003817,0.01145,0,0,0.289523,0.296535,0.335257,0
0,0,0,0.017241,0,0.017241,0,0,0.428630,0.450007,0.531496,0
0,0,0.006073,0.01417,0.006073,0.008097,0,0,0.488101,0.514788,0.605220,0
0.002671,0,0.000891,0.003565,0.001783,0.004456,0,0,0.739217,0.787161,0.936428,1
0,0,0,0.02439,0.012195,0.02439,0,0,0.619940,0.649362,0.768902,0
0,0,0,0,0,0,0,0,0.274665,0.279558,0.319775,0
0,0,0,0.013333,0,0,0,0,0.046072,0.055703,0.042903,2
0,0,0,0.001786,0.001786,0,0,0,0.316331,0.335674,0.393445,2
0,0,0,0,0.001361,0,0,0,0.704949,0.749941,0.891599,2
0,0,0,0.011628,0,0,0,0,0.514220,0.536496,0.631857,0
0,0,0.003484,0.003484,0.003484,0,0,0,0.247200,0.246085,0.271167,0
0,0,0,0,0,0,0,0,0.436416,0.457593,0.536647,2
0,0,0.001733,0.003466,0.003466,0.001733,0,0,0.508400,0.538954,0.637011,1
0,0,0,0,0,0,0,0,0.674721,0.718469,0.852664,1
0,0,0,0.03125,0.015625,0.015625,0,0,0.491618,0.508109,0.596184,0
0,0,0.007092,0.010638,0.003546,0.014184,0,0,0.257566,0.256115,0.287366,0
0,0,0,0.010309,0,0,0,0,0.360807,0.374569,0.433989,1
0,0,0.00277,0.01108,0.00831,0,0,0,0.401509,0.422497,0.495440,0
0.008117,0,0,0.001626,0,0,0,0,0.583071,0.619728,0.734412,0
0,0,0,0.011905,0.011905,0,0,0,0.409857,0.423491,0.493325,0
0,0,0,0,0.004,0.004,0,0,0.272893,0.278678,0.314247,0
0,0,0,0,0,0,0,0,0.553219,0.586437,0.691503,0
0,0,0,0.005747,0.005747,0,0,0,0.512982,0.540951,0.635984,0
0,0,0,0,0.002252,0,0,0,0.779427,0.829983,0.987846,0
0,0,0,0,0,0,0,0,0.627393,0.667692,0.789181,0
0,0,0.003922,0.003922,0,0.019608,0,0,0.245661,0.248668,0.276265,0
0,0,0,0,0,0,0,0,0.321149,0.333900,0.380985,0
0.00409,0,0,0.006148,0.002049,0.002049,0,0,0.357687,0.375641,0.434105,0
0,0,0,0.002342,0.002342,0,0,0,0.753577,0.801864,0.953270,0
0,0,0,0.023529,0,0,0,0,0.531681,0.556253,0.655972,0
0,0,0,0.004082,0.008163,0,0,0,0.213954,0.212096,0.229920,0
0,0,0,0.053571,0,0,0,0,0.296430,0.303535,0.348118,0
0.007538,0,0,0.005038,0.002519,0,0,0,0.469412,0.496906,0.587839,0
0,0,0.001621,0,0.003241,0,0,0,0.708934,0.755202,0.896968,0
0,0,0,0.011236,0.022472,0,0,0,0.603012,0.628094,0.741299,0
0,0,0,0.011976,0,0.002994,0,0,0.329102,0.337570,0.388175,0
0,0,0,0,0,0,0,0,0.307214,0.321441,0.373502,0
0,0,0,0,0,0,0,0,0.465916,0.492765,0.579972,0
0,0,0,0.001969,0.000984,0.001969,0,0,0.713175,0.759682,0.903723,2
0,0,0.011494,0.022989,0,0,0,0,0.575090,0.600919,0.710228,0
0,0,0.004032,0.008065,0,0.004032,0,0,0.253460,0.261020,0.298510,0
0,0,0,0.016129,0,0,0,0,0.417095,0.438544,0.507491,0
0,0,0.002092,0.006276,0.004184,0.002092,0,0,0.502640,0.531621,0.628786,0
0.017383,0,0,0,0,0,0,0,0.252688,0.272431,0.316295,1
0.044944,0,0,0,0,0,0,0,0.029555,0.041256,0.031155,0
0.013201,0,0,0,0,0,0,0,0.042933,0.060598,0.045722,0
0.123077,0,0,0,0,0,0,0,0.058284,0.058995,0.054488,0
0.031088,0.002597,0,0.007792,0.005195,0,0,0,0.304379,0.324411,0.376588,1
0.006783,0,0,0.00194,0,0.00097,0,0.00097,0.614006,0.653904,0.776145,2
0.02439,0,0,0,0,0,0,0,0.412959,0.437384,0.512875,0
0.002994,0,0,0.006006,0.006006,0.003003,0,0,0.147718,0.151497,0.158083,0
0.024096,0.012195,0,0,0,0,0,0,0.160985,0.169524,0.186228,1
0.035484,0,0,0.003236,0,0,0,0,0.242978,0.261765,0.298455,0
0.0125,0,0.001252,0,0.001252,0.001252,0,0,0.553243,0.590077,0.699535,1
0,0,0.011236,0,0,0,0,0,0.568166,0.601664,0.706353,0
0.008264,0,0,0,0,0,0,0,0.117550,0.129207,0.130037,1
0,0,0,0.016949,0,0,0,0,0.409840,0.426891,0.495330,0
0,0,0,0.006353,0.001271,0.002541,0,0,0.615280,0.652511,0.772853,0
0.002299,0,0,0.002304,0,0,0,0,0.696222,0.741936,0.881220,0
0,0,0,0.021277,0,0,0,0,0.331641,0.347159,0.405077,0
0,0,0,0.009174,0,0.003058,0,0,0.263839,0.268654,0.297174,0
0,0,0,0.018519,0,0,0,0,0.305758,0.318107,0.360854,0
0,0,0.002924,0.002924,0.002924,0.005848,0,0,0.557526,0.590838,0.697120,0
0.017002,0.001548,0,0,0.001548,0,0,0,0.535230,0.570549,0.675580,0
0,0,0.012658,0,0,0,0,0,0.507857,0.535939,0.632543,0
0,0,0.003636,0.010909,0.003636,0.003636,0,0,0.245399,0.249775,0.280211,0
0,0,0,0.016949,0,0,0,0,0.308786,0.308772,0.351261,0
0.00361,0,0.007246,0.003623,0,0.007246,0,0,0.366498,0.385693,0.448946,0
0,0,0.002381,0,0,0.002381,0,0,0.761007,0.811732,0.966690,0
0,0,0,0,0.012821,0,0,0,0.528241,0.552213,0.648899,0
0,0,0,0.003663,0.007326,0,0,0,0.243236,0.246535,0.273874,0
0,0,0,0.016949,0,0,0,0,0.396315,0.414031,0.487503,2
0,0,0,0.002703,0,0,0,0,0.411250,0.437757,0.513429,0
0,0,0.003401,0.001701,0.004252,0.004252,0,0,0.680855,0.723644,0.859659,1
0,0,0.018692,0.009346,0,0.009346,0,0,0.490668,0.516817,0.610434,2
0.015101,0,0,0.003361,0.003361,0,0,0,0.325919,0.340626,0.396430,2
0,0,0,0.018519,0,0,0,0,0.221421,0.216574,0.239264,0
0,0,0.00597,0.01194,0.008955,0.00597,0,0,0.444713,0.468062,0.550269,0
0.019824,0.002208,0,0,0.002208,0,0,0,0.449744,0.479508,0.564713,0
0.045977,0,0,0.034884,0.011628,0,0,0,0.351755,0.355875,0.413199,0
0.006061,0,0,0.00304,0,0,0,0,0.288389,0.298855,0.338642,0
0,0,0,0,0,0,0,0,0.155040,0.157400,0.166718,0
0,0,0.002008,0.004016,0.004016,0.004016,0,0,0.588314,0.625367,0.739988,0
0,0,0,0,0,0,0,0,0.761758,0.812308,0.966201,0
0,0,0,0.025,0.025,0,0,0,0.545515,0.570301,0.673411,0
0,0,0.008658,0.004329,0.004329,0.008658,0,0,0.199949,0.197603,0.211385,0
0,0,0,0.04,0,0,0,0,0.207121,0.209903,0.228877,0
0.009804,0,0.002457,0.007371,0.002457,0.002457,0,0,0.437417,0.462526,0.544716,0
0.008097,0,0,0,0,0,0,0,0.657858,0.701091,0.833415,0
0.029126,0,0,0,0.009804,0,0,0,0.336749,0.355727,0.412646,0
0.003436,0,0,0.017241,0,0.006897,0,0,0.208999,0.205181,0.225019,0
0,0,0,0.009804,0,0,0,0,0.443962,0.470873,0.552041,2
0,0,0,0.011811,0.011811,0,0,0,0.338506,0.356520,0.414318,0
0,0,0,0,0,0,0,0,0.767427,0.818566,0.974497,0
0,0,0,0.025974,0,0,0,0,0.455244,0.476776,0.559164,0
0,0,0,0.008658,0,0,0,0,0.246645,0.247969,0.271814,0
0,0,0,0,0,0,0,0,0.089530,0.089334,0.084309,0
0,0,0,0.007435,0,0,0,0,0.494269,0.524046,0.617697,0
