@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.197248,0.004587,0.004608,0,0.004608,0.023041,0,0.125303,0.129605,0.135189,0
0.059829,0.095571,0,0,0.003888,0.013219,0,0.378314,0.398625,0.451771,1
0.021802,0.011919,0,0,0.002035,0.00727,0,0.713445,0.761122,0.877709,2
0.036232,0.086957,0,0,0.014545,0.007273,0,0.503985,0.533215,0.611491,0
0.011659,0.087892,0,0,0.024237,0.022442,0,0.184150,0.190516,0.201182,0
0.115108,0.068345,0,0.00361,0,0.032491,0,0.250132,0.262468,0.288687,1
0.07343,0.021256,0,0,0.000967,0.016441,0,0.315786,0.337244,0.376749,0
0.04126,0.009377,0.00075,0,0.001876,0.010507,0,0.645995,0.689564,0.793369,1
0,0.063333,0,0,0.016722,0,0,0.641480,0.680768,0.782844,0
0.030941,0.032178,0,0,0.009913,0.022305,0,0.153141,0.163289,0.165526,1
0,0.149254,0,0,0.02,0.025,0,0.484690,0.504853,0.575178,0
0.004945,0.050209,0,0,0.006469,0.010654,0,0.697138,0.740066,0.852136,0
0.004135,0.012405,0,0,0.002759,0.011724,0,0.794357,0.847243,0.978201,0
0.018927,0.148265,0,0,0.018987,0,0,0.456827,0.478656,0.546764,0
0.005484,0.091408,0,0,0.025618,0.043916,0,0.309774,0.319705,0.355536,0
0,0.097826,0,0,0.010929,0.04918,0,0.375205,0.390769,0.440810,0
0,0.059493,0,0,0.003503,0.028897,0,0.651661,0.690215,0.792638,0
0.041223,0.006948,0,0,0.000927,0.012975,0,0.636902,0.679727,0.780381,0
0.003745,0.074906,0,0,0.011278,0,0,0.604323,0.639491,0.735961,0
0,0.131522,0,0,0.01741,0.044614,0,0.312327,0.320094,0.357067,0
0.00995,0.164179,0,0,0.04,0.015,0,0.388440,0.399394,0.455533,0
0.015135,0.122162,0,0,0.008658,0.029221,0,0.465743,0.487755,0.553726,0
0.003564,0.012117,0,0,0.001427,0,0,0.849378,0.906388,1.048165,0
0,0.098859,0,0,0.026718,0,0,0.617146,0.650013,0.745938,0
0,0.122538,0,0,0.015334,0.046002,0,0.303227,0.310873,0.344847,0
0,0.135,0,0,0.01005,0.01005,0,0.498328,0.519349,0.594608,2
0.003234,0.046079,0,0,0.002427,0.023463,0,0.498883,0.529197,0.604899,0
0.001275,0.01504,0,0,0.005099,0.00357,0,0.772413,0.822296,0.948852,1
0,0.182825,0,0,0.008333,0.002778,0,0.577649,0.604580,0.696958,2
0.037223,0.084507,0,0,0.011072,0.014595,0,0.393342,0.410364,0.463996,2
0,0.152174,0,0,0.027322,0,0,0.259422,0.260971,0.292205,0
0,0.099822,0,0,0.007136,0.015165,0,0.539535,0.567110,0.648240,0
0.056106,0.014521,0,0,0.001321,0.01321,0,0.550588,0.587309,0.672031,0
0.089655,0.158621,0,0,0.038062,0,0,0.411635,0.426860,0.487884,0
0.009991,0.112625,0,0,0.021818,0.024545,0,0.345949,0.358710,0.400508,0
0.074534,0.111801,0,0,0.0125,0.0625,0,0.248740,0.254856,0.278970,0
0.006002,0.033613,0,0,0.004805,0.015616,0,0.686181,0.729722,0.838772,0
0,0.005692,0,0,0.001139,0.011959,0,0.851370,0.908235,1.049107,0
0,0.150735,0,0,0.02583,0.00369,0,0.640015,0.672630,0.774018,0
0,0.134541,0,0,0.032383,0.050518,0,0.256189,0.258912,0.282356,0
0,0.098837,0,0,0.017544,0.035088,0,0.257400,0.264246,0.291608,0
0.020558,0.093979,0,0,0.005878,0.011756,0,0.536459,0.566088,0.646753,0
0.021831,0.004245,0,0,0.00182,0.009709,0,0.744135,0.794271,0.916689,0
0.058309,0.037901,0,0,0.01462,0,0,0.396062,0.419477,0.474978,0
0.021627,0.143151,0,0,0.030928,0.037113,0,0.255384,0.258449,0.280943,0
0.054913,0.034682,0,0,0.005797,0.02029,0,0.528631,0.561769,0.644846,2
0.003525,0.121034,0,0,0.004706,0.027059,0,0.440628,0.460954,0.519336,0
0,0.001672,0,0,0,0.006693,0,0.861783,0.919871,1.062421,0
0,0.145594,0,0,0.019231,0.019231,0,0.548088,0.575743,0.661526,0
0,0.09185,0,0,0.031088,0.059585,0,0.296407,0.304588,0.334759,0
0,0.034965,0,0,0,0.056338,0,0.157362,0.160461,0.168442,0
0,0.035437,0,0,0.004435,0.022173,0,0.610491,0.647442,0.743788,0
0.010496,0.005248,0,0,0.001432,0.008115,0,0.720455,0.768603,0.884720,0
