@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.038,0.368,0.594,0.089,0.406,0.13,0.266,2
0.147,0.533,0.32,0.145,0.647,0.213,0.692,1
0.265,0.681,0.053,0.449,0.486,0.553,0.286,1
0.104,0.719,0.176,0.197,0.578,0.152,0.316,1
0.012,0.807,0.181,0.378,0.474,0.201,0.302,1
0.015,0.358,0.626,0.004,0.184,0.146,0.313,1
0.262,0.282,0.456,0.059,0.403,0.237,0.574,2
0.048,0.091,0.861,0.063,0.599,0.242,0.426,2
0.047,0.622,0.331,0.586,0.274,0.164,0.302,2
0.021,0.563,0.417,0.152,0.683,0.263,0.334,1
0.092,0.883,0.025,0.866,0.105,0.178,0.302,1
0.033,0.274,0.694,0.03,0.362,0.169,0.303,2
0.026,0.511,0.462,0.003,0.783,0.071,0.655,1
0.269,0.668,0.063,0.118,0.819,0.016,0.875,1
0.003,0.816,0.181,0.016,0.384,0.114,0.399,2
0.145,0.544,0.31,0.165,0.536,0.001,0.985,1
0.011,0.85,0.138,0.082,0.599,0.063,0.617,1
0.613,0.341,0.047,0.43,0.54,0.226,0.553,1
0.006,0.81,0.184,0.004,0.724,0.2,0.304,1
0.001,0.093,0.905,0.004,0.246,0.129,0.571,2
0.079,0.309,0.612,0.023,0.274,0.079,0.594,2
0.217,0.674,0.109,0.556,0.383,0.278,0.332,1
0.171,0.624,0.205,0.232,0.729,0.176,0.359,1
0.455,0.342,0.204,0.237,0.637,0.241,0.362,1
0.109,0.797,0.094,0.755,0.231,0.177,0.284,2
0.181,0.64,0.179,0.127,0.7,0.309,0.354,1
0.011,0.035,0.955,0.141,0.515,0.176,0.31,2
0.281,0.577,0.142,0.201,0.648,0.449,0.328,1
0.267,0.616,0.117,0.176,0.748,0.087,0.653,1
0.137,0.662,0.201,0.068,0.782,0.465,0.387,1
0.601,0.25,0.148,0.103,0.791,0.292,0.34,1
0.031,0.686,0.284,0.093,0.421,0.128,0.307,2
0.092,0.483,0.425,0.178,0.73,0.625,0.221,1
0.258,0.571,0.171,0.193,0.585,0.101,0.618,1
0.453,0.511,0.036,0.208,0.716,0.522,0.295,1
0.056,0.82,0.124,0.042,0.734,0.049,0.817,1
0.139,0.706,0.155,0.108,0.667,0.439,0.356,1
0.19,0.758,0.052,0.359,0.572,0.054,0.549,1
0.392,0.589,0.019,0.402,0.55,0.32,0.498,1
0.104,0.672,0.224,0.318,0.495,0.064,0.421,1
0.142,0.821,0.036,0.15,0.753,0.258,0.642,1
0.461,0.433,0.106,0.26,0.624,0.064,0.8,1
0.341,0.585,0.074,0.635,0.325,0.03,0.693,1
0.047,0.077,0.876,0.006,0.229,0.241,0.363,2
0.045,0.706,0.249,0.013,0.062,0.146,0.299,2
0.459,0.431,0.109,0.348,0.59,0.535,0.293,2
0.257,0.649,0.094,0.244,0.661,0.132,0.378,1
0.49,0.464,0.046,0.633,0.298,0.546,0.298,1
0.809,0.055,0.136,0.779,0.209,0.39,0.361,0
0.515,0.008,0.477,0.405,0.534,0.002,0.928,0
0.054,0.701,0.245,0.125,0.368,0.161,0.283,0
0.247,0.657,0.096,0.571,0.295,0.114,0.671,0
0.402,0.546,0.051,0.787,0.187,0.497,0.313,0
0.366,0.613,0.021,0.862,0.11,0.749,0.182,0
0.475,0.489,0.036,0.447,0.527,0.518,0.345,0
0.632,0.329,0.039,0.496,0.406,0.183,0.296,0
0.903,0.005,0.092,0.515,0.354,0.627,0.264,0
0.635,0.173,0.192,0.637,0.323,0.531,0.304,0
0.199,0.575,0.226,0.302,0.6,0.29,0.326,0
0.637,0.145,0.218,0.822,0.081,0.138,0.291,0
0.219,0.675,0.106,0.926,0.071,0.734,0.183,0
0.553,0.275,0.173,0.544,0.444,0.622,0.236,0
0.272,0.713,0.015,0.112,0.841,0.027,0.744,0
0.036,0.866,0.098,0.279,0.463,0.063,0.502,0
0.589,0.312,0.098,0.247,0.65,0.301,0.375,0
0.06,0.907,0.033,0.301,0.496,0.392,0.416,0
