@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.33,0.631,0.039,0.128,0.76,0
0.017,0.359,0.624,0.156,0.396,2
0.055,0.495,0.45,0.055,0.51,1
0.154,0.788,0.058,0.867,0.131,0
0.438,0.302,0.261,0.305,0.441,0
0.816,0.077,0.106,0.137,0.496,0
0.13,0.534,0.336,0.842,0.146,0
0.793,0.172,0.035,0.851,0.133,0
0.231,0.331,0.438,0.433,0.458,0
0.962,0.029,0.008,0.277,0.27,0
0.006,0.807,0.187,0.136,0.595,1
0.539,0.396,0.065,0.095,0.594,1
0.112,0.337,0.551,0.304,0.368,0
0.203,0.398,0.398,0.824,0.167,0
0.318,0.355,0.326,0.083,0.466,0
0.058,0.752,0.191,0.452,0.451,1
0.275,0.467,0.257,0.532,0.409,0
0.005,0.35,0.645,0.008,0.163,1
0.069,0.419,0.512,0.045,0.361,2
0.125,0.038,0.837,0.077,0.701,2
0.015,0.598,0.388,0.375,0.43,2
0.181,0.745,0.073,0.684,0.279,0
0.046,0.475,0.479,0.132,0.667,1
0.169,0.802,0.029,0.72,0.217,1
0.183,0.399,0.418,0.625,0.309,0
0.871,0.088,0.04,0.385,0.477,0
0.016,0.466,0.518,0.149,0.579,0
0.144,0.319,0.537,0.331,0.575,0
0.373,0.476,0.151,0.446,0.474,0
0.902,0.013,0.085,0.402,0.412,0
0.644,0.288,0.067,0.325,0.509,0
0.024,0.205,0.771,0.042,0.279,2
0.029,0.599,0.372,0.016,0.795,1
0.037,0.019,0.943,0.263,0.665,0
0.033,0.726,0.241,0.15,0.84,0
0.164,0.51,0.326,0.568,0.305,0
0.096,0.753,0.151,0.168,0.79,1
0.38,0.442,0.178,0.011,0.404,2
0.346,0.383,0.271,0.61,0.341,0
0.035,0.575,0.391,0.111,0.828,0
0.227,0.527,0.246,0.077,0.517,1
0.277,0.712,0.01,0.401,0.576,0
0.1,0.758,0.142,0.066,0.606,1
0.694,0.104,0.202,0.604,0.352,0
0.314,0.635,0.052,0.646,0.338,1
0.066,0.156,0.778,0.002,0.069,0
0.903,0.094,0.003,0.382,0.533,0
0.9,0.007,0.093,0.364,0.432,0
0.343,0.469,0.188,0.417,0.513,0
0.232,0.724,0.044,0.675,0.21,0
0.959,0.037,0.004,0.224,0.473,0
0.563,0.132,0.306,0.539,0.398,0
0.518,0.345,0.138,0.395,0.516,0
0.872,0.122,0.006,0.624,0.355,0
0.842,0.062,0.096,0.742,0.234,0
0.135,0.367,0.498,0.263,0.48,0
0.108,0.775,0.116,0.159,0.756,0
0.127,0.733,0.14,0.038,0.662,1
0.036,0.102,0.863,0.002,0.181,2
0.633,0.335,0.032,0.532,0.397,0
0.973,0.011,0.016,0.419,0.528,0
0.465,0.524,0.011,0.198,0.681,0
0.995,0.002,0.004,0.704,0.152,0
0.472,0.388,0.14,0.391,0.569,0
0.966,0.032,0.002,0.77,0.135,0
0.438,0.372,0.19,0.13,0.524,0
0.415,0.534,0.05,0.777,0.064,0
0.825,0.091,0.084,0.162,0.488,0
0.566,0.375,0.059,0.204,0.577,0
0.074,0.265,0.662,0.158,0.636,0
0.413,0.322,0.265,0.284,0.602,0
0.204,0.208,0.589,0.126,0.284,2
0.182,0.707,0.11,0.263,0.642,0
0.297,0.696,0.007,0.783,0.214,0
0.476,0.04,0.484,0.613,0.333,0
0.471,0.466,0.062,0.381,0.528,0
0.783,0.203,0.014,0.725,0.255,0
0.607,0.377,0.015,0.074,0.769,0
0.965,0.006,0.028,0.781,0.188,0
0.071,0.71,0.219,0.632,0.332,1
0.232,0.642,0.126,0.046,0.843,1
0.998,0.001,0.001,0.639,0.286,0
0.187,0.799,0.014,0.419,0.575,0
0,0.958,0.042,0.282,0.578,0
0.005,0.641,0.355,0.208,0.759,0
0.891,0.108,0.001,0.455,0.528,0
0.981,0.014,0.006,0.609,0.363,0
0.481,0.383,0.136,0.52,0.381,0
0.688,0.187,0.125,0.37,0.476,1
0.003,0.896,0.101,0.237,0.662,2
