@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

2,10,4.479066,1.097909,0
3,12,4.476359,1.529676,2
5,16,5.282326,1.284652,1
1,2,4.185434,0.911392,0
2,8,3.717095,0.988729,0
3,12,3.710519,1.347141,0
4,2,3.489355,0.914336,0
5,8,3.744269,0.781372,0
2,8,3.451455,0.814142,0
3,5,3.226075,1.078272,0
5,7,7.094787,0.944956,1
3,8,2.717923,1.391212,1
5,7,5.802987,0.965491,0
1,2,4.538522,0.829284,0
2,8,3.969727,1.166624,0
3,12,4.502463,1.412919,1
5,7,4.498704,0.91746,0
3,8,4.198062,1.848372,1
1,2,4.094864,1.262811,2
2,8,4.251957,1.429776,2
3,7,4.352923,1.211144,2
5,7,4.445478,1.004124,0
2,11,5.38112,1.473295,1
3,9,3.762812,0.998351,1
5,6,4.589115,0.987766,0
2,8,4.05231,0.921796,0
3,6,4.063057,1.013973,0
4,2,4.036506,0.975823,0
1,2,3.901367,1.159356,0
2,14,3.400645,1.246536,0
5,6,3.393658,0.858639,0
1,2,4.657121,0.937666,0
2,8,4.515958,1.01367,0
3,7,3.946242,1.017591,0
3,12,4.301709,1.673401,2
3,9,3.57853,1.799038,1
4,2,4.217083,1.015676,0
5,7,5.32793,1.055636,0
1,2,4.445331,1.078891,0
2,8,5.047678,0.982875,1
3,10,3.350088,1.697246,2
4,2,2.916137,0.94508,0
5,7,4.917948,1.164923,0
1,2,3.406422,1.372835,1
2,8,3.649491,0.790983,0
3,7,4.131687,1.315732,1
4,2,4.009388,1.027062,0
5,7,3.817433,0.844369,1
2,10,3.258206,2.007743,0
3,5,2.917086,0.715997,0
4,2,3.016237,1.083995,0
5,7,4.000689,1.142996,0
1,2,3.670158,0.911392,0
3,7,3.438863,1.065609,0
4,1,3.169606,0.914336,0
5,7,3.850844,0.960966,0
1,2,3.685902,0.993499,0
2,8,3.455159,0.706489,0
3,2,3.377466,0.692646,0
2,8,4.94207,0.944955,0
3,18,4.223454,1.935857,1
5,10,4.426974,2.076814,2
1,2,3.953887,0.911392,0
2,8,3.422389,0.857407,0
3,8,3.185894,0.7479,0
4,2,1.627654,0.992903,0
5,7,3.561084,1.150653,0
1,2,3.706473,0.794799,0
2,8,3.358486,1.272495,0
1,2,3.909108,0.84899,0
2,8,3.368784,1.040647,0
3,3,3.104877,0.813843,0
4,2,3.488715,1.173948,0
5,7,3.58635,1.014914,0
1,2,3.784312,1.707833,2
2,8,4.840624,0.6505,0
3,5,2.41161,0.885212,0
4,2,3.247011,0.89384,0
1,2,3.647504,0.706123,0
2,8,3.439014,0.689692,0
3,7,3.92146,1.034529,0
4,2,2.781845,0.972407,0
2,9,4.623354,0.97295,1
3,5,4.459865,0.93471,1
4,2,1.857721,1.024785,0
5,7,4.915703,0.824182,0
1,2,4.892608,1.008278,0
2,8,5.179627,0.752299,0
3,2,1.596783,0.568489,0
4,2,2.224549,0.994042,0
5,8,4.657423,0.940779,0
2,8,4.360455,0.975495,1
