@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature788 numeric
@attribute bi_feature809 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1301 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.041667,0,0,0,0,0,0.199880,0.201747,0.230921,0
0.004004,0,0,0,0,0,0.656345,0.687580,0.845009,0
0,0,0,0,0,0,0.824876,0.866628,1.070526,0
0,0,0,0,0,0,0.605349,0.627841,0.771810,0
0,0,0,0,0,0,0.232436,0.231479,0.266658,0
0,0,0,0,0,0,0.226295,0.229731,0.266050,0
0.013464,0,0,0,0,0,0.502764,0.523822,0.640374,0
0.017189,0,0,0,0,0,0.718078,0.754630,0.930699,0
0.038835,0,0,0,0,0,0.373356,0.389855,0.470154,0
0.013722,0,0,0,0,0,0.232953,0.231587,0.265683,0
0.038647,0,0,0,0,0,0.501167,0.524839,0.640387,2
0,0,0,0,0,0,0.409773,0.423850,0.509970,0
0,0,0,0,0,0,0.832310,0.874669,1.080659,0
0,0,0,0,0,0,0.508831,0.527941,0.645405,0
0,0,0,0,0,0,0.273061,0.276727,0.320957,0
0,0,0,0,0,0,0.111233,0.112600,0.119595,0
0,0,0,0,0,0,0.571710,0.598057,0.733168,0
0.007154,0,0,0,0,0,0.687665,0.722330,0.889295,0
0.017647,0,0,0,0,0,0.495395,0.512168,0.626639,0
0,0,0,0,0,0,0.216557,0.212499,0.245766,0
0,0,0,0,0,0,0.439260,0.454791,0.550255,0
0,0,0,0,0,0,0.548935,0.572363,0.699361,0
0,0,0,0,0,0,0.870529,0.914483,1.131445,0
0,0,0,0,0,0,0.574043,0.594870,0.731182,0
0,0,0,0,0,0,0.309044,0.312370,0.369644,1
0,0,0,0,0,0,0.427793,0.444244,0.537122,2
0,0,0,0,0,0,0.567370,0.592316,0.724111,1
0.007042,0,0,0,0,0,0.646854,0.679183,0.837205,1
0.027933,0,0,0,0,0,0.417839,0.428810,0.522600,0
0.023256,0,0,0,0,0,0.152093,0.161482,0.165430,0
0.04918,0,0,0,0,0,0.239719,0.246558,0.293396,0
0.00846,0,0,0,0,0,0.411050,0.433706,0.521927,0
0.002894,0,0,0,0,0,0.809696,0.851132,1.051193,0
0.011494,0,0,0,0,0,0.407257,0.419013,0.505880,0
0,0,0,0,0,0,0.223420,0.223298,0.255639,0
0,0,0,0,0,0,0.528659,0.550998,0.674109,1
0,0,0,0,0,0,0.599929,0.625836,0.768372,2
0,0,0,0,0,0,0.857557,0.900999,1.114374,1
0,0,0,0,0,0,0.605767,0.629340,0.771001,0
0,0,0,0,0,0,0.298085,0.300990,0.354111,2
0,0,0,0,0,0,0.385595,0.392729,0.474296,0
0.005222,0,0,0,0,0,0.573250,0.598354,0.733377,1
0,0,0,0,0,0,0.821141,0.861515,1.064843,2
0,0,0,0,0,0,0.623117,0.648293,0.795439,1
0,0,0,0,0,0,0.204794,0.205086,0.231851,1
0,0,0,0,0,0,0.377242,0.387402,0.474113,2
0,0,0,0,0,0,0.429747,0.446637,0.544875,1
0.020647,0,0,0,0,0,0.649618,0.682914,0.839608,0
0,0,0,0,0,0,0.629474,0.655430,0.804105,0
0,0,0,0,0,0,0.310555,0.313910,0.373039,2
0.119658,0,0,0,0,0,0.128883,0.131306,0.146360,0
0,0,0,0,0,0,0.596559,0.624613,0.764006,0
0.00309,0,0,0,0,0,0.767710,0.805660,0.994706,2
0,0,0,0,0,0,0.630293,0.654856,0.805356,0
0.021127,0,0,0,0,0,0.193365,0.198022,0.219203,0
0.018868,0,0,0,0,0,0.340715,0.355326,0.422906,0
0,0,0,0,0,0,0.587137,0.612220,0.751683,0
0,0,0,0,0,0,0.833898,0.875936,1.082722,0
0,0,0,0,0,0,0.564541,0.584224,0.716361,0
0,0,0,0,0,0,0.224234,0.223406,0.255714,0
0,0,0,0,0,0,0.224808,0.225348,0.264433,0
0,0,0,0,0,0,0.550643,0.572246,0.699726,0
0,0,0,0,0,0,0.752139,0.788845,0.973172,0
0.016129,0,0,0,0,0,0.448882,0.462950,0.564952,0
0,0,0,0,0,0,0.219741,0.218724,0.252345,0
0,0,0,0,0,0,0.474563,0.495311,0.603698,1
0,0,0,0,0,0,0.640801,0.670559,0.825413,0
0,0,0,0,0,0,0.826737,0.868582,1.073667,0
0,0,0,0,0,0,0.631593,0.656945,0.809407,0
0,0,0,0,0,0,0.285828,0.287437,0.338513,0
0,0,0,0,0,0,0.302842,0.318765,0.370796,1
0,0,0,0,0,0,0.438253,0.453701,0.554572,0
0.012012,0,0,0.000751,0,0,0.644431,0.677072,0.831526,1
0.009569,0,0,0,0,0,0.382294,0.395109,0.479224,0
0,0,0,0,0,0,0.270552,0.274926,0.323321,0
0.007874,0,0,0,0,0,0.045838,0.046977,0.031714,1
0.038321,0,0,0,0,0,0.262697,0.278024,0.317690,0
0.04497,0,0,0,0,0,0.480451,0.506016,0.617824,0
0.006329,0,0,0,0,0,0.392829,0.410883,0.492632,0
0,0,0,0,0,0,0.289075,0.291840,0.343859,0
0,0,0,0,0,0,0.520177,0.538788,0.660181,0
0,0,0,0,0,0,0.585191,0.609607,0.748368,0
0.003182,0,0,0,0,0,0.744932,0.780782,0.963938,0
0,0,0,0,0,0,0.614763,0.637728,0.783493,0
0.00708,0,0,0,0,0,0.233899,0.235312,0.271823,0
0,0,0,0,0,0,0.420991,0.431202,0.524842,1
0,0,0,0,0,0,0.372271,0.385157,0.461253,0
0.002796,0,0,0.000933,0,0,0.774570,0.812585,1.003701,0
0,0,0,0,0,0,0.526265,0.543698,0.665491,0
0.001957,0,0,0,0,0,0.266608,0.268738,0.316388,0
0,0,0,0,0,0,0.400344,0.414462,0.504693,0
0,0,0,0,0,0,0.457074,0.473290,0.580603,0
0.00237,0,0,0,0,0,0.761722,0.799452,0.987305,0
