@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.002949,0.018873,0,0,0.007965,0,0.811585,0.861724,0.995237,2
0,0.111486,0,0,0,0,0.662782,0.695680,0.802930,0
0,0.153012,0,0,0.030157,0,0.341288,0.350040,0.393440,0
0,0.051643,0,0,0.042453,0,0.507699,0.533652,0.604388,0
0,0.107567,0,0,0.01627,0,0.602713,0.632643,0.727450,0
0.050741,0.005211,0,0,0.003841,0,0.288406,0.311264,0.348297,1
0.124579,0,0,0,0,0,0.033736,0.043931,0.032160,0
0.024752,0.00198,0,0,0.003964,0,0.045796,0.059564,0.045851,0
0.197248,0.004587,0.004608,0,0.023041,0,0.125228,0.129605,0.135189,0
0.059829,0.095571,0,0,0.013219,0,0.379419,0.398625,0.451771,1
0.021802,0.011919,0,0,0.00727,0,0.715904,0.761122,0.877709,2
0.036232,0.086957,0,0,0.007273,0,0.505594,0.533215,0.611491,0
0.011659,0.087892,0,0,0.022442,0,0.184439,0.190516,0.201182,0
0.115108,0.068345,0,0.00361,0.032491,0,0.250658,0.262468,0.288687,1
0.07343,0.021256,0,0,0.016441,0,0.316643,0.337244,0.376749,0
0.04126,0.009377,0.00075,0,0.010507,0,0.648198,0.689564,0.793369,1
0,0.063333,0,0,0,0,0.643761,0.680768,0.782844,0
0.030941,0.032178,0,0,0.022305,0,0.153367,0.163289,0.165526,1
0,0.149254,0,0,0.025,0,0.486269,0.504853,0.575178,0
0.004945,0.050209,0,0,0.010654,0,0.699521,0.740066,0.852136,0
0.004135,0.012405,0,0,0.011724,0,0.797156,0.847243,0.978201,0
0.018927,0.148265,0,0,0,0,0.458319,0.478656,0.546764,0
0.005484,0.091408,0,0,0.043916,0,0.310610,0.319705,0.355536,0
0,0.097826,0,0,0.04918,0,0.376349,0.390769,0.440810,0
0,0.059493,0,0,0.028897,0,0.653810,0.690215,0.792638,0
0.041223,0.006948,0,0,0.012975,0,0.639039,0.679727,0.780381,0
0.003745,0.074906,0,0,0,0,0.606412,0.639491,0.735961,0
0,0.131522,0,0,0.044614,0,0.313122,0.320094,0.357067,0
0.00995,0.164179,0,0,0.015,0,0.389790,0.399394,0.455533,0
0.015135,0.122162,0,0,0.029221,0,0.467088,0.487755,0.553726,0
0.003564,0.012117,0,0,0,0,0.852402,0.906388,1.048165,0
0,0.098859,0,0,0,0,0.619291,0.650013,0.745938,0
0,0.122538,0,0,0.046002,0,0.303950,0.310873,0.344847,0
