@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0.333039,0.356481,0.410187,0
0,0,0,0,0,0,0.484718,0.531152,0.612526,0
0.003226,0,0.001076,0,0,0,0.723489,0.793149,0.922685,2
0,0,0,0,0,0,0.703289,0.766543,0.891070,2
0.00271,0,0,0.002717,0,0,0.413561,0.443691,0.509948,1
0,0,0,0,0,0,0.299879,0.320971,0.362719,0
0,0,0.002584,0,0,0,0.466570,0.507166,0.584327,0
0.007326,0,0.002445,0.003667,0,0,0.616104,0.673633,0.781670,0
0,0,0,0,0,0,0.510478,0.553893,0.636515,0
0,0,0,0,0,0,0.219123,0.224274,0.245220,0
0,0,0,0,0,0,0.341889,0.367029,0.413198,0
0,0,0.003145,0,0,0,0.474316,0.514684,0.591488,0
0,0,0.001529,0.004587,0,0,0.759619,0.832990,0.969041,0
0,0,0.012987,0.012987,0,0,0.567230,0.616969,0.712655,0
0,0,0,0.003322,0,0,0.344411,0.366974,0.413314,0
0,0,0,0,0,0,0.531281,0.578233,0.663913,0
0,0,0.003067,0,0,0,0.561314,0.610230,0.707446,0
0,0,0.00277,0.00277,0,0,0.690499,0.755752,0.878384,0
0,0,0,0.009091,0,0,0.635406,0.687165,0.796190,0
0,0,0.003704,0.007407,0,0,0.240144,0.246816,0.270743,1
0,0,0,0,0,0,0.477107,0.513450,0.593153,1
0,0,0.003096,0.003096,0,0,0.535047,0.582673,0.674440,0
0,0,0,0,0,0,0.695670,0.762527,0.885607,1
0,0,0.012346,0.012346,0,0,0.591966,0.636582,0.738020,0
0,0,0.007246,0.01087,0,0,0.233632,0.234853,0.255736,0
0,0,0,0,0,0,0.208387,0.218523,0.239108,0
0,0,0,0.002188,0,0,0.563946,0.614504,0.712088,0
0,0,0,0.001166,0.001166,0,0.676492,0.740045,0.858682,1
0,0,0,0,0,0,0.613260,0.666615,0.771008,0
0,0,0,0.003817,0,0,0.288341,0.300623,0.335257,0
0,0,0,0,0,0,0.426175,0.459326,0.531496,0
