@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature3 numeric
@attribute psy_feature5 numeric
@attribute psy_feature6 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data
2,8,-0.16526,3.358486,-0.382728,1.272561,0
3,5,-0.508232,2.965272,-0.873265,0.861306,0
4,2,0.615197,3.045249,0.577992,0.92995,0
5,7,0.168932,4.206562,-0.05239,0.807734,0
1,2,-0.222063,3.909108,-0.021493,0.847367,0
2,8,-0.051539,3.368784,-0.017786,1.040701,0
3,3,-0.24317,3.104877,-0.111551,0.808383,0
4,2,0.38199,3.488715,0.351465,1.173536,0
5,7,0.063883,3.58635,0.230471,1.014364,0
1,2,0.07678,3.784312,0.069583,1.704569,2
2,8,0.115364,4.840624,-0.260768,0.650533,0
3,5,-0.464484,2.41161,-0.452189,0.879274,0
4,2,0.467076,3.247011,0.735783,0.893526,0
5,7,-0.074416,5.288506,-0.297696,0.807734,0
1,2,-0.664974,3.647504,-0.67474,0.704774,0
2,8,-0.181012,3.439014,-0.156394,0.689728,0
3,7,-0.49615,3.92146,-0.875711,1.027589,0
4,2,1.224945,2.781845,1.181066,0.972065,0
5,7,0.233234,4.158115,-0.001005,0.783732,0
1,2,-0.17055,3.74833,0.046659,0.785085,0
2,8,-0.293935,3.763955,-0.368272,0.64188,0
3,2,0.159708,3.395909,0.500507,0.57317,0
4,2,0.196718,3.314387,0.208448,0.881005,0
5,7,0.120104,3.773922,0.183378,1.027235,1
1,2,-0.254526,4.972385,-0.33547,0.827699,2
2,9,-0.38151,4.623354,-0.492434,0.973,1
3,5,0.518983,4.459865,0.603044,0.92844,1
4,2,1.161504,1.857721,1.026975,1.024425,0
5,7,-0.212385,4.915703,-0.143106,0.823736,0
1,2,-0.65602,4.892608,-0.76439,1.006351,0
2,8,-0.176254,5.179627,-0.141278,0.752338,0
3,2,-0.382317,1.596783,-0.448998,0.564676,0
4,2,0.698922,2.224549,0.605487,0.993692,0
5,8,0.122661,4.657423,-0.097835,0.940269,0
1,2,0.242624,5.033199,0.074163,0.973571,2
2,10,-0.114853,3.864322,-0.164628,1.056226,1
3,7,-0.591415,3.093536,-0.896354,1.187338,0
4,2,0.524672,2.796639,0.641813,0.89125,0
5,7,0.250001,5.78014,0.206029,0.970185,2
1,2,-0.335751,3.066823,-0.160193,0.967015,0
2,8,-0.150114,3.570451,-0.074647,1.231585,0
3,7,0.34776,3.586543,0.382178,1.322259,2
4,2,1.101068,3.510934,1.30831,1.022148,0
5,7,-0.21559,4.149177,-0.264756,0.988274,0
1,2,-0.761086,3.176732,-0.698741,0.876869,0
2,8,0.048259,4.109473,-0.099675,0.859233,0
3,5,-0.356694,3.447432,-0.540013,1.042943,0
4,2,0.459249,2.539034,0.505525,0.836614,0
5,7,0.117024,4.292822,-0.171615,0.859218,0
1,2,-0.255777,3.995587,0.09037,0.878509,0
2,8,-0.028734,3.585036,0.071007,0.789497,0
3,7,-0.189227,3.620939,-0.06767,0.736022,0
4,2,1.219914,3.050896,1.428823,1.060849,0
5,7,-0.070266,3.83573,0.077598,0.791385,0
1,2,-0.356086,4.666383,-0.331817,1.052243,1
2,8,-0.106791,3.797649,-0.186692,1.3255,0
3,7,-0.177035,4.185738,-0.265223,1.352804,0
4,2,0.585846,2.846119,0.616686,0.997107,0
5,7,0.118616,4.594128,0.076512,0.959402,0
1,2,0.190101,6.251011,0.180541,1.027658,1
2,9,-0.021415,4.564996,-0.019612,0.695073,0
3,10,0.27467,4.219458,0.399213,1.088679,1
4,3,0.360173,3.188565,0.674601,1.195162,0
5,2,-0.449741,3.442915,-0.479286,0.233763,0
1,2,0.229805,4.541616,0.339987,1.048965,1
2,8,-0.077447,3.995826,-0.067449,0.698636,0
3,6,0.083219,3.931977,0.157482,1.072182,0
4,2,0.456451,3.601488,0.85159,0.901494,0
5,7,0.020201,3.859473,0.134243,0.934008,0
1,2,0.151508,4.552163,0.28216,1.081746,0
2,8,0.062763,3.765315,0.075856,0.919044,0
3,9,0.109667,3.667449,0.230934,1.027099,0
4,2,1.02177,3.85117,1.277309,0.937918,0
5,7,-0.243181,4.448673,-0.197995,0.9841,0
1,2,0.142336,3.503729,0.435624,0.916206,1
2,8,-0.299438,3.612764,-0.243776,0.661477,0
3,5,0.194375,3.758382,0.514349,0.87715,0
4,2,0.70115,3.570433,0.900167,0.859379,0
5,7,0.031527,3.635125,0.14769,0.889482,0
1,2,0.07594,5.252722,-0.00161,0.985044,0
2,8,0.242951,3.371703,0.252721,0.783134,0
3,8,0.152807,3.417787,0.076802,1.034123,0
4,2,0.78318,2.790591,0.826481,1.132559,0
5,7,-0.324323,4.188991,-0.517159,1.080457,0
1,2,0.123367,5.794505,-0.036947,1.066994,0
2,8,0.122898,3.788628,0.101892,0.726378,0
3,7,0.06598,3.754747,0.037021,0.841868,0
4,2,0.974654,4.479473,1.693262,1.050605,0
5,7,-0.232274,4.006843,-0.438353,1.157683,0
1,2,-0.001936,5.865826,-0.028648,0.798197,0
2,8,-0.188553,4.783542,-0.590487,0.853889,1
3,8,0.328242,4.19326,0.346765,1.544732,2
4,3,0.294296,3.476314,0.310178,1.08589,0
5,7,-0.050644,5.160203,-0.199073,0.987231,1
1,2,0.378178,5.853308,0.279046,1.294817,0
2,8,0.01649,3.704572,-0.193153,0.611084,0
3,8,0.340019,3.672899,0.317227,0.756767,0
4,2,0.473565,3.573718,0.690903,0.887835,0
5,7,-0.246363,5.855324,-0.267767,0.922181,0
1,2,0.453969,5.325631,0.241324,1.588199,1
2,8,0.323343,3.483463,0.128299,0.718997,0
3,6,-0.109163,4.185694,0.04116,0.81998,0
4,2,1.14558,2.64082,1.281627,1.126867,0
5,7,-0.374895,5.071835,-0.389024,1.085327,0
1,2,0.083163,5.18147,0.044033,0.965376,0
2,13,0.118453,6.312105,-0.063391,1.3283,0
3,7,0.060183,4.034402,0.021701,0.862286,0
4,2,1.371678,2.99686,1.401448,1.230448,0
5,7,-0.172628,5.47714,-0.349469,1.041497,0
1,2,0.266134,5.537619,0.338028,1.373489,1
2,11,-0.042379,5.832212,-0.041822,1.0435,0
3,5,0.339706,4.701641,0.392328,0.654514,0
4,2,0.580756,3.289836,1.019006,1.055158,0
5,7,-0.175241,5.590564,-0.300949,0.946183,0
1,2,0.190753,4.727714,0.190984,0.988322,0
2,8,0.035214,4.337568,-0.101375,0.873741,0
3,5,0.27005,4.048899,0.328368,0.774244,0
4,2,1.07515,4.150497,1.403101,1.031254,0
5,7,-0.278637,4.068149,-0.311355,1.0248,0
1,2,0.170231,5.945864,0.094911,0.953903,0
2,8,-0.015544,3.852648,-0.252091,0.679802,0
3,9,0.423311,3.865538,0.420349,1.066791,1
4,2,0.982788,3.064032,1.411062,1.034669,0
5,7,-0.372867,4.690851,-0.546041,1.061325,0
1,2,0.168007,3.752881,0.325253,1.030936,0
2,8,0.13526,3.491962,0.125266,0.768118,0
3,8,0.164591,3.339058,0.377231,0.700087,0
4,2,0.993542,3.240395,1.273095,1.024425,0
5,7,-0.315851,3.358328,-0.241078,0.942009,0
1,2,0.138438,5.387275,0.07199,0.827699,0
2,12,0.118408,4.290943,0.041215,1.890772,2
3,7,0.342397,3.750212,0.247507,1.013705,1
4,2,0.882675,2.968468,0.830996,1.162153,0
5,7,-0.42141,4.668016,-0.535922,1.116287,0
1,2,0.195893,5.612044,0.094169,0.947347,0
2,8,0.089418,5.015264,-0.017802,0.655624,0
3,7,-0.026185,3.981518,-0.065711,1.071038,0
4,2,1.076338,4.006695,1.199692,1.04719,0
5,7,-0.231659,4.225795,-0.32539,0.937486,0
1,2,0.17137,5.412522,0.14506,0.701496,1
2,8,0.000845,4.533209,0.074959,0.797642,0
3,7,0.460758,3.042725,0.523795,0.671992,0
4,2,0.634562,4.254125,0.622249,1.013042,0
5,7,-0.336765,3.879643,-0.406647,1.001145,1
1,2,-0.124299,4.485791,0.116323,0.863757,0
2,12,-0.018871,4.290601,-0.097184,1.405926,0
3,10,-0.063721,4.128358,0.139157,1.242058,1
4,2,0.950341,3.831747,1.159958,0.916291,0
5,9,-0.076758,4.150492,-0.107066,1.35005,1
1,2,0.444226,3.64003,0.39624,0.878509,0
2,8,0.029938,3.250854,0.000276,0.740122,0
3,2,0.07154,3.13997,0.253126,0.5717,0
4,2,0.874186,3.05365,1.001764,0.981171,0
5,7,-0.226791,3.752728,-0.117551,0.983404,0
1,2,0.061697,4.984469,-0.008326,0.948986,0
2,8,0.127284,4.892,0.025334,0.922098,0
3,7,0.166968,4.414368,0.082717,0.884011,1
4,2,0.883029,2.440765,1.071648,0.9106,0
5,7,-0.114208,4.977835,-0.174397,0.895395,0
1,2,0.413147,5.77454,0.394821,1.00799,0
2,8,0.145859,3.853193,-0.198303,1.089822,0
3,5,0.104985,3.006312,0.048434,1.151566,0
4,2,1.537946,6.408688,1.472718,1.077923,0
5,7,-0.377724,3.710599,-0.457265,1.109678,0
1,2,0.100312,5.387828,0.133409,0.857201,0
2,8,-0.176794,5.013164,-0.326608,1.139961,0
3,4,-0.030753,3.506631,0.006183,0.749416,0
4,2,1.270495,3.513744,1.555556,0.932227,0
5,7,-0.171456,4.205279,-0.189158,0.975751,0
1,2,0.342217,5.624294,0.179501,1.178447,0
2,8,0.111768,4.629398,-0.166204,0.865596,0
3,7,0.356222,3.739454,0.397265,0.974829,0
4,2,0.817149,2.709784,0.639492,0.941333,0
5,7,-0.37711,5.229867,-0.317776,1.097503,0
1,2,-0.285313,5.306196,-0.021485,0.844089,0
2,8,0.007947,3.733265,-0.393324,0.687947,0
3,7,0.390194,3.624596,0.325677,0.627399,0
4,2,0.824399,3.336079,0.507587,0.901494,0
5,7,-0.137315,4.985496,-0.101661,0.96288,1
1,2,0.221265,6.049521,0.128776,0.898177,0
2,8,-0.045668,4.852233,-0.334229,0.702454,0
3,6,0.499306,3.869079,0.590124,0.710541,1
