@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature10 numeric
@attribute bi_feature165 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0,0.333712,0.351086,0.410187,0
0,0,0,0,0,0,0,0.485798,0.523432,0.612526,0
0.003226,0,0,0.002153,0,0,0,0.725085,0.779931,0.922685,2
0,0,0,0.006579,0,0,0,0.704759,0.753976,0.891070,2
0.00271,0,0,0.005435,0.002717,0,0,0.414326,0.437165,0.509948,1
0,0,0,0,0,0,0,0.300577,0.316637,0.362719,0
0,0,0,0,0,0,0,0.467572,0.499536,0.584327,0
0.007326,0,0,0.001222,0.003667,0,0,0.617424,0.662622,0.781670,0
0,0,0,0,0,0,0,0.511578,0.545307,0.636515,0
0,0,0,0.008969,0,0,0,0.219433,0.222409,0.245220,0
0,0,0,0,0,0,0,0.342704,0.362024,0.413198,0
0,0,0,0.006289,0,0,0,0.475344,0.506735,0.591488,0
0,0,0,0.001529,0.004587,0,0,0.761309,0.819087,0.969041,0
0,0,0,0.025974,0.012987,0,0,0.568395,0.607128,0.712655,0
0,0,0,0.006645,0.003322,0,0,0.345132,0.362103,0.413314,0
0,0,0,0,0,0,0,0.532582,0.569294,0.663913,0
0,0,0,0.009202,0,0,0,0.562493,0.600470,0.707446,0
0,0,0,0,0.00277,0,0,0.692003,0.743248,0.878384,0
0,0,0,0.018182,0.009091,0,0,0.636614,0.676258,0.796190,0
0,0,0,0.003704,0.007407,0,0,0.240518,0.244761,0.270743,1
0,0,0,0.025974,0,0,0,0.477995,0.505593,0.593153,1
0,0,0,0.004644,0.003096,0,0,0.536233,0.573395,0.674440,0
0,0,0,0.001185,0,0,0,0.697231,0.749959,0.885607,1
0,0,0,0.024691,0.012346,0,0,0.592997,0.626598,0.738020,0
0,0,0,0.007246,0.01087,0,0,0.233929,0.232949,0.255736,0
0,0,0,0,0,0,0,0.208908,0.216329,0.239108,0
0,0,0,0.004376,0.002188,0,0,0.565116,0.604895,0.712088,0
0,0,0,0.003497,0.001166,0.001166,0,0.677979,0.727921,0.858682,1
0,0,0,0.010204,0,0,0,0.614530,0.655950,0.771008,0
0,0,0,0.007634,0.003817,0,0,0.288861,0.297313,0.335257,0
0,0,0,0.017241,0,0,0,0.427000,0.452301,0.531496,0
0,0,0,0.01417,0.006073,0,0,0.486393,0.517374,0.605220,0
0.002671,0,0,0.003565,0.001783,0,0,0.736300,0.791823,0.936428,1
0,0,0,0.02439,0.012195,0,0,0.617496,0.652875,0.768902,0
0,0,0,0,0,0,0,0.273984,0.280375,0.319775,0
0,0,0,0.013333,0,0,0,0.047320,0.055097,0.042903,2
0,0,0,0.001786,0.001786,0,0,0.315308,0.337398,0.393445,2
0,0,0,0,0.001361,0,0,0.702171,0.754337,0.891599,2
0,0,0,0.011628,0,0,0,0.512290,0.539198,0.631857,0
0,0,0,0.003484,0.003484,0,0,0.246748,0.246346,0.271167,0
0,0,0,0,0,0,0,0.434952,0.459692,0.536647,2
0,0,0,0.003466,0.003466,0,0,0.506527,0.541835,0.637011,1
0,0,0,0,0,0,0,0.672132,0.722630,0.852664,1
0,0,0,0.03125,0.015625,0,0,0.489742,0.510531,0.596184,0
0,0,0,0.010638,0.003546,0,0,0.256960,0.256540,0.287366,0
0,0,0,0.010309,0,0,0,0.359534,0.376151,0.433989,1
0,0,0.00277,0.01108,0.00831,0,0,0.400087,0.424589,0.495440,0
0.008117,0,0,0.001626,0,0,0,0.580788,0.623354,0.734412,0
0,0,0,0.011905,0.011905,0,0,0.408341,0.425447,0.493325,0
0,0,0,0,0.004,0,0,0.272187,0.279413,0.314247,0
0,0,0,0,0,0,0,0.551071,0.589627,0.691503,0
0,0,0,0.005747,0.005747,0,0,0.511130,0.543739,0.635984,0
0,0,0,0,0.002252,0,0,0.776319,0.834919,0.987846,0
0,0,0,0,0,0,0,0.625052,0.671407,0.789181,0
0,0,0,0.003922,0,0,0,0.245173,0.249090,0.276265,0
0,0,0,0,0,0,0,0.320039,0.335280,0.380985,0
0.00409,0,0,0.006148,0.002049,0,0,0.356532,0.377267,0.434105,0
0,0,0,0.002342,0.002342,0,0,0.750605,0.806575,0.953270,0
0,0,0,0.023529,0,0,0,0.529580,0.559142,0.655972,0
0,0,0,0.004082,0.008163,0,0,0.213496,0.212266,0.229920,0
0,0,0,0.053571,0,0,0,0.295486,0.304620,0.348118,0
0.007538,0,0,0.005038,0.002519,0,0,0.467601,0.499628,0.587839,0
0,0,0,0,0.003241,0,0,0.706174,0.759621,0.896968,0
0,0,0,0.011236,0.022472,0,0,0.600701,0.631338,0.741299,0
0,0,0,0.011976,0,0,0,0.328121,0.338704,0.388175,0
0,0,0,0,0,0,0,0.306299,0.322716,0.373502,0
0,0,0,0,0,0,0,0.464197,0.495342,0.579972,0
0,0,0,0.001969,0.000984,0,0,0.710351,0.764182,0.903723,2
0,0,0,0.022989,0,0,0,0.572856,0.604079,0.710228,0
0,0,0,0.008065,0,0,0,0.252786,0.261783,0.298510,0
0,0,0,0.016129,0,0,0,0.415939,0.440374,0.507491,0
0,0,0,0.006276,0.004184,0,0,0.500700,0.534483,0.628786,0
0.017383,0,0.001832,0,0,0,0,0.251941,0.273959,0.316295,1
0.044944,0,0,0,0,0,0,0.030689,0.040994,0.031155,0
0.013201,0,0,0,0,0,0,0.044721,0.059878,0.045722,0
0.123077,0,0,0,0,0,0,0.058537,0.058828,0.054488,0
0.031088,0.002597,0,0.007792,0.005195,0,0,0.303656,0.325936,0.376588,1
0.006783,0,0,0.00194,0,0,0.00097,0.611614,0.657763,0.776145,2
0.02439,0,0,0,0,0,0,0.411498,0.439680,0.512875,0
0.002994,0,0,0.006006,0.006006,0,0,0.148131,0.151310,0.158083,0
0.024096,0.012195,0.012195,0,0,0,0,0.160709,0.170086,0.186228,1
0.035484,0,0,0.003236,0,0,0,0.242692,0.262853,0.298455,0
0.0125,0,0.003755,0,0.001252,0,0,0.551117,0.593586,0.699535,1
0,0,0,0,0,0,0,0.566253,0.604798,0.706353,0
0.008264,0,0.004149,0,0,0,0,0.118355,0.128956,0.130037,1
0,0,0,0.016949,0,0,0,0.408462,0.428734,0.495330,0
0,0,0,0.006353,0.001271,0,0,0.612905,0.656197,0.772853,0
0.002299,0,0,0.002304,0,0,0,0.693468,0.746319,0.881220,0
0,0,0,0.021277,0,0,0,0.330339,0.348906,0.405077,0
0,0,0,0.009174,0,0,0,0.263314,0.269177,0.297174,0
0,0,0,0.018519,0,0,0,0.304935,0.319196,0.360854,0
0,0,0,0.002924,0.002924,0,0,0.555467,0.594023,0.697120,0
0.017002,0.001548,0.003096,0,0.001548,0,0,0.533174,0.573911,0.675580,0
0,0,0,0,0,0,0,0.505829,0.538924,0.632543,0
0,0,0,0.010909,0.003636,0,0,0.244889,0.250285,0.280211,0
0,0,0,0.016949,0,0,0,0.307706,0.309730,0.351261,0
0.00361,0,0,0.003623,0,0,0,0.365226,0.387506,0.448946,0
0,0,0,0,0,0,0,0.757936,0.816636,0.966690,0
0,0,0,0,0.012821,0,0,0.526211,0.555053,0.648899,0
0,0,0,0.003663,0.007326,0,0,0.242615,0.247035,0.273874,0
0,0,0,0.016949,0,0,0,0.394825,0.416048,0.487503,2
0,0,0,0.002703,0,0,0,0.409898,0.440020,0.513429,0
