@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature3 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data
1,2,-0.026514,3.659692,1.187431,1
2,8,-0.187858,3.389889,0.894774,2
3,2,-0.053719,3.511417,0.51437,1
4,2,0.829756,3.68832,0.903182,0
5,7,0.011575,3.691581,1.099614,2
1,2,0.396272,4.929609,0.850037,0
2,8,0.053926,4.360455,0.976557,1
3,6,0.19589,5.654631,1.00058,2
4,2,0.564668,4.000085,1.020939,1
5,7,-0.236352,4.20734,0.98743,1
1,2,0.242624,5.033199,0.972875,2
2,10,-0.114853,3.864322,1.057321,1
3,7,-0.591415,3.093536,1.211193,0
4,2,0.524672,2.796639,0.895179,0
5,7,0.250001,5.78014,0.983903,2
1,2,-0.335751,3.066823,0.966323,0
2,8,-0.150114,3.570451,1.232862,0
3,7,0.34776,3.586543,1.348825,2
4,2,1.101068,3.510934,1.026655,0
5,7,-0.21559,4.149177,1.002247,0
1,2,-0.761086,3.176732,0.876242,0
2,8,0.048259,4.109473,0.860124,0
3,5,-0.356694,3.447432,1.063897,0
4,2,0.459249,2.539034,0.840303,0
5,7,0.117024,4.292822,0.871366,0
1,2,-0.255777,3.995587,0.87788,0
2,8,-0.028734,3.585036,0.790316,0
3,7,-0.189227,3.620939,0.75081,0
4,2,1.219914,3.050896,1.065527,0
5,7,-0.070266,3.83573,0.802574,0
1,2,-0.356086,4.666383,1.051491,1
2,8,-0.106791,3.797649,1.326874,0
3,7,-0.177035,4.185738,1.379984,0
4,2,0.585846,2.846119,1.001503,0
5,7,0.118616,4.594128,0.972966,0
1,2,0.190101,6.251011,1.026923,1
2,9,-0.021415,4.564996,0.695794,0
3,10,0.27467,4.219458,1.110552,1
4,3,0.360173,3.188565,1.200432,0
5,2,-0.449741,3.442915,0.237068,0
1,2,0.229805,4.541616,1.048215,1
2,8,-0.077447,3.995826,0.699361,0
3,6,0.083219,3.931977,1.093723,0
4,2,0.456451,3.601488,0.905469,0
5,7,0.020201,3.859473,0.947214,0
1,2,0.151508,4.552163,1.080972,0
