@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

2,1.104869,0
3,1.537691,2
5,1.282225,1
1,0.909816,0
2,0.994997,0
3,1.3542,0
4,0.915035,0
5,0.779896,0
2,0.819304,0
3,1.083922,0
5,0.94317,1
3,1.398502,1
5,0.963667,0
1,0.82785,0
2,1.17402,0
3,1.420323,1
5,0.915726,0
3,1.858057,1
1,1.260627,2
2,1.43884,2
3,1.21749,2
5,1.002227,0
2,1.482635,1
3,1.003582,1
5,0.9859,0
2,0.927639,0
3,1.019287,0
4,0.97657,0
1,1.157351,0
2,1.254439,0
5,0.857017,0
1,0.936045,0
2,1.020096,0
3,1.022923,0
3,1.68217,2
3,1.808465,1
4,1.016453,0
5,1.053641,0
1,1.077025,0
2,0.989106,1
3,1.70614,2
4,0.945803,0
5,1.162722,0
1,1.370461,1
2,0.795998,0
3,1.322626,1
4,1.027848,0
5,0.842774,1
2,2.020471,0
3,0.719749,0
4,1.084824,0
5,1.140837,0
1,0.909816,0
3,1.071193,0
4,0.915035,0
5,0.95915,0
1,0.991781,0
2,0.710968,0
3,0.696276,0
2,0.950946,0
3,1.946001,1
5,2.072891,2
1,0.909816,0
2,0.862843,0
3,0.751819,0
4,0.993662,0
5,1.148479,0
1,0.793425,0
2,1.280562,0
1,0.847522,0
2,1.047244,0
3,0.818107,0
4,1.174846,0
5,1.012996,0
1,1.70488,2
2,0.654624,0
3,0.889851,0
4,0.894524,0
1,0.704902,0
2,0.694065,0
3,1.03995,0
4,0.973151,0
2,0.979118,1
3,0.939608,1
4,1.025569,0
5,0.822625,0
1,1.006535,0
2,0.757069,0
3,0.571468,0
4,0.994802,0
5,0.939002,0
2,0.981679,1
3,0.992672,2
2,1.062867,1
3,1.201621,0
1,0.967191,0
2,1.239328,0
3,1.338165,2
5,0.986942,0
1,0.877029,0
1,0.878669,0
3,0.744876,0
4,1.062034,0
5,0.790318,0
1,1.027846,1
2,0.699443,0
3,1.101775,1
4,1.196497,0
1,1.049157,1
2,0.703029,0
3,1.085079,0
4,0.902501,0
2,0.924822,0
3,1.039454,0
5,0.982773,0
3,0.887702,0
5,0.888282,0
1,0.985224,0
2,0.788058,0
3,1.046562,0
1,1.067189,0
3,0.851995,0
2,0.859257,1
3,1.563314,2
4,1.087103,0
1,1.295053,0
2,0.614926,0
3,0.76587,0
5,0.920937,0
1,1.588489,1
2,0.723518,0
3,0.829844,0
1,0.965552,0
2,1.336651,0
3,0.872659,0
4,1.231822,0
5,1.040093,0
1,1.37374,1
2,1.050061,0
3,0.662388,0
4,1.056336,0
5,0.944907,0
1,0.988502,0
2,0.879234,0
3,0.783558,0
1,0.954077,0
2,0.684076,0
3,0.708508,0
5,1.114782,0
1,0.94752,0
2,0.659746,0
3,1.083922,0
5,0.936223,0
2,0.802657,0
5,0.999795,1
1,0.863915,0
2,1.414765,0
3,1.256999,1
5,1.34823,1
1,0.878669,0
2,0.744775,0
3,0.578577,0
1,0.949159,0
2,0.927896,0
3,0.894645,1
4,0.911617,0
5,0.894188,0
3,1.165419,0
4,1.079126,0
2,1.147128,0
3,0.758431,0
4,0.933268,0
5,0.974436,0
2,0.871039,0
1,0.844243,0
2,0.692272,0
5,0.961582,1
2,0.779094,0
3,0.702227,0
4,0.981128,0
5,1.206494,0
1,0.811457,0
2,1.090783,0
3,0.641393,0
4,1.006197,0
5,0.862923,0
5,0.950118,2
2,1.289526,0
3,1.066399,0
5,1.038356,0
3,0.947213,0
2,0.894345,0
3,1.236997,1
4,0.847804,0
5,0.989721,0
1,0.896701,0
2,0.758861,0
3,0.853814,0
4,0.921873,0
1,0.826211,0
2,0.680235,0
3,0.582709,0
4,0.997081,0
5,1.109224,1
1,0.999978,0
2,0.944031,1
3,0.800089,0
5,2.095124,0
2,1.284148,0
3,0.900761,1
2,0.691504,0
3,0.616928,0
5,0.908084,0
2,1.003961,2
3,1.311881,2
4,1.088243,0
5,1.011954,2
2,0.919444,0
3,0.990523,1
5,0.875776,1
