@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature33 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature961 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.008333,0,0,0,0,0.542961,0.579527,0.650652,0
0.004175,0.010438,0,0,0,0.052925,0.583988,0.629618,0.705296,0
0.008065,0.025161,0.000323,0,0,0.012262,0.828813,0.895043,1.013849,2
0,0.035225,0,0,0,0.001961,0.808637,0.870930,0.986615,2
0.004878,0.134959,0.000813,0,0,0.047193,0.529600,0.562445,0.631702,1
0,0.027174,0,0,0,0.092896,0.408841,0.436198,0.480640,0
0.004637,0.047913,0,0,0,0.066512,0.571012,0.612427,0.687814,0
0.016484,0.020513,0.001832,0,0,0.004764,0.722648,0.779588,0.880719,0
0,0.041199,0,0,0,0.033835,0.613904,0.659374,0.740183,0
0.001337,0.078877,0,0,0,0.123159,0.270413,0.280740,0.303957,0
0,0.09434,0,0,0,0.094937,0.426053,0.451870,0.504240,0
0.003752,0.074109,0.000938,0,0,0.022535,0.576314,0.616745,0.691584,0
0,0.009153,0,0,0,0.007784,0.858062,0.927474,1.049404,0
0,0.080153,0,0,0,0,0.655560,0.701983,0.792101,0
0,0.063429,0.001982,0,0,0.068452,0.423505,0.449359,0.496376,0
0,0.004202,0,0,0,0.07173,0.621410,0.669914,0.751342,0
0,0.109224,0.000918,0,0,0.049587,0.656502,0.702039,0.790228,0
0,0.011589,0.000828,0,0,0.014913,0.792847,0.855879,0.966338,0
0,0.102703,0.002703,0,0,0,0.722669,0.773618,0.875064,0
0,0.089602,0.001106,0,0,0.088594,0.299289,0.312684,0.335722,1
0,0.176923,0,0,0,0.07722,0.577351,0.612229,0.690287,1
0,0.078777,0.000463,0,0,0.077886,0.641479,0.687531,0.772267,0
0.00674,0.00674,0,0,0,0.007807,0.797356,0.861766,0.973406,1
0,0.170909,0.007273,0,0,0,0.686773,0.731349,0.826962,0
0,0.084416,0.002165,0,0,0.105092,0.287755,0.299989,0.323457,0
0.005952,0.029762,0,0,0,0.155689,0.280908,0.298097,0.327153,0
0,0.048461,0,0,0,0.065531,0.660777,0.709692,0.800654,0
0.001048,0.026895,0,0,0,0.012928,0.775203,0.836020,0.944564,1
0,0.066066,0.003003,0,0,0.012048,0.714835,0.767371,0.867129,0
0,0.07631,0.002278,0,0,0.153934,0.347608,0.365957,0.401708,0
0,0.171717,0,0,0,0.142132,0.521326,0.551773,0.621843,0
0,0.108959,0.002421,0,0,0.081769,0.585110,0.624733,0.701372,0
0.007475,0.023492,0.001068,0,0,0.00988,0.830211,0.896627,1.015345,1
0,0.129496,0.007194,0,0,0,0.706245,0.754113,0.852834,0
0,0.014756,0,0,0,0.021591,0.357049,0.375579,0.405888,0
0.035156,0.039062,0,0,0,0.039216,0.068502,0.072457,0.071678,2
0.020833,0.068376,0.000534,0,0,0.098343,0.409053,0.436882,0.489288,2
0.00163,0.012225,0,0,0,0.004077,0.799771,0.863266,0.975392,2
0,0.072165,0,0,0,0.003448,0.611051,0.651067,0.734769,0
0,0.044745,0.001041,0,0,0.0625,0.294815,0.307398,0.332096,0
0,0.175214,0,0,0,0.103004,0.527352,0.558070,0.627404,2
0,0.11353,0.000518,0,0,0.077282,0.606609,0.647980,0.729020,1
0.001483,0.003955,0,0,0,0.007418,0.775847,0.838046,0.943373,1
0,0.191781,0,0,0,0,0.583210,0.616121,0.695298,0
0,0.17037,0.005291,0,0,0.084746,0.312571,0.322368,0.349683,0
0,0.167173,0,0,0,0.112805,0.454239,0.478517,0.534627,1
0.011599,0.104391,0.000829,0,0,0.063018,0.498898,0.531003,0.594761,0
0.02871,0.018978,0,0,0,0.004869,0.680121,0.733919,0.827817,0
0,0.105263,0,0,0,0.021127,0.509800,0.542115,0.608026,0
0,0.036949,0.001192,0,0,0.097852,0.329722,0.346716,0.378814,0
0,0.033951,0,0,0,0.142415,0.643585,0.691595,0.781461,0
0,0.066895,0,0,0,0.054077,0.606103,0.649093,0.727969,0
0,0.013477,0,0,0,0.003372,0.873084,0.943420,1.068244,0
0,0.023256,0,0,0,0.086667,0.717944,0.774162,0.874741,0
0,0.049065,0.004673,0,0,0.080702,0.306060,0.320269,0.346125,0
0,0.110638,0,0,0,0.034188,0.384785,0.407356,0.452141,0
0.011029,0.106005,0.000613,0,0,0.049663,0.447918,0.475635,0.525658,0
0,0.023826,0,0,0,0.007714,0.843114,0.910322,1.030447,0
0,0.208333,0,0,0,0,0.616814,0.653518,0.737619,0
0.00365,0.088808,0.001217,0,0,0.031669,0.265131,0.273797,0.295966,0
0,0.147368,0,0,0,0.084656,0.364211,0.381197,0.426220,0
0.014318,0.10324,0,0,0,0.07089,0.579041,0.618769,0.696014,0
0,0.007274,0,0,0,0.006793,0.809267,0.874584,0.987038,0
0,0.096667,0,0,0,0,0.692065,0.739505,0.836067,0
0,0.152952,0,0,0,0.125336,0.390752,0.408882,0.452000,0
0,0.026432,0,0,0,0.181416,0.400525,0.423701,0.473711,0
0,0.075452,0,0,0,0.05,0.580949,0.621552,0.695580,0
0.002949,0.018873,0.000295,0,0,0.011209,0.814855,0.879883,0.995237,2
0,0.111486,0.003378,0,0,0.013559,0.665389,0.710110,0.802930,0
0,0.153012,0.001205,0,0,0.199035,0.342734,0.357835,0.393440,0
0,0.051643,0,0,0,0.09434,0.509782,0.545298,0.604388,0
0,0.107567,0.001876,0,0,0.081977,0.605155,0.646072,0.727450,0
0.050741,0.005211,0,0,0,0.006584,0.289245,0.314449,0.348297,1
0.124579,0,0,0,0,0,0.032733,0.036271,0.032160,0
0.024752,0.00198,0,0,0,0.00892,0.044199,0.050034,0.045851,0
0.197248,0.004587,0,0.004608,0,0.124424,0.125638,0.131598,0.135189,0
0.059829,0.095571,0,0,0,0.05521,0.380581,0.405027,0.451771,1
0.021802,0.011919,0.000291,0,0,0.013085,0.718760,0.776773,0.877709,2
0.036232,0.086957,0,0,0,0.04,0.507468,0.543491,0.611491,0
0.011659,0.087892,0,0,0,0.073609,0.184471,0.190686,0.201182,0
0.115108,0.068345,0,0,0.00361,0.036101,0.251531,0.267321,0.288687,1
0.07343,0.021256,0,0,0,0.034816,0.317406,0.341530,0.376749,0
0.04126,0.009377,0.000375,0.00075,0,0.008255,0.650715,0.703396,0.793369,1
0,0.063333,0.003333,0,0,0,0.646018,0.693602,0.782844,0
0.030941,0.032178,0,0,0,0.030979,0.152989,0.161936,0.165526,1
0,0.149254,0,0,0,0.02,0.488131,0.515396,0.575178,0
0.004945,0.050209,0.001141,0,0,0.024353,0.702305,0.755529,0.852136,0
0.004135,0.012405,0,0,0,0.00069,0.800354,0.865019,0.978201,0
0.018927,0.148265,0,0,0,0,0.460025,0.487768,0.546764,0
0.005484,0.091408,0.001828,0,0,0.05032,0.311658,0.325923,0.355536,0
0,0.097826,0,0,0,0.027322,0.377687,0.398435,0.440810,0
0,0.059493,0.000875,0,0,0.04641,0.656446,0.704892,0.792638,0
0.041223,0.006948,0,0,0,0.007414,0.641552,0.693633,0.780381,0
0.003745,0.074906,0,0,0,0,0.608749,0.652137,0.735961,0
0,0.131522,0.002174,0,0,0.080522,0.314189,0.326192,0.357067,0
0.00995,0.164179,0,0,0,0,0.391147,0.407239,0.455533,0
0.015135,0.122162,0.001081,0,0,0.073593,0.468940,0.498090,0.553726,0
0.003564,0.012117,0.000713,0,0,0,0.855829,0.925411,1.048165,0
0,0.098859,0.003802,0,0,0,0.621697,0.663584,0.745938,0
0,0.122538,0.002188,0,0,0.077766,0.305112,0.317512,0.344847,0
0,0.135,0,0,0,0.070352,0.501869,0.530228,0.594608,2
0.003234,0.046079,0,0,0,0.042071,0.502268,0.539034,0.604899,0
0.001275,0.01504,0.000255,0,0,0.002805,0.778228,0.839379,0.948852,1
0,0.182825,0.00831,0,0,0.044444,0.581874,0.617196,0.696958,2
0.037223,0.084507,0,0,0,0.063412,0.395921,0.418457,0.463996,2
0,0.152174,0.005435,0,0,0,0.261055,0.265565,0.292205,0
0,0.099822,0.000891,0,0,0.03479,0.543382,0.578810,0.648240,0
0.056106,0.014521,0,0,0,0.007926,0.554480,0.598913,0.672031,0
0.089655,0.158621,0.003448,0,0,0,0.414492,0.434955,0.487884,0
0.009991,0.112625,0,0,0,0.038182,0.348052,0.365284,0.400508,0
0.074534,0.111801,0,0,0,0.025,0.250196,0.260224,0.278970,0
0.006002,0.033613,0.0006,0,0,0.021021,0.691246,0.745023,0.838772,0
0,0.005692,0,0,0,0.009681,0.857827,0.927485,1.049107,0
0,0.150735,0,0,0,0,0.644758,0.686633,0.774018,0
0,0.134541,0.002587,0,0,0.067358,0.257658,0.264392,0.282356,0
0,0.098837,0,0,0,0.070175,0.258823,0.268965,0.291608,0
0.020558,0.093979,0.000734,0,0,0.019838,0.540300,0.577703,0.646753,0
0.021831,0.004245,0,0,0,0.003034,0.749711,0.810605,0.916689,0
0.058309,0.037901,0.002915,0,0,0,0.398663,0.426959,0.474978,0
0.021627,0.143151,0.00309,0,0,0.041237,0.256818,0.263591,0.280943,0
0.054913,0.034682,0,0,0,0.049275,0.532294,0.572579,0.644846,2
0.003525,0.121034,0,0,0,0.022353,0.443576,0.470313,0.519336,0
0,0.001672,0,0,0,0.007808,0.868317,0.939344,1.062421,0
0,0.145594,0,0,0,0.05,0.551991,0.587413,0.661526,0
0,0.09185,0,0,0,0.088083,0.298182,0.311206,0.334759,0
0,0.034965,0,0,0,0.239437,0.157842,0.163860,0.168442,0
0,0.035437,0.001107,0,0,0.047672,0.614920,0.660787,0.743788,0
0.010496,0.005248,0,0,0,0.010979,0.725812,0.784562,0.884720,0
0.028169,0.119718,0,0,0,0,0.539469,0.572940,0.646246,0
0,0.22,0.002667,0,0,0.168224,0.244166,0.245465,0.265787,0
0,0.09434,0,0,0,0.025316,0.483145,0.513189,0.572832,0
0,0.059524,0.00119,0,0,0.027414,0.587609,0.629811,0.704794,0
0,0.011121,0.000855,0,0,0.002568,0.902449,0.975741,1.105772,0
0,0.167315,0,0,0,0,0.608813,0.646784,0.729007,0
0,0.095528,0,0,0,0.061038,0.326650,0.339905,0.372247,1
0,0.041667,0,0,0,0.083832,0.462211,0.493294,0.546910,2
0,0.023548,0,0,0,0.063629,0.605835,0.650761,0.730302,1
0.012672,0.013728,0.001584,0.000528,0,0.001585,0.683424,0.737689,0.834321,1
0.043478,0.187291,0.003344,0,0,0,0.457372,0.481420,0.541094,0
0.029151,0.031686,0,0,0,0.050761,0.172087,0.181619,0.191265,0
0.068627,0.083333,0.004902,0,0,0.157635,0.275639,0.290361,0.320360,0
0.013198,0.026396,0.001015,0,0,0.067073,0.444504,0.479058,0.538097,0
0.002604,0.003472,0,0,0,0.003475,0.843762,0.912627,1.033072,0
0.017241,0.12069,0,0,0,0.013841,0.439378,0.464411,0.520439,0
0,0.078889,0,0,0,0.106785,0.248260,0.255937,0.273916,0
0,0.062241,0,0,0,0.033333,0.569120,0.608719,0.683753,1
0,0.079487,0.000855,0,0,0.05047,0.639829,0.685810,0.771098,2
0,0.006809,0,0,0,0.002921,0.888985,0.961230,1.089064,1
0,0.064639,0,0,0,0,0.642010,0.686420,0.773197,0
0,0.086705,0,0,0,0.086789,0.317005,0.330037,0.360030,2
0,0.063953,0.005814,0,0,0.005848,0.408157,0.427840,0.477941,0
0.007048,0.068128,0.000783,0,0,0.055643,0.607686,0.651325,0.733283,1
0,0.02049,0.001499,0,0,0.0065,0.854715,0.922740,1.045368,2
0,0.084175,0,0,0,0.023649,0.657581,0.703538,0.793944,1
0,0.079399,0.001073,0,0,0.07304,0.225663,0.231856,0.245246,1
0,0.152284,0,0,0,0.132653,0.418682,0.439436,0.493787,2
0.000723,0.095445,0.000723,0,0,0.096961,0.472790,0.503470,0.562633,1
0.02725,0.004955,0,0,0,0.005783,0.689756,0.745867,0.841151,0
0,0.05,0.003846,0,0,0.027027,0.661119,0.708951,0.799011,0
0,0.076426,0.002153,0,0,0.141164,0.334958,0.349177,0.384520,2
0.127551,0.015306,0,0,0,0.117949,0.156143,0.162838,0.169557,0
0.001241,0.055831,0.00062,0,0,0.024209,0.634490,0.682032,0.767244,0
0.004077,0.028169,0.000371,0,0,0.004449,0.799448,0.862778,0.976325,2
0,0.086957,0,0,0,0.010067,0.669417,0.715561,0.808480,0
0.031712,0.063425,0,0,0,0.073016,0.211402,0.220962,0.232511,0
0.02809,0,0,0,0,0.169492,0.387914,0.416908,0.457501,0
0,0.081778,0,0,0,0.052491,0.625134,0.669313,0.753025,0
0,0.003759,0,0,0,0.007052,0.867119,0.937406,1.060955,0
0,0.114754,0,0,0,0.053498,0.598846,0.637675,0.719074,0
0,0.125152,0,0,0,0.104623,0.250301,0.256335,0.275514,0
0.011236,0.129213,0.005618,0,0,0.050847,0.252458,0.260118,0.281343,0
0,0.090997,0.000968,0,0,0.033915,0.589684,0.629529,0.706519,0
0.000666,0.01932,0,0,0,0.007333,0.788280,0.850609,0.961041,0
0.022581,0.158065,0,0,0,0,0.481924,0.509685,0.573477,0
0,0.174142,0.001319,0,0,0.044914,0.249968,0.254608,0.272212,0
0,0.032864,0,0,0,0.226415,0.510052,0.546788,0.612516,1
0,0.053026,0,0,0,0.051326,0.677580,0.728521,0.821176,0
0,0.000725,0,0,0,0.005074,0.860141,0.929981,1.052139,0
0,0.106529,0,0,0,0.051724,0.670334,0.716257,0.809871,0
0,0.106638,0,0,0,0.140523,0.310820,0.322391,0.353714,0
0,0.105023,0.004566,0,0,0.009174,0.556757,0.591888,0.666329,0
0,0.085619,0.001663,0,0,0.043261,0.627050,0.670964,0.754657,0
0.004773,0.025776,0.001909,0,0,0.006686,0.780322,0.841518,0.952194,0
0,0.076642,0,0,0,0.014652,0.649148,0.693198,0.782985,0
0.011677,0.117834,0,0,0,0.088204,0.261992,0.270614,0.289464,0
0,0.102151,0,0,0,0.027027,0.458296,0.481826,0.539841,1
0,0.030023,0,0,0,0.034682,0.409080,0.435134,0.479054,0
0.005031,0.022918,0.000559,0,0,0.010626,0.806305,0.870065,0.984952,0
0,0.119522,0.003984,0,0,0,0.559312,0.593474,0.667068,0
0.002347,0.156103,0.004695,0,0,0.054054,0.296739,0.306404,0.335721,0
0,0.085,0,0,0,0.105528,0.435394,0.462499,0.518865,0
0,0.113171,0.000976,0,0,0.125,0.503696,0.534294,0.600702,0
0.005213,0.017062,0,0,0,0.004742,0.796050,0.859805,0.972999,0
0,0.138973,0,0,0,0.009091,0.673624,0.718834,0.812025,0
0,0.028019,0.001932,0,0,0.104449,0.316763,0.334706,0.362386,0
0,0.078704,0,0,0,0.097674,0.392819,0.416549,0.464118,0
0,0.098843,0.001052,0,0,0.115789,0.507041,0.538236,0.603386,0
0.002912,0.012231,0,0,0,0.01049,0.834714,0.901639,1.020921,0
0,0.13355,0,0,0,0.042484,0.644588,0.687640,0.776834,0
0,0.07394,0.001803,0,0,0.187726,0.311017,0.326180,0.356257,0
0,0.049383,0,0,0,0.018634,0.395363,0.419127,0.462497,0
0,0.06619,0,0,0,0.10564,0.557176,0.596710,0.669353,1
0.017449,0.011421,0.000317,0,0,0.00476,0.751499,0.811927,0.918768,2
0,0.069401,0,0,0,0.037975,0.577880,0.618666,0.696791,0
0,0.096296,0.001058,0,0,0.161017,0.306295,0.318949,0.350221,1
0.003802,0.087452,0,0,0,0,0.524447,0.558647,0.626383,0
0.00625,0.11875,0,0,0,0.125156,0.461758,0.489357,0.546434,0
