@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.498,0.402,0.1,0.217,0.513,0
0.308,0.665,0.026,0.229,0.419,0
0.01,0.335,0.655,0.22,0.212,2
0.321,0.139,0.539,0.283,0.199,2
0.032,0.495,0.473,0.534,0.413,1
0.142,0.774,0.083,0.209,0.586,0
0.708,0.146,0.146,0.244,0.422,0
0.078,0.314,0.608,0.248,0.232,0
0.314,0.426,0.26,0.281,0.359,0
0.809,0.159,0.033,0.297,0.542,0
0.833,0.143,0.024,0.335,0.422,0
0.625,0.149,0.226,0.317,0.327,0
0.769,0.172,0.058,0.21,0.236,0
0.436,0.318,0.246,0.416,0.191,0
0.678,0.221,0.102,0.284,0.48,0
0.123,0.743,0.134,0.217,0.422,0
0.025,0.033,0.942,0.307,0.294,0
0.018,0.93,0.052,0.214,0.287,0
0.623,0.083,0.294,0.386,0.171,0
0.145,0.702,0.153,0.381,0.436,1
0.062,0.656,0.282,0.358,0.299,1
0.05,0.224,0.725,0.277,0.339,0
0.188,0.73,0.082,0.213,0.261,1
0.521,0.284,0.195,0.464,0.139,0
0.485,0.188,0.326,0.35,0.474,0
0.88,0.057,0.062,0.314,0.516,0
0.134,0.434,0.431,0.246,0.358,0
0.008,0.796,0.195,0.234,0.276,1
0.564,0.141,0.295,0.357,0.199,0
0.69,0.182,0.128,0.366,0.427,0
0.047,0.584,0.37,0.309,0.387,0
0.101,0.294,0.604,0.325,0.326,0
0.006,0.342,0.652,0.219,0.217,1
0.941,0.015,0.044,0.516,0.097,0
0.967,0.012,0.021,0.244,0.57,0
0.317,0.25,0.432,0.275,0.567,2
0.119,0.042,0.839,0.225,0.525,2
0.01,0.601,0.389,0.212,0.275,2
0.38,0.512,0.108,0.339,0.295,0
0.444,0.49,0.066,0.321,0.502,0
0.331,0.198,0.471,0.217,0.502,2
0.015,0.519,0.467,0.243,0.407,1
0.219,0.752,0.029,0.212,0.304,1
0.829,0.131,0.04,0.646,0.084,0
0.608,0.198,0.195,0.475,0.332,0
0.04,0.211,0.749,0.33,0.415,1
0.75,0.173,0.076,0.292,0.399,0
0.06,0.473,0.468,0.222,0.248,0
0.298,0.259,0.443,0.498,0.215,0
0.544,0.412,0.044,0.292,0.52,0
0.059,0.254,0.688,0.267,0.347,0
0.513,0.364,0.123,0.306,0.332,0
0.883,0.044,0.073,0.207,0.226,0
0.715,0.096,0.189,0.212,0.354,0
0.565,0.281,0.155,0.313,0.506,0
0.176,0.612,0.212,0.288,0.499,0
0.208,0.046,0.746,0.308,0.403,0
0.595,0.127,0.278,0.222,0.232,0
0.786,0.022,0.192,0.47,0.171,0
0.782,0.169,0.049,0.461,0.362,0
0.498,0.275,0.228,0.661,0.149,0
0.082,0.569,0.349,0.267,0.336,0
0.242,0.726,0.032,0.214,0.273,0
0.594,0.275,0.131,0.498,0.114,0
0.594,0.195,0.211,0.39,0.379,0
0.4,0.417,0.184,0.208,0.593,0
0.529,0.43,0.041,0.218,0.467,0
0.014,0.196,0.791,0.222,0.249,2
0.717,0.127,0.156,0.451,0.158,0
0.495,0.351,0.154,0.403,0.395,0
0.175,0.732,0.094,0.303,0.408,0
0.128,0.212,0.66,0.292,0.35,0
0.032,0.584,0.384,0.24,0.422,1
0.081,0.008,0.911,0.232,0.279,0
0.436,0.471,0.093,0.19,0.688,0
0.648,0.226,0.126,0.127,0.044,0
0.245,0.693,0.062,0.366,0.564,1
0.01,0.786,0.205,0.224,0.244,2
0.321,0.385,0.294,0.275,0.285,0
0.342,0.473,0.185,0.49,0.353,0
0.359,0.442,0.199,0.045,0.814,1
0.351,0.641,0.008,0.24,0.324,0
0.039,0.791,0.17,0.195,0.295,1
0.814,0.064,0.122,0.389,0.214,0
0.667,0.299,0.035,0.25,0.575,1
0.252,0.532,0.216,0.621,0.132,0
0.02,0.163,0.817,0.293,0.252,0
0.541,0.446,0.013,0.209,0.267,0
0.854,0.013,0.133,0.337,0.356,0
0.506,0.336,0.158,0.393,0.404,0
0.429,0.525,0.046,0.437,0.339,0
0.437,0.428,0.135,0.243,0.368,0
0.394,0.538,0.068,0.213,0.238,0
0.516,0.168,0.316,0.281,0.361,0
0.76,0.161,0.079,0.304,0.516,0
0.483,0.456,0.061,0.637,0.158,0
0.927,0.028,0.045,0.276,0.436,0
0.314,0.294,0.391,0.2,0.235,0
0.711,0.125,0.163,0.567,0.111,0
0.668,0.237,0.095,0.328,0.493,0
0.481,0.314,0.205,0.309,0.411,2
0.343,0.559,0.098,0.231,0.489,0
0.008,0.795,0.197,0.236,0.27,1
0.074,0.041,0.885,0.478,0.186,2
0.002,0.087,0.911,0.293,0.348,2
0.678,0.29,0.032,0.345,0.354,0
0.254,0.422,0.323,0.239,0.319,0
0.32,0.594,0.086,0.2,0.247,0
0.764,0.142,0.094,0.609,0.078,0
0.771,0.155,0.074,0.319,0.523,0
0.309,0.625,0.067,0.446,0.387,0
0.469,0.202,0.329,0.294,0.327,0
0.696,0.265,0.039,0.203,0.237,0
0.218,0.293,0.489,0.32,0.267,0
0.664,0.156,0.18,0.522,0.272,0
0.123,0.265,0.612,0.292,0.197,2
0.68,0.266,0.053,0.301,0.449,0
0.059,0.923,0.017,0.192,0.251,0
0.758,0.016,0.226,0.592,0.126,0
0.557,0.245,0.198,0.511,0.304,0
0.915,0.075,0.01,0.171,0.74,0
0.463,0.501,0.037,0.293,0.344,0
0.219,0.731,0.049,0.221,0.297,0
0.94,0.013,0.048,0.469,0.155,0
0.822,0.088,0.09,0.614,0.233,0
0.13,0.815,0.055,0.214,0.54,0
0.614,0.225,0.161,0.301,0.353,0
0.438,0.263,0.299,0.205,0.203,0
0.937,0.01,0.053,0.431,0.208,0
0.625,0.211,0.164,0.368,0.433,1
0.501,0.436,0.063,0.214,0.547,2
0.314,0.513,0.174,0.257,0.392,1
0.1,0.667,0.234,0.235,0.314,1
0.97,0.017,0.013,0.575,0.094,0
0.425,0.561,0.014,0.254,0.559,0
0.001,0.955,0.045,0.407,0.229,0
