@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0.473175,0.501461,0.576972,0
0.00348,0,0.001161,0,0.550230,0.590260,0.677434,0
0.006989,0,0.003765,0,0.790974,0.848506,0.983915,2
0,0,0.009836,0,0.772811,0.826243,0.957562,2
0.004065,0,0.020353,0,0.489932,0.517563,0.595052,1
0,0,0,0,0.372820,0.394110,0.445378,0
0.002577,0,0.002581,0,0.530024,0.565082,0.650197,0
0.013431,0,0.005498,0,0.682765,0.731658,0.846368,0
0,0,0.006289,0,0.569517,0.607494,0.698786,0
0,0,0.008949,0,0.245759,0.252258,0.279746,0
0,0,0.010638,0,0.388735,0.410576,0.467489,0
0.00313,0,0.009404,0,0.537945,0.572018,0.656802,0
0,0,0.00229,0,0.821708,0.882007,1.022094,0
0,0,0.019231,0,0.619184,0.659168,0.761814,0
0,0,0.006623,0,0.391119,0.411278,0.465657,0
0,0,0,0,0.592089,0.633647,0.727790,0
0,0,0.009188,0,0.617777,0.657166,0.758934,0
0,0,0.001381,0,0.755932,0.810419,0.937602,0
0,0,0.0181,0,0.687644,0.731833,0.846671,0
0,0,0.014787,0,0.272444,0.280673,0.308082,1
0,0,0.012903,0,0.537782,0.567733,0.656071,1
0,0,0.006182,0,0.601321,0.640805,0.738860,0
0.00414,0,0.001775,0,0.759682,0.815400,0.943286,1
0,0,0.02439,0,0.649508,0.688237,0.796337,0
0,0,0.012658,0,0.265700,0.271478,0.297906,0
0,0,0.010101,0,0.254605,0.267667,0.298541,0
0,0,0.003279,0,0.624231,0.666581,0.770111,0
0,0,0.003494,0,0.739829,0.792677,0.917163,1
0,0,0.015152,0,0.679997,0.725238,0.838812,0
0,0,0.013308,0,0.321935,0.334950,0.376131,0
0,0,0.008475,0,0.486980,0.513616,0.593238,0
0,0,0.010101,0,0.549390,0.583222,0.670769,0
0.00534,0,0.003562,0,0.796841,0.854816,0.990842,1
0,0,0.030303,0,0.672297,0.713104,0.824788,0
0,0,0.003795,0,0.322307,0.334258,0.371472,0
0.026144,0,0.006579,0,0.057985,0.065531,0.058681,2
0.008905,0,0.000891,0,0.373290,0.397495,0.456019,2
0.001359,0,0.00136,0,0.764473,0.819636,0.948785,2
0,0,0.011561,0,0.572748,0.605572,0.697809,0
0,0,0.010435,0,0.274358,0.280671,0.308565,0
0,0,0,0,0.490383,0.516326,0.593824,2
0,0,0.002595,0,0.568558,0.604894,0.697924,1
0,0,0.000824,0,0.739480,0.793121,0.915680,1
0,0,0.038462,0,0.538695,0.566049,0.653397,0
0,0,0.021201,0,0.289289,0.294464,0.326866,0
0,0,0.010204,0,0.411178,0.430717,0.493710,1
0.005525,0,0.006916,0,0.461277,0.488270,0.560927,0
0.021898,0,0.002435,0,0.643714,0.689593,0.796647,0
0,0,0.023529,0,0.468841,0.493471,0.564963,0
0,0,0.007968,0,0.302422,0.313724,0.350532,0
0,0,0.005181,0,0.606857,0.647837,0.749991,0
0,0,0.008596,0,0.568396,0.604390,0.694445,0
0,0,0.00225,0,0.838192,0.899496,1.042846,0
0,0,0,0,0.681927,0.730644,0.845448,0
0,0,0.009766,0,0.282491,0.291393,0.322358,0
0,0,0.007143,0,0.349047,0.367181,0.417664,0
0.008172,0,0.00818,0,0.412853,0.435582,0.494715,0
0,0,0.003509,0,0.809323,0.867975,1.005927,0
0,0,0.023256,0,0.585851,0.618205,0.714923,0
0.002028,0,0.020325,0,0.241514,0.245017,0.268890,0
0,0,0.035398,0,0.334371,0.348733,0.398130,0
0.012563,0,0.005031,0,0.536910,0.571102,0.659259,0
0,0,0.001618,0,0.772187,0.828579,0.958214,0
0,0,0.027933,0,0.658009,0.697256,0.805000,0
0,0,0.014925,0,0.363841,0.377077,0.426972,0
0,0,0,0,0.360573,0.380099,0.435407,0
0,0,0,0,0.535106,0.569389,0.654188,0
0.001966,0,0.00295,0,0.775982,0.832419,0.964459,2
0,0,0.022727,0,0.630204,0.668331,0.772802,0
0,0,0.016097,0,0.304211,0.315900,0.357303,0
0,0,0.007937,0,0.467153,0.495861,0.564850,0
0,0,0.007307,0,0.565526,0.600667,0.693750,0
0.040695,0,0.001372,0,0.275569,0.299338,0.337944,1
0.106742,0,0,0,0.030629,0.040020,0.030063,0
0.021452,0,0,0,0.042526,0.055515,0.043164,0
0.175573,0,0,0,0.093161,0.096538,0.100441,0
0.047927,0,0.003891,0,0.349756,0.372273,0.424280,1
0.016473,0,0.002908,0,0.680694,0.730739,0.845452,2
0.030303,0,0.006098,0,0.467672,0.498748,0.573420,0
0.005979,0,0.022455,0,0.164619,0.170140,0.179502,0
0.08982,0.006024,0,0,0.209011,0.220762,0.244201,1
0.057971,0,0.001613,0,0.286793,0.308641,0.347374,0
0.029375,0.000625,0.001251,0,0.617484,0.663212,0.766123,1
0,0,0.01676,0,0.617061,0.658456,0.758311,0
0.02268,0,0.004132,0,0.133032,0.142689,0.145705,1
0,0,0.033613,0,0.450618,0.473107,0.541016,0
