@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute mono_feature33 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.043796,0,0,0,0.014706,0.014706,0,0.471535,0.503902,0.565571,1
0.005222,0.049608,0.003916,0,0,0.005229,0.035294,0,0.575552,0.620543,0.703240,1
0,0.09403,0,0,0,0.00299,0.077728,0,0.515953,0.556106,0.628217,1
0,0.105882,0,0,0,0.02381,0.083333,0,0.235999,0.239919,0.264395,1
0,0.004942,0,0,0,0.000824,0.000824,0,0.743936,0.807609,0.915680,1
0,0.070513,0,0,0,0.012903,0.051613,0,0.540826,0.577805,0.656071,1
0,0.084871,0.00738,0,0,0.014787,0.068392,0,0.273597,0.285107,0.308082,1
0,0.011905,0.005952,0,0,0.011928,0.001988,0,0.206832,0.212801,0.226886,1
0,0.070922,0,0,0,0.007143,0.042857,0,0.424946,0.456815,0.509489,1
0,0.057627,0.001695,0,0,0.013582,0.040747,0,0.310573,0.322459,0.354063,1
0,0.149912,0.003527,0,0,0.022968,0.125442,0,0.280588,0.292352,0.320972,1
0.029375,0.0075,0.000625,0.000625,0,0.001251,0.005629,0,0.621159,0.674744,0.766123,1
0,0.21875,0,0,0,0,0.181102,0,0.476277,0.514118,0.579573,1
0,0.072602,0.002593,0,0,0.002595,0.056228,0,0.571779,0.615569,0.697924,1
