@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.004,0.913,0.082,0.218,0.742,0
0.03,0.367,0.603,0.053,0.37,2
0.079,0.52,0.401,0.204,0.533,1
0.235,0.687,0.077,0.879,0.118,0
0.223,0.335,0.442,0.408,0.423,0
0.318,0.181,0.501,0.099,0.526,0
0.644,0.21,0.146,0.785,0.185,0
0.672,0.269,0.059,0.906,0.085,0
0.774,0.09,0.135,0.859,0.125,0
0.749,0.187,0.065,0.058,0.341,0
0.007,0.819,0.174,0.411,0.362,1
0.14,0.643,0.217,0.109,0.539,1
0.132,0.28,0.588,0.43,0.385,0
0.217,0.502,0.28,0.833,0.16,0
0.262,0.364,0.373,0.413,0.387,0
0.063,0.7,0.237,0.239,0.579,1
0.209,0.52,0.27,0.578,0.389,0
0.044,0.332,0.624,0.002,0.179,1
0.153,0.456,0.39,0.042,0.328,2
0.07,0.09,0.84,0.094,0.681,2
0.288,0.308,0.404,0.214,0.511,2
0.116,0.793,0.091,0.626,0.339,0
0.059,0.468,0.472,0.085,0.828,1
0.038,0.883,0.079,0.748,0.201,1
0.259,0.387,0.354,0.588,0.328,0
0.596,0.293,0.111,0.394,0.469,0
0.558,0.199,0.242,0.421,0.394,0
0.599,0.145,0.257,0.465,0.497,0
0.261,0.586,0.153,0.266,0.598,0
0.337,0.04,0.623,0.308,0.482,0
0.684,0.252,0.064,0.389,0.456,0
0.341,0.399,0.26,0.778,0.112,0
0.738,0.167,0.095,0.825,0.099,0
0.045,0.889,0.066,0.642,0.237,0
0.013,0.201,0.786,0.014,0.291,2
0.003,0.649,0.348,0.003,0.796,1
0.902,0.003,0.094,0.822,0.139,0
0.018,0.75,0.231,0.575,0.414,0
0.077,0.595,0.329,0.747,0.144,0
0.011,0.84,0.149,0.204,0.784,1
0.066,0.7,0.233,0.008,0.345,2
0.873,0.074,0.053,0.412,0.532,0
0.033,0.573,0.394,0.19,0.776,0
0.059,0.696,0.245,0.072,0.471,1
0.012,0.94,0.047,0.281,0.713,0
0.06,0.751,0.189,0.064,0.612,1
0.449,0.226,0.325,0.599,0.361,0
0.114,0.766,0.121,0.464,0.524,1
0.032,0.169,0.8,0.001,0.084,0
0.7,0.29,0.01,0.845,0.141,0
0.73,0.029,0.242,0.113,0.555,0
0.146,0.542,0.312,0.429,0.539,0
0.219,0.697,0.085,0.533,0.344,0
0.418,0.527,0.054,0.446,0.334,0
0.884,0.022,0.094,0.626,0.346,0
0.467,0.364,0.169,0.798,0.183,0
0.046,0.817,0.137,0.193,0.777,0
0.001,0.82,0.179,0.003,0.684,1
0.006,0.083,0.911,0.001,0.219,2
0.276,0.649,0.075,0.764,0.216,0
