@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature279 numeric
@attribute bi_feature327 numeric
@attribute bi_feature841 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.051643,0,0,0,0.04717,0.004717,0,0.514907,0.533652,0.604388,0
0,0.107567,0,0,0,0.096996,0.006884,0,0.611278,0.632643,0.727450,0
0.050741,0.005211,0,0,0,0.003018,0.001372,0,0.290482,0.311264,0.348297,1
0.124579,0,0,0,0,0,0,0,0.028051,0.043931,0.032160,0
0.024752,0.00198,0,0,0,0,0.000991,0,0.037803,0.059564,0.045851,0
0.197248,0.004587,0.004608,0,0,0,0.004608,0,0.126402,0.129605,0.135189,0
0.059829,0.095571,0,0,0,0.085537,0.003888,0,0.383106,0.398625,0.451771,1
0.021802,0.011919,0,0.000582,0,0.009014,0.002035,0,0.725764,0.761122,0.877709,2
0.036232,0.086957,0,0,0,0.054545,0.014545,0,0.512126,0.533215,0.611491,0
0.011659,0.087892,0,0,0,0.060144,0.024237,0,0.183809,0.190516,0.201182,0
0.115108,0.068345,0,0,0.00361,0.057762,0,0,0.253550,0.262468,0.288687,1
0.07343,0.021256,0,0,0,0.014507,0.000967,0,0.318739,0.337244,0.376749,0
0.04126,0.009377,0.00075,0.000375,0,0.006754,0.001876,0,0.656825,0.689564,0.793369,1
0,0.063333,0,0,0,0.040134,0.016722,0,0.651582,0.680768,0.782844,0
0.030941,0.032178,0,0,0,0.022305,0.009913,0,0.151097,0.163289,0.165526,1
0,0.149254,0,0,0,0.13,0.02,0,0.493015,0.504853,0.575178,0
0.004945,0.050209,0,0,0,0.041476,0.006469,0,0.709264,0.740066,0.852136,0
0.004135,0.012405,0,0,0,0.008276,0.002759,0,0.808322,0.847243,0.978201,0
0.018927,0.148265,0,0,0,0.123418,0.018987,0,0.464299,0.478656,0.546764,0
0.005484,0.091408,0,0,0,0.056725,0.025618,0,0.314492,0.319705,0.355536,0
0,0.097826,0,0,0,0.076503,0.010929,0,0.381119,0.390769,0.440810,0
0,0.059493,0,0,0,0.052539,0.003503,0,0.663053,0.690215,0.792638,0
0.041223,0.006948,0,0,0,0.005561,0.000927,0,0.647715,0.679727,0.780381,0
0.003745,0.074906,0,0,0,0.06391,0.011278,0,0.614576,0.639491,0.735961,0
0,0.131522,0,0,0,0.108814,0.01741,0,0.316951,0.320094,0.357067,0
0.00995,0.164179,0,0,0,0.125,0.04,0,0.395045,0.399394,0.455533,0
0.015135,0.122162,0,0,0,0.106061,0.008658,0,0.473580,0.487755,0.553726,0
0.003564,0.012117,0,0,0,0.009272,0.001427,0,0.864354,0.906388,1.048165,0
0,0.098859,0,0,0,0.072519,0.026718,0,0.627903,0.650013,0.745938,0
0,0.122538,0,0,0,0.089814,0.015334,0,0.308175,0.310873,0.344847,0
0,0.135,0,0,0,0.120603,0.01005,0,0.506913,0.519349,0.594608,2
0.003234,0.046079,0,0,0,0.038026,0.002427,0,0.506501,0.529197,0.604899,0
0.001275,0.01504,0,0,0,0.008924,0.005099,0,0.785912,0.822296,0.948852,1
0,0.182825,0,0,0,0.158333,0.008333,0,0.587758,0.604580,0.696958,2
0.037223,0.084507,0,0,0,0.067942,0.011072,0,0.399516,0.410364,0.463996,2
0,0.152174,0,0,0,0.10929,0.027322,0,0.263476,0.260971,0.292205,0
0,0.099822,0,0,0,0.089206,0.007136,0,0.548654,0.567110,0.648240,0
0.056106,0.014521,0,0,0,0.011229,0.001321,0,0.559536,0.587309,0.672031,0
0.089655,0.158621,0,0,0,0.121107,0.038062,0,0.418370,0.426860,0.487884,0
0.009991,0.112625,0,0,0,0.079091,0.021818,0,0.350871,0.358710,0.400508,0
0.074534,0.111801,0,0,0,0.0875,0.0125,0,0.252608,0.254856,0.278970,0
0.006002,0.033613,0,0,0,0.025225,0.004805,0,0.698097,0.729722,0.838772,0
0,0.005692,0,0,0,0.003986,0.001139,0,0.866440,0.908235,1.049107,0
0,0.150735,0,0,0,0.121771,0.02583,0,0.651223,0.672630,0.774018,0
0,0.134541,0,0,0,0.09456,0.032383,0,0.260249,0.258912,0.282356,0
0,0.098837,0,0,0,0.076023,0.017544,0,0.260876,0.264246,0.291608,0
