@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.048,0.317,0.635,0.143,0.281,2
0.326,0.093,0.581,0.22,0.24,2
0.121,0.45,0.429,0.43,0.416,1
0.223,0.603,0.174,0.455,0.348,1
0.114,0.647,0.239,0.345,0.295,1
0.187,0.665,0.148,0.136,0.333,1
0.069,0.697,0.234,0.16,0.336,1
0.037,0.332,0.632,0.142,0.286,1
0.188,0.481,0.332,0.305,0.522,2
0.093,0.104,0.803,0.187,0.545,2
0.269,0.401,0.33,0.134,0.345,2
0.281,0.268,0.451,0.168,0.531,2
0.059,0.475,0.467,0.186,0.445,1
0.188,0.736,0.076,0.135,0.372,1
0.106,0.227,0.667,0.333,0.389,1
0.067,0.186,0.748,0.145,0.316,2
0.04,0.626,0.334,0.184,0.483,1
0.119,0.81,0.071,0.137,0.673,1
0.052,0.71,0.237,0.149,0.319,2
0.195,0.61,0.196,0.068,0.8,1
0.051,0.8,0.149,0.136,0.448,1
0.458,0.494,0.048,0.255,0.553,1
0.333,0.486,0.181,0.292,0.403,2
0.028,0.793,0.179,0.162,0.329,1
0.207,0.062,0.731,0.518,0.158,2
0.069,0.105,0.826,0.251,0.385,2
0.06,0.401,0.539,0.241,0.253,2
0.725,0.166,0.109,0.422,0.361,1
0.418,0.489,0.093,0.175,0.563,2
0.164,0.625,0.211,0.202,0.425,1
0.309,0.513,0.178,0.163,0.375,1
0.316,0.4,0.284,0.163,0.508,1
0.39,0.288,0.321,0.237,0.358,2
0.4,0.562,0.038,0.108,0.313,1
0.752,0.146,0.102,0.509,0.288,2
0.321,0.432,0.247,0.212,0.384,1
0.071,0.814,0.115,0.148,0.284,2
0.484,0.047,0.468,0.561,0.101,1
0.434,0.51,0.057,0.419,0.412,1
0.485,0.153,0.362,0.311,0.432,2
0.235,0.496,0.269,0.19,0.541,1
0.558,0.214,0.228,0.512,0.279,2
0.122,0.02,0.858,0.158,0.3,2
0.158,0.564,0.278,0.17,0.538,1
0.148,0.691,0.161,0.314,0.469,1
0.241,0.651,0.109,0.127,0.584,1
0.223,0.642,0.134,0.336,0.539,1
0.347,0.546,0.107,0.481,0.25,1
0.526,0.217,0.256,0.2,0.468,1
0.06,0.672,0.269,0.158,0.299,2
0.533,0.347,0.12,0.617,0.205,1
0.129,0.483,0.388,0.647,0.089,1
0.082,0.77,0.148,0.243,0.396,1
0.047,0.113,0.84,0.205,0.339,2
0.318,0.573,0.109,0.145,0.309,1
0.415,0.544,0.041,0.645,0.2,1
0.404,0.535,0.061,0.428,0.352,1
0.106,0.808,0.087,0.118,0.675,1
0.224,0.665,0.112,0.338,0.459,1
0.116,0.838,0.046,0.152,0.286,1
0.192,0.785,0.024,0.419,0.383,1
0.415,0.528,0.057,0.156,0.288,1
0.145,0.679,0.177,0.399,0.29,1
0.008,0.081,0.911,0.179,0.31,2
0.281,0.315,0.404,0.134,0.312,2
0.494,0.36,0.146,0.562,0.248,2
0.133,0.626,0.241,0.121,0.249,1
0.168,0.807,0.025,0.31,0.599,1
0.405,0.491,0.104,0.223,0.583,1
0.248,0.689,0.064,0.125,0.529,1
0.08,0.848,0.071,0.278,0.439,1
0.19,0.032,0.778,0.187,0.449,2
0.08,0.631,0.289,0.126,0.325,2
0.408,0.492,0.1,0.431,0.366,2
0.253,0.606,0.141,0.159,0.302,1
0.584,0.378,0.038,0.406,0.424,1
0.441,0.413,0.146,0.156,0.332,0
0.169,0.776,0.054,0.474,0.352,0
0.234,0.47,0.296,0.22,0.373,0
0.277,0.63,0.093,0.357,0.431,0
0.706,0.093,0.201,0.222,0.422,0
0.674,0.117,0.209,0.594,0.222,0
0.803,0.075,0.122,0.425,0.196,0
0.453,0.396,0.151,0.454,0.325,0
0.427,0.236,0.336,0.177,0.295,0
0.259,0.496,0.245,0.187,0.429,0
0.576,0.331,0.093,0.672,0.161,0
0.451,0.306,0.243,0.722,0.08,0
0.825,0.012,0.163,0.261,0.435,0
0.442,0.324,0.234,0.359,0.415,0
0.742,0.098,0.159,0.128,0.297,0
0.446,0.511,0.042,0.747,0.127,0
0.906,0.078,0.016,0.612,0.213,0
0.713,0.198,0.089,0.692,0.054,0
0.56,0.215,0.226,0.271,0.418,0
0.307,0.307,0.385,0.247,0.36,0
0.467,0.448,0.085,0.174,0.557,0
0.279,0.577,0.144,0.448,0.355,0
0.831,0.1,0.069,0.426,0.312,0
0.626,0.136,0.238,0.56,0.167,0
0.367,0.018,0.615,0.552,0.109,0
0.207,0.716,0.077,0.185,0.513,0
0.415,0.463,0.122,0.626,0.162,0
0.607,0.096,0.296,0.469,0.158,0
0.113,0.855,0.032,0.169,0.464,0
0.161,0.597,0.242,0.528,0.202,0
0.754,0.128,0.118,0.659,0.071,0
0.679,0.258,0.062,0.696,0.165,0
0.196,0.711,0.093,0.314,0.475,0
0.609,0.271,0.12,0.532,0.131,0
0.114,0.821,0.065,0.145,0.367,0
0.385,0.568,0.048,0.708,0.151,0
0.634,0.06,0.306,0.234,0.356,0
0.826,0.099,0.075,0.324,0.416,0
0.3,0.696,0.004,0.125,0.313,0
0.592,0.294,0.114,0.553,0.259,0
