@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.013,0.407,0.58,0.022,0.441,0.13,0.122,2
0.048,0.515,0.436,0.228,0.509,0.539,0.206,1
0.153,0.709,0.138,0.425,0.442,0.368,0.357,1
0.097,0.756,0.147,0.079,0.641,0.178,0.42,1
0.017,0.824,0.158,0.197,0.602,0.208,0.401,1
0.007,0.364,0.63,0.001,0.116,0.21,0.382,1
0.161,0.345,0.494,0.105,0.203,0.156,0.492,2
0.083,0.12,0.796,0.042,0.671,0.129,0.458,2
0.068,0.499,0.433,0.323,0.304,0.175,0.419,2
0.023,0.587,0.39,0.253,0.672,0.175,0.413,1
0.101,0.863,0.037,0.569,0.321,0.166,0.444,1
0.015,0.199,0.787,0.006,0.292,0.201,0.397,2
0.007,0.732,0.261,0.061,0.628,0.103,0.514,1
0.008,0.814,0.179,0.006,0.729,0.213,0.394,1
0.022,0.099,0.879,0.004,0.201,0.184,0.387,2
0.085,0.335,0.58,0.006,0.244,0.243,0.332,2
0.1,0.682,0.218,0.818,0.142,0.195,0.437,1
0.251,0.624,0.125,0.21,0.744,0.177,0.418,1
0.343,0.456,0.201,0.348,0.528,0.211,0.393,1
0.026,0.864,0.111,0.833,0.153,0.229,0.373,2
0.275,0.582,0.143,0.207,0.675,0.145,0.453,1
0.125,0.028,0.847,0.061,0.43,0.221,0.379,2
0.116,0.679,0.205,0.25,0.557,0.234,0.441,1
0.139,0.726,0.136,0.272,0.633,0.156,0.43,1
0.432,0.442,0.125,0.149,0.615,0.194,0.49,1
0.37,0.327,0.303,0.367,0.538,0.176,0.438,1
0.021,0.758,0.221,0.013,0.495,0.124,0.12,2
0.089,0.494,0.417,0.089,0.801,0.788,0.089,1
0.084,0.767,0.15,0.177,0.54,0.166,0.422,1
0.287,0.647,0.066,0.402,0.556,0.356,0.361,1
0.043,0.84,0.118,0.039,0.783,0.178,0.411,1
0.152,0.701,0.147,0.145,0.572,0.24,0.436,1
0.125,0.811,0.064,0.265,0.653,0.161,0.386,1
0.155,0.81,0.035,0.748,0.219,0.272,0.389,1
0.394,0.446,0.161,0.468,0.432,0.504,0.256,2
0.043,0.729,0.228,0.078,0.696,0.173,0.379,1
0.162,0.794,0.044,0.447,0.486,0.303,0.412,1
0.375,0.478,0.147,0.336,0.51,0.167,0.42,1
0.164,0.766,0.069,0.525,0.415,0.14,0.407,1
0.365,0.053,0.582,0.049,0.329,0.168,0.414,2
0.032,0.723,0.244,0.001,0.05,0.176,0.409,2
0.356,0.512,0.131,0.573,0.392,0.347,0.356,2
0.137,0.698,0.166,0.158,0.722,0.201,0.388,1
0.736,0.233,0.031,0.562,0.366,0.294,0.41,1
0.134,0.635,0.231,0.639,0.254,0.195,0.384,0
0.451,0.159,0.391,0.259,0.504,0.228,0.366,0
0.089,0.889,0.021,0.183,0.676,0.165,0.435,0
0.254,0.734,0.011,0.876,0.122,0.136,0.505,0
0.006,0.919,0.075,0.629,0.332,0.329,0.288,0
0.723,0.015,0.263,0.423,0.446,0.942,0.02,0
0.604,0.316,0.08,0.321,0.607,0.532,0.238,0
0.454,0.487,0.059,0.807,0.092,0.196,0.407,0
0.57,0.427,0.004,0.922,0.076,0.18,0.413,0
0.632,0.291,0.077,0.827,0.162,0.645,0.17,0
0.009,0.939,0.052,0.893,0.104,0.118,0.468,0
0.447,0.52,0.033,0.364,0.459,0.161,0.389,0
0.434,0.278,0.288,0.393,0.498,0.45,0.273,0
0.423,0.212,0.365,0.594,0.344,0.164,0.425,0
0.906,0.048,0.047,0.587,0.217,0.391,0.297,0
0.411,0.449,0.139,0.397,0.515,0.224,0.423,0
0.645,0.322,0.033,0.273,0.497,0.099,0.542,0
0.475,0.38,0.145,0.419,0.471,0.152,0.443,0
