@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature5 numeric
@attribute psy_feature6 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data
2,8,4.337568,-0.101375,0.870663,0
3,5,4.048899,0.328368,0.774422,0
1,2,5.945864,0.094911,0.94829,0
2,8,3.852648,-0.252091,0.677408,0
3,8,3.339058,0.377231,0.700247,0
5,7,4.668016,-0.535922,1.113087,0
1,2,5.612044,0.094169,0.941773,0
2,8,5.015264,-0.017802,0.653314,0
3,7,3.981518,-0.065711,1.071284,0
5,7,4.225795,-0.32539,0.934799,0
2,8,4.533209,0.074959,0.794832,0
5,7,3.879643,-0.406647,0.998275,1
1,2,4.485791,0.116323,0.858675,0
2,12,4.290601,-0.097184,1.400974,0
3,10,4.128358,0.139157,1.242343,1
5,9,4.150492,-0.107066,1.34618,1
1,2,3.64003,0.39624,0.87334,0
2,8,3.250854,0.000276,0.737515,0
3,2,3.13997,0.253126,0.571831,0
1,2,4.984469,-0.008326,0.943402,0
2,8,4.892,0.025334,0.91885,0
3,7,4.414368,0.082717,0.884213,1
4,2,2.440765,1.071648,0.91047,0
5,7,4.977835,-0.174397,0.892829,0
3,5,3.006312,0.048434,1.15183,0
4,2,6.408688,1.472718,1.077769,0
2,8,5.013164,-0.326608,1.135945,0
3,4,3.506631,0.006183,0.749588,0
4,2,3.513744,1.555556,0.932094,0
5,7,4.205279,-0.189158,0.972954,0
2,8,4.629398,-0.166204,0.862547,0
1,2,5.306196,-0.021485,0.839123,0
2,8,3.733265,-0.393324,0.685523,0
5,7,4.985496,-0.101661,0.96012,1
2,8,3.260765,-0.123436,0.771499,0
3,3,4.067144,0.945531,0.694039,0
4,2,3.791195,0.85866,0.979894,0
5,7,6.652536,-0.378958,1.20466,0
1,2,4.096242,0.080045,0.806536,0
2,8,3.18945,-0.077292,1.08015,0
3,5,3.7363,0.575633,0.633915,0
4,2,3.996101,0.905985,1.004932,0
5,7,3.730318,0.067382,0.861611,0
5,7,5.149257,-0.178654,0.948674,2
2,10,4.04139,0.178054,1.276955,0
3,7,3.437098,0.565342,1.053965,0
5,7,5.123771,-0.432126,1.036777,0
3,6,3.295283,-0.193796,0.936168,0
2,8,4.702139,-0.177744,0.885626,0
3,4,4.769537,0.365493,1.222574,1
4,2,3.006776,1.279981,0.846737,0
5,7,3.703772,-0.287494,0.988216,0
1,2,4.426246,0.548604,0.891263,0
